技能id,等级,需要材料,需要银币,需求等级,
25,8,32=10,12000,35,12000
25,9,32=12,14000,40,14000
25,10,32=14,16000,45,16000
25,11,33=17,32000,50,32000
25,12,33=20,36000,55,36000
25,13,33=23,40000,60,40000
25,14,33=26,44000,65,44000
25,15,33=30,48000,70,48000
25,16,34=34,96000,75,96000
25,17,34=38,104000,80,104000
25,18,34=42,112000,85,112000
25,19,34=46,120000,90,120000
25,20,34=50,128000,95,128000
26,1,31=1,0,0,0
26,2,31=2,500,6,500
26,3,31=3,1000,10,1000
26,4,31=4,2000,15,2000
26,5,31=5,4000,20,4000
26,6,32=6,8000,25,8000
26,7,32=8,10000,30,10000
26,8,32=10,12000,35,12000
26,9,32=12,14000,40,14000
26,10,32=14,16000,45,16000
26,11,33=17,32000,50,32000
26,12,33=20,36000,55,36000
26,13,33=23,40000,60,40000
26,14,33=26,44000,65,44000
26,15,33=30,48000,70,48000
26,16,34=34,96000,75,96000
26,17,34=38,104000,80,104000
26,18,34=42,112000,85,112000
26,19,34=46,120000,90,120000
26,20,34=50,128000,95,128000
27,1,31=1,0,0,0
27,2,31=2,500,6,500
27,3,31=3,1000,10,1000
27,4,31=4,2000,15,2000
27,5,31=5,4000,20,4000
27,6,32=6,8000,25,8000
27,7,32=8,10000,30,10000
27,8,32=10,12000,35,12000
27,9,32=12,14000,40,14000
27,10,32=14,16000,45,16000
27,11,33=17,32000,50,32000
27,12,33=20,36000,55,36000
27,13,33=23,40000,60,40000
27,14,33=26,44000,65,44000
27,15,33=30,48000,70,48000
27,16,34=34,96000,75,96000
27,17,34=38,104000,80,104000
27,18,34=42,112000,85,112000
27,19,34=46,120000,90,120000
27,20,34=50,128000,95,128000
28,1,31=1,0,0,0
28,2,31=2,500,6,500
28,3,31=3,1000,10,1000
28,4,31=4,2000,15,2000
28,5,31=5,4000,20,4000
28,6,32=6,8000,25,8000
28,7,32=8,10000,30,10000
28,8,32=10,12000,35,12000
28,9,32=12,14000,40,14000
28,10,32=14,16000,45,16000
28,11,33=17,32000,50,32000
28,12,33=20,36000,55,36000
28,13,33=23,40000,60,40000
28,14,33=26,44000,65,44000
28,15,33=30,48000,70,48000
28,16,34=34,96000,75,96000
28,17,34=38,104000,80,104000
28,18,34=42,112000,85,112000
28,19,34=46,120000,90,120000
28,20,34=50,128000,95,128000
29,1,31=1,0,0,0
29,2,31=2,500,6,500
29,3,31=3,1000,10,1000
29,4,31=4,2000,15,2000
29,5,31=5,4000,20,4000
29,6,32=6,8000,25,8000
29,7,32=8,10000,30,10000
29,8,32=10,12000,35,12000
29,9,32=12,14000,40,14000
29,10,32=14,16000,45,16000
29,11,33=17,32000,50,32000
29,12,33=20,36000,55,36000
29,13,33=23,40000,60,40000
29,14,33=26,44000,65,44000
29,15,33=30,48000,70,48000
29,16,34=34,96000,75,96000
29,17,34=38,104000,80,104000
29,18,34=42,112000,85,112000
29,19,34=46,120000,90,120000
29,20,34=50,128000,95,128000
30,1,31=1,0,0,0
30,2,31=2,500,6,500
30,3,31=3,1000,10,1000
30,4,31=4,2000,15,2000
30,5,31=5,4000,20,4000
30,6,32=6,8000,25,8000
30,7,32=8,10000,30,10000
30,8,32=10,12000,35,12000
30,9,32=12,14000,40,14000
30,10,32=14,16000,45,16000
30,11,33=17,32000,50,32000
30,12,33=20,36000,55,36000
30,13,33=23,40000,60,40000
30,14,33=26,44000,65,44000
30,15,33=30,48000,70,48000
30,16,34=34,96000,75,96000
30,17,34=38,104000,80,104000
30,18,34=42,112000,85,112000
30,19,34=46,120000,90,120000
30,20,34=50,128000,95,128000
31,1,31=1,0,0,0
31,2,31=2,500,6,500
31,3,31=3,1000,10,1000
31,4,31=4,2000,15,2000
31,5,31=5,4000,20,4000
31,6,32=6,8000,25,8000
31,7,32=8,10000,30,10000
31,8,32=10,12000,35,12000
31,9,32=12,14000,40,14000
31,10,32=14,16000,45,16000
31,11,33=17,32000,50,32000
31,12,33=20,36000,55,36000
31,13,33=23,40000,60,40000
31,14,33=26,44000,65,44000
31,15,33=30,48000,70,48000
31,16,34=34,96000,75,96000
31,17,34=38,104000,80,104000
31,18,34=42,112000,85,112000
31,19,34=46,120000,90,120000
31,20,34=50,128000,95,128000
32,1,31=1,0,0,0
32,2,31=2,500,6,500
32,3,31=3,1000,10,1000
32,4,31=4,2000,15,2000
32,5,31=5,4000,20,4000
32,6,32=6,8000,25,8000
32,7,32=8,10000,30,10000
32,8,32=10,12000,35,12000
32,9,32=12,14000,40,14000
32,10,32=14,16000,45,16000
32,11,33=17,32000,50,32000
32,12,33=20,36000,55,36000
32,13,33=23,40000,60,40000
32,14,33=26,44000,65,44000
32,15,33=30,48000,70,48000
32,16,34=34,96000,75,96000
32,17,34=38,104000,80,104000
32,18,34=42,112000,85,112000
32,19,34=46,120000,90,120000
32,20,34=50,128000,95,128000
33,1,31=1,0,0,0
33,2,31=2,500,6,500
33,3,31=3,1000,10,1000
33,4,31=4,2000,15,2000
33,5,31=5,4000,20,4000
33,6,32=6,8000,25,8000
33,7,32=8,10000,30,10000
33,8,32=10,12000,35,12000
33,9,32=12,14000,40,14000
33,10,32=14,16000,45,16000
33,11,33=17,32000,50,32000
33,12,33=20,36000,55,36000
33,13,33=23,40000,60,40000
33,14,33=26,44000,65,44000
33,15,33=30,48000,70,48000
33,16,34=34,96000,75,96000
33,17,34=38,104000,80,104000
33,18,34=42,112000,85,112000
33,19,34=46,120000,90,120000
33,20,34=50,128000,95,128000
34,1,31=1,0,0,0
34,2,31=2,500,6,500
34,3,31=3,1000,10,1000
34,4,31=4,2000,15,2000
34,5,31=5,4000,20,4000
34,6,32=6,8000,25,8000
34,7,32=8,10000,30,10000
34,8,32=10,12000,35,12000
34,9,32=12,14000,40,14000
34,10,32=14,16000,45,16000
34,11,33=17,32000,50,32000
34,12,33=20,36000,55,36000
34,13,33=23,40000,60,40000
34,14,33=26,44000,65,44000
34,15,33=30,48000,70,48000
34,16,34=34,96000,75,96000
34,17,34=38,104000,80,104000
34,18,34=42,112000,85,112000
34,19,34=46,120000,90,120000
34,20,34=50,128000,95,128000
35,1,31=1,0,0,0
35,2,31=2,500,6,500
35,3,31=3,1000,10,1000
35,4,31=4,2000,15,2000
35,5,31=5,4000,20,4000
35,6,32=6,8000,25,8000
35,7,32=8,10000,30,10000
35,8,32=10,12000,35,12000
35,9,32=12,14000,40,14000
35,10,32=14,16000,45,16000
35,11,33=17,32000,50,32000
35,12,33=20,36000,55,36000
35,13,33=23,40000,60,40000
35,14,33=26,44000,65,44000
35,15,33=30,48000,70,48000
35,16,34=34,96000,75,96000
35,17,34=38,104000,80,104000
35,18,34=42,112000,85,112000
35,19,34=46,120000,90,120000
35,20,34=50,128000,95,128000
36,1,31=1,0,0,0
36,2,31=2,500,6,500
36,3,31=3,1000,10,1000
36,4,31=4,2000,15,2000
36,5,31=5,4000,20,4000
36,6,32=6,8000,25,8000
36,7,32=8,10000,30,10000
36,8,32=10,12000,35,12000
36,9,32=12,14000,40,14000
36,10,32=14,16000,45,16000
36,11,33=17,32000,50,32000
36,12,33=20,36000,55,36000
36,13,33=23,40000,60,40000
36,14,33=26,44000,65,44000
36,15,33=30,48000,70,48000
36,16,34=34,96000,75,96000
36,17,34=38,104000,80,104000
36,18,34=42,112000,85,112000
36,19,34=46,120000,90,120000
36,20,34=50,128000,95,128000
37,1,31=1,0,0,0
37,2,31=2,500,6,500
37,3,31=3,1000,10,1000
37,4,31=4,2000,15,2000
37,5,31=5,4000,20,4000
37,6,32=6,8000,25,8000
37,7,32=8,10000,30,10000
37,8,32=10,12000,35,12000
37,9,32=12,14000,40,14000
37,10,32=14,16000,45,16000
37,11,33=17,32000,50,32000
37,12,33=20,36000,55,36000
37,13,33=23,40000,60,40000
37,14,33=26,44000,65,44000
37,15,33=30,48000,70,48000
37,16,34=34,96000,75,96000
37,17,34=38,104000,80,104000
37,18,34=42,112000,85,112000
37,19,34=46,120000,90,120000
37,20,34=50,128000,95,128000
38,1,31=1,0,0,0
38,2,31=2,500,6,500
38,3,31=3,1000,10,1000
38,4,31=4,2000,15,2000
38,5,31=5,4000,20,4000
38,6,32=6,8000,25,8000
38,7,32=8,10000,30,10000
38,8,32=10,12000,35,12000
38,9,32=12,14000,40,14000
38,10,32=14,16000,45,16000
38,11,33=17,32000,50,32000
38,12,33=20,36000,55,36000
38,13,33=23,40000,60,40000
38,14,33=26,44000,65,44000
38,15,33=30,48000,70,48000
38,16,34=34,96000,75,96000
38,17,34=38,104000,80,104000
38,18,34=42,112000,85,112000
38,19,34=46,120000,90,120000
38,20,34=50,128000,95,128000
39,1,31=1,0,0,0
39,2,31=2,500,6,500
39,3,31=3,1000,10,1000
39,4,31=4,2000,15,2000
39,5,31=5,4000,20,4000
39,6,32=6,8000,25,8000
39,7,32=8,10000,30,10000
39,8,32=10,12000,35,12000
39,9,32=12,14000,40,14000
39,10,32=14,16000,45,16000
39,11,33=17,32000,50,32000
39,12,33=20,36000,55,36000
39,13,33=23,40000,60,40000
39,14,33=26,44000,65,44000
39,15,33=30,48000,70,48000
39,16,34=34,96000,75,96000
39,17,34=38,104000,80,104000
39,18,34=42,112000,85,112000
39,19,34=46,120000,90,120000
39,20,34=50,128000,95,128000
40,1,31=1,0,0,0
40,2,31=2,500,6,500
40,3,31=3,1000,10,1000
40,4,31=4,2000,15,2000
40,5,31=5,4000,20,4000
40,6,32=6,8000,25,8000
40,7,32=8,10000,30,10000
40,8,32=10,12000,35,12000
40,9,32=12,14000,40,14000
40,10,32=14,16000,45,16000
40,11,33=17,32000,50,32000
40,12,33=20,36000,55,36000
40,13,33=23,40000,60,40000
40,14,33=26,44000,65,44000
40,15,33=30,48000,70,48000
40,16,34=34,96000,75,96000
40,17,34=38,104000,80,104000
40,18,34=42,112000,85,112000
40,19,34=46,120000,90,120000
40,20,34=50,128000,95,128000
41,1,31=1,0,0,0
41,2,31=2,500,6,500
41,3,31=3,1000,10,1000
41,4,31=4,2000,15,2000
41,5,31=5,4000,20,4000
41,6,32=6,8000,25,8000
41,7,32=8,10000,30,10000
41,8,32=10,12000,35,12000
41,9,32=12,14000,40,14000
41,10,32=14,16000,45,16000
41,11,33=17,32000,50,32000
41,12,33=20,36000,55,36000
41,13,33=23,40000,60,40000
41,14,33=26,44000,65,44000
41,15,33=30,48000,70,48000
41,16,34=34,96000,75,96000
41,17,34=38,104000,80,104000
41,18,34=42,112000,85,112000
41,19,34=46,120000,90,120000
41,20,34=50,128000,95,128000
42,1,31=1,0,0,0
42,2,31=2,500,6,500
42,3,31=3,1000,10,1000
42,4,31=4,2000,15,2000
42,5,31=5,4000,20,4000
42,6,32=6,8000,25,8000
42,7,32=8,10000,30,10000
42,8,32=10,12000,35,12000
42,9,32=12,14000,40,14000
42,10,32=14,16000,45,16000
42,11,33=17,32000,50,32000
42,12,33=20,36000,55,36000
42,13,33=23,40000,60,40000
42,14,33=26,44000,65,44000
42,15,33=30,48000,70,48000
42,16,34=34,96000,75,96000
42,17,34=38,104000,80,104000
42,18,34=42,112000,85,112000
42,19,34=46,120000,90,120000
42,20,34=50,128000,95,128000
43,1,31=1,0,0,0
43,2,31=2,500,6,500
43,3,31=3,1000,10,1000
43,4,31=4,2000,15,2000
43,5,31=5,4000,20,4000
43,6,32=6,8000,25,8000
43,7,32=8,10000,30,10000
43,8,32=10,12000,35,12000
43,9,32=12,14000,40,14000
43,10,32=14,16000,45,16000
43,11,33=17,32000,50,32000
43,12,33=20,36000,55,36000
43,13,33=23,40000,60,40000
43,14,33=26,44000,65,44000
43,15,33=30,48000,70,48000
43,16,34=34,96000,75,96000
43,17,34=38,104000,80,104000
43,18,34=42,112000,85,112000
43,19,34=46,120000,90,120000
43,20,34=50,128000,95,128000
44,1,31=1,0,0,0
44,2,31=2,500,6,500
44,3,31=3,1000,10,1000
44,4,31=4,2000,15,2000
44,5,31=5,4000,20,4000
44,6,32=6,8000,25,8000
44,7,32=8,10000,30,10000
44,8,32=10,12000,35,12000
44,9,32=12,14000,40,14000
44,10,32=14,16000,45,16000
44,11,33=17,32000,50,32000
44,12,33=20,36000,55,36000
44,13,33=23,40000,60,40000
44,14,33=26,44000,65,44000
44,15,33=30,48000,70,48000
44,16,34=34,96000,75,96000
44,17,34=38,104000,80,104000
44,18,34=42,112000,85,112000
44,19,34=46,120000,90,120000
44,20,34=50,128000,95,128000
45,1,31=1,0,0,0
45,2,31=2,500,6,500
45,3,31=3,1000,10,1000
45,4,31=4,2000,15,2000
45,5,31=5,4000,20,4000
45,6,32=6,8000,25,8000
45,7,32=8,10000,30,10000
45,8,32=10,12000,35,12000
45,9,32=12,14000,40,14000
45,10,32=14,16000,45,16000
45,11,33=17,32000,50,32000
45,12,33=20,36000,55,36000
45,13,33=23,40000,60,40000
45,14,33=26,44000,65,44000
45,15,33=30,48000,70,48000
45,16,34=34,96000,75,96000
45,17,34=38,104000,80,104000
45,18,34=42,112000,85,112000
45,19,34=46,120000,90,120000
45,20,34=50,128000,95,128000
46,1,31=1,0,0,0
46,2,31=2,500,6,500
46,3,31=3,1000,10,1000
46,4,31=4,2000,15,2000
46,5,31=5,4000,20,4000
46,6,32=6,8000,25,8000
46,7,32=8,10000,30,10000
46,8,32=10,12000,35,12000
46,9,32=12,14000,40,14000
46,10,32=14,16000,45,16000
46,11,33=17,32000,50,32000
46,12,33=20,36000,55,36000
46,13,33=23,40000,60,40000
46,14,33=26,44000,65,44000
46,15,33=30,48000,70,48000
46,16,34=34,96000,75,96000
46,17,34=38,104000,80,104000
46,18,34=42,112000,85,112000
46,19,34=46,120000,90,120000
46,20,34=50,128000,95,128000
47,1,31=1,0,0,0
47,2,31=2,500,6,500
47,3,31=3,1000,10,1000
47,4,31=4,2000,15,2000
47,5,31=5,4000,20,4000
47,6,32=6,8000,25,8000
47,7,32=8,10000,30,10000
47,8,32=10,12000,35,12000
47,9,32=12,14000,40,14000
47,10,32=14,16000,45,16000
47,11,33=17,32000,50,32000
47,12,33=20,36000,55,36000
47,13,33=23,40000,60,40000
47,14,33=26,44000,65,44000
47,15,33=30,48000,70,48000
47,16,34=34,96000,75,96000
47,17,34=38,104000,80,104000
47,18,34=42,112000,85,112000
47,19,34=46,120000,90,120000
47,20,34=50,128000,95,128000
48,1,31=1,0,0,0
48,2,31=2,500,6,500
48,3,31=3,1000,10,1000
48,4,31=4,2000,15,2000
48,5,31=5,4000,20,4000
48,6,32=6,8000,25,8000
48,7,32=8,10000,30,10000
48,8,32=10,12000,35,12000
48,9,32=12,14000,40,14000
48,10,32=14,16000,45,16000
48,11,33=17,32000,50,32000
48,12,33=20,36000,55,36000
48,13,33=23,40000,60,40000
48,14,33=26,44000,65,44000
48,15,33=30,48000,70,48000
48,16,34=34,96000,75,96000
48,17,34=38,104000,80,104000
48,18,34=42,112000,85,112000
48,19,34=46,120000,90,120000
48,20,34=50,128000,95,128000
49,1,31=1,0,0,0
49,2,31=2,500,6,500
49,3,31=3,1000,10,1000
49,4,31=4,2000,15,2000
49,5,31=5,4000,20,4000
49,6,32=6,8000,25,8000
49,7,32=8,10000,30,10000
49,8,32=10,12000,35,12000
49,9,32=12,14000,40,14000
49,10,32=14,16000,45,16000
49,11,33=17,32000,50,32000
49,12,33=20,36000,55,36000
49,13,33=23,40000,60,40000
49,14,33=26,44000,65,44000
49,15,33=30,48000,70,48000
49,16,34=34,96000,75,96000
49,17,34=38,104000,80,104000
49,18,34=42,112000,85,112000
49,19,34=46,120000,90,120000
49,20,34=50,128000,95,128000
50,1,31=1,0,0,0
50,2,31=2,500,6,500
50,3,31=3,1000,10,1000
50,4,31=4,2000,15,2000
50,5,31=5,4000,20,4000
50,6,32=6,8000,25,8000
50,7,32=8,10000,30,10000
50,8,32=10,12000,35,12000
50,9,32=12,14000,40,14000
50,10,32=14,16000,45,16000
50,11,33=17,32000,50,32000
50,12,33=20,36000,55,36000
50,13,33=23,40000,60,40000
50,14,33=26,44000,65,44000
50,15,33=30,48000,70,48000
50,16,34=34,96000,75,96000
50,17,34=38,104000,80,104000
50,18,34=42,112000,85,112000
50,19,34=46,120000,90,120000
50,20,34=50,128000,95,128000
51,1,31=1,0,0,0
51,2,31=2,500,6,500
51,3,31=3,1000,10,1000
51,4,31=4,2000,15,2000
51,5,31=5,4000,20,4000
51,6,32=6,8000,25,8000
51,7,32=8,10000,30,10000
51,8,32=10,12000,35,12000
51,9,32=12,14000,40,14000
51,10,32=14,16000,45,16000
51,11,33=17,32000,50,32000
51,12,33=20,36000,55,36000
51,13,33=23,40000,60,40000
51,14,33=26,44000,65,44000
51,15,33=30,48000,70,48000
51,16,34=34,96000,75,96000
51,17,34=38,104000,80,104000
51,18,34=42,112000,85,112000
51,19,34=46,120000,90,120000
51,20,34=50,128000,95,128000
52,1,31=1,0,0,0
52,2,31=2,500,6,500
52,3,31=3,1000,10,1000
52,4,31=4,2000,15,2000
52,5,31=5,4000,20,4000
52,6,32=6,8000,25,8000
52,7,32=8,10000,30,10000
52,8,32=10,12000,35,12000
52,9,32=12,14000,40,14000
52,10,32=14,16000,45,16000
52,11,33=17,32000,50,32000
52,12,33=20,36000,55,36000
52,13,33=23,40000,60,40000
52,14,33=26,44000,65,44000
52,15,33=30,48000,70,48000
52,16,34=34,96000,75,96000
52,17,34=38,104000,80,104000
52,18,34=42,112000,85,112000
52,19,34=46,120000,90,120000
52,20,34=50,128000,95,128000
53,1,31=1,0,0,0
53,2,31=2,500,6,500
53,3,31=3,1000,10,1000
53,4,31=4,2000,15,2000
53,5,31=5,4000,20,4000
53,6,32=6,8000,25,8000
53,7,32=8,10000,30,10000
53,8,32=10,12000,35,12000
53,9,32=12,14000,40,14000
53,10,32=14,16000,45,16000
53,11,33=17,32000,50,32000
53,12,33=20,36000,55,36000
53,13,33=23,40000,60,40000
53,14,33=26,44000,65,44000
53,15,33=30,48000,70,48000
53,16,34=34,96000,75,96000
53,17,34=38,104000,80,104000
53,18,34=42,112000,85,112000
53,19,34=46,120000,90,120000
53,20,34=50,128000,95,128000
54,1,31=1,0,0,0
54,2,31=2,500,6,500
54,3,31=3,1000,10,1000
54,4,31=4,2000,15,2000
54,5,31=5,4000,20,4000
54,6,32=6,8000,25,8000
54,7,32=8,10000,30,10000
54,8,32=10,12000,35,12000
54,9,32=12,14000,40,14000
54,10,32=14,16000,45,16000
54,11,33=17,32000,50,32000
54,12,33=20,36000,55,36000
54,13,33=23,40000,60,40000
54,14,33=26,44000,65,44000
54,15,33=30,48000,70,48000
54,16,34=34,96000,75,96000
54,17,34=38,104000,80,104000
54,18,34=42,112000,85,112000
54,19,34=46,120000,90,120000
54,20,34=50,128000,95,128000
55,1,31=1,0,0,0
55,2,31=2,500,6,500
