道具ID,道具名称,道具说明,星级,道具类型,礼包掉落ID,随机道具,金币,元宝,卡牌,装备,装备碎片,经验,战功,声望,将魂,体力,好感度,使用类型,开放等级,道具icon,道具资源,可堆叠,堆叠上限,权值,内含道具,元宝价格,银币价格,产地,产出描述1,产出副本1,产出关卡1,产出描述2,产出副本2,产出关卡2,产出描述3,产出副本3,产出关卡3,产出描述4,产出副本4,产出关卡4,产出描述5,产出副本5,产出关卡5,产出描述6,产出副本6,产出关卡6
11,映波珠坠,美人宠幸道具，使用后增加美人10点好感度。,3,15,,,,,,,,,,,,,10,,,resource/icon/beauty/ZhuZhui.png,,1,9999,300,,,50,3 8 11,,,,,,,,,,,,,,,,,,
12,胭红香囊,美人宠幸道具，使用后增加美人10点好感度。,3,15,,,,,,,,,,,,,10,,,resource/icon/beauty/XiangNang.png,,1,9999,300,,,50,3 8 11,,,,,,,,,,,,,,,,,,
13,溜紫锦囊,美人宠幸道具，使用后增加美人20点好感度。,3,15,,,,,,,,,,,,,20,,,resource/icon/beauty/JinNang.png,,1,9999,300,,,100,3 8 11,,,,,,,,,,,,,,,,,,
14,冰凌发簪,美人宠幸道具，使用后增加美人20点好感度。,3,15,,,,,,,,,,,,,20,,,resource/icon/beauty/FaZan.png,,1,9999,300,,,100,3 8 11,,,,,,,,,,,,,,,,,,
15,火纹玉佩,美人宠幸道具，使用后增加美人50点好感度。,4,15,,,,,,,,,,,,,50,,,resource/icon/beauty/YuPei.png,,1,9999,200,,,250,3 8 11,,,,,,,,,,,,,,,,,,
16,琉璃项链,美人宠幸道具，使用后增加美人50点好感度。,4,15,,,,,,,,,,,,,50,,,resource/icon/beauty/XiangLian.png,,1,9999,200,,,250,3 8 11,,,,,,,,,,,,,,,,,,
17,碧纹翡翠,美人宠幸道具，使用后增加美人80点好感度。,4,15,,,,,,,,,,,,,80,,,resource/icon/beauty/FeiCui.png,,1,9999,200,,,400,3 8 11,,,,,,,,,,,,,,,,,,
18,月明珠,美人宠幸道具，使用后增加美人100点好感度。,5,15,,,,,,,,,,,,,100,,,resource/icon/beauty/YueMingZhu.png,,1,9999,100,,,500,1,,,,,,,,,,,,,,,,,,
19,和氏璧,美人突破所需唯一材料。,5,18,,,,,,,,,,,,,,,,resource/icon/beauty/HeShiBi.png,,1,9999,100,,,600,8 11,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,初级技能书,技能升级所需道具，普通副本1-5章较低概率掉落。,2,23,,,,,,,,,,,,,,,,resource/icon/skill_update/skillbook_1.png,,1,9999,,,,10,4,,,,,,,,,,,,,,,,,,
32,中级技能书,技能升级所需道具，普通副本6-10章较低概率掉落。,3,23,,,,,,,,,,,,,,,,resource/icon/skill_update/skillbook_2.png,,1,9999,,,,20,4,,,,,,,,,,,,,,,,,,
33,高级技能书,技能升级所需道具，普通副本11-15章较低概率掉落。,4,23,,,,,,,,,,,,,,,,resource/icon/skill_update/skillbook_3.png,,1,9999,,,,30,4,,,,,,,,,,,,,,,,,,
34,超级技能书,技能升级所需道具，普通副本16-20章较低概率掉落。,5,23,,,,,,,,,,,,,,,,resource/icon/skill_update/skillbook_4.png,,1,9999,,,,40,4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,科技令牌,科技限量道具，可用科技令牌升级科技，使用洗点功能会全部返还。,4,10,,,,,,,,,,,,,,,,resource/icon/gift/LingPai.png,,1,9999,,,,,,,,,,,,,,,,,,,,,,,
52,商店刷新符,可用于名将商城，战场商店的道具刷新。,4,17,,,,,,,,,,,,,,,,resource/icon/gift/refresh.png,,1,9999,,,,100,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,传说宝箱,内含各种装备，宠幸道具等珍惜道具。,5,21,,4164=70=3 4163=70=3 4162=70=3 4161=70=3 4160=70=3 4117=70=3 4116=70=3 4115=70=3 4114=70=3 4113=70=3 4112=70=3 4111=70=3 4110=70=3 4075=70=3 4074=70=3 4072=70=3 4071=70=3 4070=70=3 4069=70=3 4068=70=3 4067=70=3 4065=70=3 4064=70=3 4063=70=3 4062=70=3 4032=70=3 4031=70=3 4030=70=3 4028=70=3 4026=70=3 4025=70=3 4024=70=3 4023=70=3 4022=70=3 4020=70=3 4019=70=3 4158=85=3 4154=85=3 4109=85=3 4107=85=3 4106=85=3 4105=85=3 4061=85=3 4060=85=3 4057=85=3 4056=85=3 4055=85=3 4054=85=3 4018=85=3 4017=85=3 4016=85=3 4015=85=3 4014=85=3 4011=85=3 4010=85=3 4008=85=3 4007=85=3 3158=85=1 3154=86=1 3109=86=1 3107=86=1 3106=86=1 3105=86=1 3061=86=1 3060=86=1 3057=86=1 3056=86=1 3055=86=1 3054=86=1 3018=86=1 3017=86=1 3016=86=1 3015=86=1 3014=86=1 3011=86=1 3010=86=1 3009=86=1 3008=86=1 3007=86=1 701=100=1 34=500=3 33=500=3 32=500=3 31=500=3 19=250=1 18=150=1 17=200=1 16=500=1 15=500=1 14=200=1 13=200=1 ,,,,,,,,,,,,,,resource/icon/gift/box_jin.png,,1,99,,,,100,,,,,,,,,,,,,,,,,,,
87,史诗宝箱,内含各种装备，宠幸道具等珍惜道具。,4,21,,4164=58=2 4163=58=2 4162=58=2 4161=58=2 4160=58=2 4117=58=2 4116=58=2 4115=58=2 4114=58=2 4113=58=2 4112=58=2 4111=58=2 4110=58=2 4075=58=2 4074=58=2 4072=58=2 4071=58=2 4070=58=2 4069=58=2 4068=58=2 4067=58=2 4065=58=2 4064=58=2 4063=58=2 4062=58=2 4032=58=2 4031=58=2 4030=58=2 4028=58=2 4026=58=2 4025=58=2 4024=58=2 4023=58=2 4022=58=2 4020=58=2 4019=58=2 4158=128=2 4154=128=2 4109=128=2 4107=128=2 4106=128=2 4105=128=2 4061=128=2 4060=128=2 4057=128=2 4056=128=2 4055=128=2 4054=128=2 4018=128=2 4017=128=2 4016=128=2 4015=128=2 4014=128=2 4011=128=2 4010=128=2 4008=128=2 4007=128=2 3158=57=1 3154=57=1 3109=57=1 3107=57=1 3106=57=1 3105=57=1 3061=57=1 3060=57=1 3057=57=1 3056=57=1 3055=57=1 3054=57=1 3018=57=1 3017=57=1 3016=57=1 3015=57=1 3014=57=1 3011=57=1 3010=57=1 3009=57=1 3008=57=1 3007=57=1 701=100=1 34=500=2 33=500=2 32=500=2 31=500=2 19=100=1 16=200=1 15=200=1 14=500=1 13=500=1 12=200=1 11=200=1,,,,,,,,,,,,,,resource/icon/gift/box_yin.png,,1,99,,,,200,,,,,,,,,,,,,,,,,,,
88,稀有宝箱,内含各种装备，宠幸道具等珍惜道具。,3,21,,4164=46=1 4163=46=1 4162=46=1 4161=46=1 4160=46=1 4117=46=1 4116=46=1 4115=46=1 4114=46=1 4113=46=1 4112=46=1 4111=46=1 4110=46=1 4075=46=1 4074=46=1 4072=46=1 4071=46=1 4070=46=1 4069=46=1 4068=46=1 4067=46=1 4065=46=1 4064=46=1 4063=46=1 4062=46=1 4032=46=1 4031=46=1 4030=46=1 4028=46=1 4026=46=1 4025=46=1 4024=46=1 4023=46=1 4022=46=1 4020=46=1 4019=46=1 4158=171=1 4154=171=1 4109=171=1 4107=171=1 4106=171=1 4105=171=1 4061=171=1 4060=171=1 4057=171=1 4056=171=1 4055=171=1 4054=171=1 4018=171=1 4017=171=1 4016=171=1 4015=171=1 4014=171=1 4011=171=1 4010=171=1 4008=171=1 4007=171=1 3158=29=1 3154=29=1 3109=29=1 3107=29=1 3106=29=1 3105=29=1 3061=29=1 3060=29=1 3057=29=1 3056=29=1 3055=29=1 3054=29=1 3018=28=1 3017=28=1 3016=28=1 3015=28=1 3014=28=1 3011=28=1 3010=28=1 3008=28=1 3007=28=1 701=100=1 34=500=1 33=500=1 32=500=1 31=500=1 19=20=1 14=200=1 13=200=1 12=800=1 11=800=1,,,,,,,,,,,,,,resource/icon/gift/box_tong.png,,1,99,,,,300,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,银币,游戏通用货币，可用于武将强化，武将进阶，美人参悟等,3,2,,,1,,,,,,,,,,,,,resource/icon/gift/money.png,,,,,,,,,,,,,,,,,,,,,,,,,,
602,元宝,RMB兑换货币，可用于购买道具，抽卡等,5,3,,,,1,,,,,,,,,,,,resource/icon/gift/gold.png,,,,,,,,,,,,,,,,,,,,,,,,,,
603,战功,竞技场获得的战功，可用于竞技场商店购买道具,3,22,,,,,,,,,1,,,,,,,resource/icon/gift/zhangong.png,,,,,,,,,,,,,,,,,,,,,,,,,,
604,声望,出塞获得的声望，可在声望商店购买道具。,3,26,,,,,,,,,,1,,,,,,resource/icon/gift/shengwang.png,,,,,,,,,,,,,,,,,,,,,,,,,,
605,将魂,武将碎片分解可得道具,3,12,,,,,,,,,,,1,,,,,resource/icon/gift/jianghun.png,,,,,,,,,,,,,,,,,,,,,,,,,,
606,星魂,星座商店货币。,3,11,,,,,,,,,,,,,,,,resource/icon/gift/xinghun.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,体力丹,回复20点体力值。,3,4,,,,,,,,,,,,20,,,,resource/icon/gift/chicken.png,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,银币单抽,,3,1,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,银币10连抽,,3,1,801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,元宝单抽,,5,1,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,元宝10连抽,,5,1,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,随机白色国家，职业材料,,1,21,,6001=10=1 6002=10=1 6003=10=1 6004=10=1 6005=10=1 6006=10=1 6007=10=1 6008=10=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,随机白色其他材料,,1,21,,6011=5=1 6012=5=1 6013=5=1 6014=5=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,随机绿色国家，职业材料,,2,21,,6021=5=2 6022=5=2 6023=5=2 6024=5=2 6025=5=2 6026=5=2 6027=5=2 6028=5=2 6029=5=2 6030=5=2 6031=5=2 6032=5=2 6033=5=2 6034=5=2 6035=5=2 6036=5=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,随机绿色其他材料,,2,21,,6041=5=1 6042=5=1 6043=5=1 6044=5=1 6045=5=1 6046=5=1 6047=5=1 6048=5=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,随机蓝色国家，职业材料,,3,21,,6051=5=3 6052=5=3 6053=5=3 6054=5=3 6055=5=3 6056=5=3 6057=5=3 6058=5=3 6059=5=3 6060=5=3 6061=5=3 6062=5=3 6063=5=3 6064=5=3 6065=5=3 6066=5=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,随机蓝色其他材料,,3,21,,6071=5=1 6072=5=1 6073=5=1 6074=5=1 6075=5=1 6076=5=1 6077=5=1 6078=5=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,随机紫色国家，职业材料,,4,21,,6079=5=3 6080=5=3 6081=5=3 6082=5=3 6083=5=3 6084=5=3 6085=5=3 6086=5=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,随机紫色其他材料,,4,21,,6091=5=3 6092=5=3 6093=5=3 6094=5=3 6095=5=3 6096=5=3 6097=5=3 6098=5=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,3关武将碎片,,4,21,,2001=10=1 2025=10=1 2151=10=1 2098=10=1 2064=10=1 2026=10=1 2066=10=1 2044=10=1 2050=10=1 2042=10=1 2018=10=1 2007=10=1 2051=10=1 2006=10=1 2031=10=1 2069=10=1 2259=10=1 2070=10=1 2004=10=1 2023=10=1 2028=10=1 2060=10=1 2058=10=1 2175=10=1 2111=10=1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,6关武将碎片,,4,21,,2001=10=1 2025=10=1 2151=10=1 2098=10=1 2064=10=1 2026=10=1 2066=10=1 2044=10=1 2050=10=1 2042=10=1 2018=10=1 2007=10=1 2051=10=1 2006=10=1 2031=10=1 2069=10=1 2259=10=1 2070=10=1 2004=10=1 2023=10=1 2028=10=1 2060=10=1 2058=10=1 2175=10=1 2111=10=1 2001=10=2 2025=10=2 2151=10=2 2098=10=2 2064=10=2 2026=10=2 2066=10=2 2044=10=2 2050=10=2 2042=10=2 2018=10=2 2007=10=2 2051=10=2 2006=10=2 2031=10=2 2069=10=2 2259=10=2 2070=10=2 2004=10=2 2023=10=2 2028=10=2 2060=10=2 2058=10=2 2175=10=2 2111=10=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,9关武将碎片,,4,21,,2001=10=2 2025=10=2 2151=10=2 2098=10=2 2064=10=2 2026=10=2 2066=10=2 2044=10=2 2050=10=2 2042=10=2 2018=10=2 2007=10=2 2051=10=2 2006=10=2 2031=10=2 2069=10=2 2259=10=2 2070=10=2 2004=10=2 2023=10=2 2028=10=2 2060=10=2 2058=10=2 2175=10=2 2111=10=2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,12关武将碎片,,4,21,,2001=10=2 2025=10=2 2151=10=2 2098=10=2 2064=10=2 2026=10=2 2066=10=2 2044=10=2 2050=10=2 2042=10=2 2018=10=2 2007=10=2 2051=10=2 2006=10=2 2031=10=2 2069=10=2 2259=10=2 2070=10=2 2004=10=2 2023=10=2 2028=10=2 2060=10=2 2058=10=2 2175=10=2 2111=10=2 2001=10=3 2025=10=3 2151=10=3 2098=10=3 2064=10=3 2026=10=3 2066=10=3 2044=10=3 2050=10=3 2042=10=3 2018=10=3 2007=10=3 2051=10=3 2006=10=3 2031=10=3 2069=10=3 2259=10=3 2070=10=3 2004=10=3 2023=10=3 2028=10=3 2060=10=3 2058=10=3 2175=10=3 2111=10=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,15关武将碎片,,4,21,,2001=10=3 2025=10=3 2151=10=3 2098=10=3 2064=10=3 2026=10=3 2066=10=3 2044=10=3 2050=10=3 2042=10=3 2018=10=3 2007=10=3 2051=10=3 2006=10=3 2031=10=3 2069=10=3 2259=10=3 2070=10=3 2004=10=3 2023=10=3 2028=10=3 2060=10=3 2058=10=3 2175=10=3 2111=10=3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,精英碎片箱,精英副本掉落，可随机获得1个3星，4星，5星武将碎片。,3,1,100,,,,,,,,,,,,,,,resource/icon/gift/suipian_jingying.png,,1,99,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,张飞,蜀国1星步兵张飞,3,7,,,,,1,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1002,周瑜,吴国3星军师周瑜,3,7,,,,,2,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1003,许褚,魏国1星步兵许褚,1,7,,,,,3,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1004,夏侯惇,魏国3星步兵夏侯惇,3,7,,,,,4,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1005,孙权,吴国3星弓兵孙权,3,7,,,,,5,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1006,甘宁,吴国3星步兵甘宁,3,7,,,,,6,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1007,郭嘉,魏国3星军师郭嘉,3,7,,,,,7,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1008,陆逊,吴国1星军师陆逊,1,7,,,,,8,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1009,诸葛亮,蜀国3星军师诸葛亮,3,7,,,,,9,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1010,司马懿,魏国1星军师司马懿,1,7,,,,,10,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1011,孙尚香,吴国3星弓兵孙尚香,2,7,,,,,11,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1012,黄月英,蜀国2星军师黄月英,2,7,,,,,12,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1013,曹操,魏国3星步兵曹操,3,7,,,,,13,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1014,吕布,群雄3星骑兵吕布,3,7,,,,,14,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1015,关羽,蜀国3星骑兵关羽,3,7,,,,,15,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1016,赵云,蜀国3星骑兵赵云,3,7,,,,,16,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1017,马超,蜀国3星骑兵马超,3,7,,,,,17,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1018,张辽,魏国3星骑兵张辽,3,7,,,,,18,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1019,刘备,蜀国3星步兵刘备,3,7,,,,,19,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1020,左慈,群雄3星军师左慈,3,7,,,,,20,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1021,貂蝉,群雄3星军师貂蝉,3,7,,,,,21,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1022,华佗,群雄3星弓兵华佗,3,7,,,,,22,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1023,小乔,吴国2星弓兵小乔,2,7,,,,,23,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1024,甄姬,魏国1星弓兵甄姬,1,7,,,,,24,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1025,蔡文姬,群雄1星军师蔡文姬,1,7,,,,,25,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1026,大乔,吴国2星军师大乔,2,7,,,,,26,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1027,张昭,吴国1星弓兵张昭,1,7,,,,,27,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1028,步练师,吴国1星骑兵步练师,1,7,,,,,28,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1029,司马昭,魏国1星军师司马昭,1,7,,,,,29,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1030,司马师,魏国1星军师司马师,1,7,,,,,30,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1031,甘夫人,蜀国1星军师甘夫人,1,7,,,,,31,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1032,辛宪英,魏国1星军师辛宪英,1,7,,,,,32,,,,,,,,,,,,,,,,,,, 4 5,,,,,,,,,,,,,,,,,,
1033,张春华,魏国1星步兵张春华,1,7,,,,,33,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1034,马云禄,蜀国1星骑兵马云禄,1,7,,,,,34,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1035,王异,群雄1星军师王异,2,7,,,,,35,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1036,王元姬,魏国1星骑兵王元姬,1,7,,,,,36,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1037,孙策,吴国1星步兵孙策,3,7,,,,,37,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1038,姜维,蜀国1星骑兵姜维,1,7,,,,,38,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1039,乐进,魏国1星弓兵乐进,1,7,,,,,39,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1040,张绣,群雄1星骑兵张绣,1,7,,,,,40,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1041,夏侯渊,魏国1星弓兵夏侯渊,2,7,,,,,41,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1042,文丑,群雄2星骑兵文丑,1,7,,,,,42,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1043,纪灵,群雄1星骑兵纪灵,1,7,,,,,43,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1044,程普,吴国1星骑兵程普,1,7,,,,,44,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1045,曹仁,魏国1星步兵曹仁,2,7,,,,,45,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1046,张郃,魏国1星骑兵张郃,1,7,,,,,46,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1047,关兴,蜀国1星骑兵关兴,1,7,,,,,47,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1048,张苞,蜀国1星骑兵张苞,1,7,,,,,48,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1049,孙坚,吴国1星步兵孙坚,2,7,,,,,49,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
1050,颜良,群雄2星骑兵颜良,1,7,,,,,50,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1051,吕蒙,吴国3星骑兵吕蒙,3,7,,,,,51,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1052,鲁肃,吴国1星军师鲁肃,1,7,,,,,52,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1053,祝融夫人,蜀国1星步兵祝融夫人,1,7,,,,,53,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1054,关银屏,蜀国1星骑兵关银屏,1,7,,,,,54,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1055,张星彩,蜀国1星步兵张星彩,2,7,,,,,55,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,
1056,鲍三娘,蜀国1星步兵鲍三娘,1,7,,,,,56,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
1057,荀彧,魏国1星军师荀彧,1,7,,,,,57,,,,,,,,,,,,,,,,,,,9 4 5,,,,,,,,,,,,,,,,,,
