场景ID,武将1,武将1名称,场景配表,场景背景
229,16,赵云,csv/scene/tower/229.csv,resource/bg/JunYingWai_3.jpg
230,58,贾诩,csv/scene/tower/230.csv,resource/bg/ShanGu_1.jpg
231,2,周瑜,csv/scene/tower/231.csv,resource/bg/ShanGu_2.jpg
232,7,郭嘉,csv/scene/tower/232.csv,resource/bg/ShanGu_3.jpg
233,49,孙坚,csv/scene/tower/233.csv,resource/bg/HuLaoGuan_1.jpg
234,60,庞统,csv/scene/tower/234.csv,resource/bg/HuLaoGuan_2.jpg
235,40,张绣,csv/scene/tower/235.csv,resource/bg/HuLaoGuan_3.jpg
,,,,
,,,,
301,68,孟获,csv/scene/tower/301.csv,resource/bg/ChengNei_1.jpg
302,41,夏侯渊,csv/scene/tower/302.csv,resource/bg/ChengNei_2.jpg
303,123,袁绍,csv/scene/tower/303.csv,resource/bg/ChengNei_3.jpg
304,73,典韦,csv/scene/tower/304.csv,resource/bg/ChengQiang_1.jpg
305,74,曹丕,csv/scene/tower/305.csv,resource/bg/ChengQiang_2.jpg
306,28,步练师,csv/scene/tower/306.csv,resource/bg/ChengQiang_3.jpg
307,50,颜良,csv/scene/tower/307.csv,resource/bg/JunYingWai_1.jpg
308,98,华雄,csv/scene/tower/308.csv,resource/bg/JunYingWai_2.jpg
309,31,甘夫人,csv/scene/tower/309.csv,resource/bg/JunYingWai_3.jpg
310,42,文丑,csv/scene/tower/310.csv,resource/bg/ShanGu_1.jpg
311,71,周泰,csv/scene/tower/311.csv,resource/bg/ShanGu_2.jpg
312,153,诸葛果,csv/scene/tower/312.csv,resource/bg/ShanGu_3.jpg
313,70,魏延,csv/scene/tower/313.csv,resource/bg/HuLaoGuan_1.jpg
314,151,张角,csv/scene/tower/314.csv,resource/bg/HuLaoGuan_2.jpg
315,69,徐晃,csv/scene/tower/315.csv,resource/bg/HuLaoGuan_3.jpg
316,45,曹仁,csv/scene/tower/316.csv,resource/bg/TianYe_1.jpg
317,65,黄忠,csv/scene/tower/317.csv,resource/bg/TianYe_2.jpg
318,64,太史慈,csv/scene/tower/318.csv,resource/bg/TianYe_3.jpg
319,21,貂蝉,csv/scene/tower/319.csv,resource/bg/TianYe_1.jpg
320,1,张飞,csv/scene/tower/320.csv,resource/bg/TianYe_2.jpg
321,14,吕布,csv/scene/tower/321.csv,resource/bg/ChengNei_1.jpg
322,13,曹操,csv/scene/tower/322.csv,resource/bg/ChengNei_2.jpg
323,5,孙权,csv/scene/tower/323.csv,resource/bg/ChengNei_3.jpg
324,19,刘备,csv/scene/tower/324.csv,resource/bg/ChengQiang_1.jpg
325,20,左慈,csv/scene/tower/325.csv,resource/bg/ChengQiang_2.jpg
326,18,张辽,csv/scene/tower/326.csv,resource/bg/ChengQiang_3.jpg
327,22,华佗,csv/scene/tower/327.csv,resource/bg/JunYingWai_1.jpg
328,60,庞统,csv/scene/tower/328.csv,resource/bg/JunYingWai_2.jpg
329,16,赵云,csv/scene/tower/329.csv,resource/bg/JunYingWai_3.jpg
330,58,贾诩,csv/scene/tower/330.csv,resource/bg/ShanGu_1.jpg
331,2,周瑜,csv/scene/tower/331.csv,resource/bg/ShanGu_2.jpg
332,7,郭嘉,csv/scene/tower/332.csv,resource/bg/ShanGu_3.jpg
333,49,孙坚,csv/scene/tower/333.csv,resource/bg/HuLaoGuan_1.jpg
334,60,庞统,csv/scene/tower/334.csv,resource/bg/HuLaoGuan_2.jpg
335,40,张绣,csv/scene/tower/335.csv,resource/bg/HuLaoGuan_3.jpg
