引导ID,记录ID,类型,小人对话方向,小人对话左下角坐标,小人内容,talkID,触发新引导ID,步骤跳转,旋转角度,距离,注释,,
1023,,0,1,-250 120,主公，我们实力大增，我已经迫不及待想去通关了！,,1024,,-90,,留出【关闭】,,
1024,7,0,1,,,,1025,,1,,副本,1003 1024 1030 1033 1036 1055 1059 1063 1083 1087 1091,
1025,,0,1,,,,1026,,1,,普通难度章节黄巾之乱,1004 1025 1031 1034 1037,
1026,,0,1,,,,1027,,1,,留出普通难度的章节一关卡2【颍川之战】,,
1027,,0,1,-300 120,程远志，貌似不认识呀，秒了他,,1028,,1,,【挑战】,1006 1027 950 951 952 953 954 955,
1028,,10102,2,-30 120,主公，拖动武将可以改变位置哦，我们把蔡文姬和华雄交换位置吧！,,1029,8,1,,布阵引导,,
1029,,0,1,-250 120,主公，有通关星数宝箱可以领啦，星数越多，宝箱越多哦！,,905,,180,,留出【通关星级宝箱】,,
905,,0,1,,,,1032,,1,50,,,
1030,8,0,1,,,,1031,,1,,副本,1003 1024 1030 1033 1036 1055 1059 1063 1083 1087 1091,
1031,,0,1,,,,1032,,1,,普通难度章节黄巾之乱,1004 1025 1031 1034 1037,
1032,,0,1,,,,950,,1,,留出普通难度的章节一关卡3【广宗之战】,,
950,,10103,1,,,,1035,9,-90,,【挑战】,1006 1027 950 951 952 953 954 955,
1033,9,0,1,,,,1034,,1,,副本,1003 1024 1030 1033 1036 1055 1059 1063 1083 1087 1091,
1034,,0,1,,,,1035,,1,,普通难度章节黄巾之乱,1004 1025 1031 1034 1037,
1035,,0,1,,,,951,,1,,留出普通难度的章节一关卡4【曲阳之战】,,
951,,10104,1,,,,1038,10,-90,,【挑战】,1006 1027 950 951 952 953 954 955,
1036,10,0,1,,,,1037,,1,,副本,1003 1024 1030 1033 1036 1055 1059 1063 1083 1087 1091,
1037,,0,1,,,,1038,,1,,普通难度章节黄巾之乱,1004 1025 1031 1034 1037,
1038,,0,1,-250 120,主公，这关就是普通难度的BOSS关卡啦！,,952,,1,,留出普通难度的章节一关卡5【巨鹿之战】,,
952,,10105,1,,,,1039,11,-90,,【挑战】,1006 1027 950 951 952 953 954 955,
1039,,0,1,,,,1040,,1,50,【去看看】,1009 1039 1067 1095,
1040,,0,1,,,20004,1041,,1,,,,
1041,11,0,1,,,,1042,,1,,点将,1015 1019 1041 1046 1073 1077 1097 1100,
1042,,0,1,-250 120,主公，进化 从这里进哦！,,1043,,-90,,留出【进化】,1016 1042 1047,
1043,,0,2,-80 60,主公，我们先镶嵌第一个战魂试试吧！,,1044,,180,,留出【第一个战魂槽】,,
1044,,0,1,,,,1045,13,1,50,留出【镶嵌】,,
1045,,0,1,-250 120,,,1046,,-90,,留出【进化界面的关闭】,,
1046,,0,1,,,,1054,,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1054,13,0,,,,20005,1055,,1,,,,
1055,,0,1,,,,1056,,1,,副本,1003 1024 1030 1033 1036 1055 1059 1063 1083 1087 1091,
1056,,0,2,-250 120,主公，点击这里就可以进入 精英 副本挑战啦！,,1057,,1,,【精英】,1056 1060 1064,
1057,,0,2,-250 120,如何让一个名字看起来高大上？在前面加一个“真”字就可以了~,,,1000,1,,留出精英第一章【真·黄巾之乱】,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,武将进化引导，触发条件：首次有武将在进化界面 进化材料滿 时,,,,,,,,,,,,
500,,0,1,-250 120,主公，战魂镶嵌滿的时候就可以使武将进化！,,,,1,,留出【进化】,,
,技能升级引导，触发条件:首次玩家进入技能界面且选中到可升级的技能时,,,,,,,,,,,,
501,,0,1,-250 120,技能升级后能大幅度提升武将的实力！,,,,1,,留出【升级】,,
,碎片合成引导,,,,,,,,,,,,
502,,0,2,-250 120,主公，收集武将碎片即可合成该武将哦！,,,,1,,留出【第一个武将碎片】,,
,升星引导,,,,,,,,,,,,
503,,0,1,-250 150,主公，收集一定数量的同武将碎片，就可以提升星级！,,,,1,,留出【升星】,,
,vip礼包购买引导，增加vip0礼包红点提示，当在商城礼包界面vip0礼包未购买时，触发引导,,,,,,,,,,,,
504,,0,2,-250 120,主公，达到一定的vip等级可以购买超划算的vip礼包哦！,,,,1,,留出vip0礼包,,
,,,,,,,,,,,,,
,技能升级去看看,,,,,,,,,,,,
600,,0,1,,,,601,,1,,留出【点将】,,
601,,0,1,,,,,,1,,留出【第一武将的技能】,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,战场引导,,,,,,,,,,,,
1180,,0,,,,,1181,,1,,【去看看】,,
1181,,0,,,,20010,1182,,1,,,,
1182,,0,1,-345 105,这里是战场入口！,,,,1,,,,
,,,,,,,,,,,,,
,点将礼包引导,,,,,,,,,,,,
1190,,0,1,,,,1191,,1,,【去看看】,,
1191,,0,2,,,,1192,,1,,,,
1192,,0,1,,,,1193,,1,,,,
1193,,0,1,,,,1194,,1,,,,
1194,,0,1,-250 120,点击外面区域即可关闭礼包,,1195,,90,,,,
1195,,0,1,,,,1196,,1,,,,
1196,,0,1,,,,,,1,,,,
,,,,,,,,,,,,,
,科技引导,,,,,,,,,,,,
1200,,0,,,,,1201,,1,,【去看看】,,
1201,,0,,,,20011,1202,,1,,,,
1202,,0,2,-150 150,这里是科技入口！,,1203,,90,,,,
1203,,0,2,-260 30,点击【进入】，我们就可以研究该科技了。,,1204,,1,,,,
1204,,0,1,-226 180,每次升级，都会消耗一定数量的科技令牌哦！,,,,1,,,,
,,,,,,,,,,,,,
,美人引导,,,,,,,,,,,,
1210,,0,,,,,1211,,1,,【去看看】,,
1211,,0,,,,20012,1212,,1,,,,
1212,,0,,,,,1213,,1,,,,
1213,,0,1,-280 120,该美人达到招募条件了，可以招募,,1214,,1,,,,
1214,,0,1,-280 120,点击出战就可以增强美人附加的属性了,,1215,,1,,,,
1215,,0,1,-280 120,该美人可以通过宠幸和参悟增强实力,,1216,,1,,,,
1216,,0,1,-280 120,可以通过宝物宠幸增强美人等级,,,,1,,,,
,,,,,,,,,,,,,
,过关斩将引导,,,,,,,,,,,,
1220,,0,,,,,1221,,1,,【去看看】,,
1221,,0,,,,20013,1222,,1,,,,
1222,,0,,,,,,,1,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,名将引导,,,,,,,,,,,,
1230,,0,,,,,1231,,1,,【去看看】,,
1231,,0,,,,20015,1232,,1,,,,
1232,,0,1,,,,,,1,,,,
,,,,,,,,,,,,,
,金钱本引导,,,,,,,,,,,,
1240,,0,,,,,1241,,1,,【去看看】,,
1241,,0,,,,20016,1242,,1,,,,
1242,,0,1,,,,1243,,1,,,,
1243,,0,1,,,,,,1,-100,,,
,,,,,,,,,,,,,
,经验本引导,,,,,,,,,,,,
1250,,0,,,,,1251,,1,,【去看看】,,
1251,,0,,,,20017,1252,,1,,,,
1252,,0,1,,,,1253,,1,,,,
1253,,0,1,,,,,,1,-100,,,
,,,,,,,,,,,,,
,出塞引导,,,,,,,,,,,,
1260,,0,,,,,1261,,1,,【去看看】,,
1261,,0,,,,20018,1262,,1,,,,
1262,,0,1,,,,,,1,,,,
,,,,,,,,,,,,,
,小伙伴引导,,,,,,,,,,,,
1270,,0,,,,,1271,,1,,【去看看】,,
1271,,0,,,,20019,1272,,1,,,,
1272,,0,1,,,,1273,,1,,,,
1273,,0,0,,,,,,1,,,,
,,,,,,,,,,,,,
,装备引导,,,,,,,,,,,,
1274,,0,1,,,,1275,,1,,【去看看】,,
1275,,0,1,,,,1276,,1,,留出【点将】,,
1276,,0,1,-250 150,每个武将可以装备6件装备！,,1277,,1,,留出【第一个武将第一个装备，且告知装备能强化】,,
1277,,0,2,-250 150,我们先装备第一把武器吧！,,1278,,1,,留出【第一把武器】,,
1278,,0,1,-250 150,装备可以通过强化提升大量属性！,,1279,,1,,留出【第一个装备槽装备】,,
1279,,0,1,-265 150,小技巧：双击强化10次即可跳过动画哦！,,,,1,,留出【强化】,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,每日任务引导,,,,,,,,,,,,
1281,,0,1,,,,1282,,1,,留出【去看看】,,
1282,,0,1,-250 120,主公，每日任务可提供大量的经验奖励哦！,,,,1,,回到主界面，留出【任务】,,
