副本ID,剧情ID,名称,阶段,类型,玩家对话,武将ID,武将名,剧情
10105,5,玩家,3,1,1,,,你是张宝请来的救兵吗？
10105,6,BOSS,3,2,,201,张宝,俺哥哥是天公将军张角大人！
10105,7,BOSS,3,2,,151,张角,既然道不同，那唯有一战了！
10105,8,玩家,3,1,1,,,众将听令，随我出征！
10105,9,BOSS,4,2,,151,张角,我的太平道，就这样结束了吗
10105,10,玩家,4,1,1,,,哇！(⊙０⊙) 是1星凤珠耶~
10201,1,BOSS,1,1,1,,,听说有位大耳朵刘皇叔
10201,2,玩家,1,2,,19,刘备,卖草鞋嘞，新鲜的破鞋~
10201,3,BOSS,2,2,,19,刘备,o(︶︿︶)o 唉，战乱四起，民不聊生啊
10201,4,玩家,4,1,1,,,有时间在这唏嘘，何不带三尺之剑，立不世之功？
10202,1,BOSS,2,2,,19,刘备,三弟！怎么两个三弟？
10202,2,BOSS,2,2,,1,张飞,大哥，我是真的！
10202,3,BOSS,2,1,,1,张飞,大哥，我才是真的！
10202,4,BOSS,2,2,,19,刘备,那我要念咒了~~~
10202,5,BOSS,2,2,,1,张飞,啊，头好疼，啊，别念了~
10202,6,玩家,2,1,1,,,→_→ 你们两个演够了吧
10203,1,BOSS,2,2,,1,张飞,组成脚和腿！
10203,2,BOSS,2,2,,15,关羽,组成躯干和手臂！
10203,3,BOSS,2,2,,19,刘备,我来组成头部！
10203,4,玩家,2,1,1,,,嗯哼，战神金刚？
10203,5,BOSS,2,2,,19,刘备,前进！刘关张！
10204,1,BOSS,2,2,,4,夏侯惇,趁此大乱时机，孟德也该展现一下能力了！
10204,2,BOSS,2,2,,13,曹操,哼，我等这个时机很久了
10204,3,玩家,4,1,1,,,乱世之奸雄，终于要出场了吗?
10205,1,BOSS,2,2,,13,曹操,我的霸业，从今天就要开始了！
10205,2,玩家,2,1,1,,,别太得意忘形！
10205,3,BOSS,2,2,,13,曹操,你是谁？
10205,4,玩家,2,1,1,,,你不用知道我是谁！
10205,5,BOSS,2,2,,13,曹操,哼，一切阻挡我的人，都得死！
10206,1,BOSS,1,2,,45,曹仁,孟德起兵，吾等当效犬马之劳
10206,2,BOSS,1,2,,74,曹丕,叔父亲至，何愁大业不成！
10206,3,BOSS,1,2,,45,曹仁,侄儿过奖，且随我退却来兵
10206,4,BOSS,2,2,,45,曹仁,战个痛快！
10207,1,BOSS,2,2,,44,程普,让天下见识我们江东儿郎的实力吧！
10207,1,玩家,4,1,1,,,江东猛虎终于要苏醒了吗？
10208,1,BOSS,2,2,,5,孙权,我们来助父亲大人一臂之力！
10208,2,BOSS,2,2,,28,步练师,夫君，臣妾来助你！
10208,3,BOSS,2,2,,5,孙权,你怎么来了，这里是男人的战场，快回家！
10208,4,BOSS,2,2,,28,步练师,臣妾做不到啊~
10209,2,BOSS,2,2,,49,孙坚,随我北上，征服天下吧！
10209,3,BOSS,2,2,,37,孙策,上吧，父亲大人！
10209,4,玩家,4,1,1,,,乱世之中，又要多了一股不容小觑的势力了！
10210,1,BOSS,1,2,,259,董卓,哼，天下终将被我所征服！
10210,2,BOSS,1,2,,111,公孙瓒,某虽不才，但是也想趁火打劫一番
10210,3,BOSS,2,2,,259,董卓,顺我者昌，逆我者亡！
10210,4,玩家,2,1,1,,,你太嚣张了，活不久的！
10210,5,BOSS,4,2,,123,袁绍,我祖上四世三公，理当由我来治理这个乱世！
10210,6,玩家,4,1,1,,,阿猫阿狗都想分一杯羹！
10301,1,BOSS,2,2,,259,董卓,联军势大，吾儿奉先何在？
10301,2,BOSS,2,2,,58,贾诩,吕将军在外尚未归来！
10301,3,BOSS,2,2,,98,华雄,杀鸡焉用牛刀，待某前去杀他们个人仰马翻！
10302,1,BOSS,2,2,,58,贾诩,听我的没错，保证灭了他们
10302,2,玩家,2,1,1,,,那可不一定
10302,3,BOSS,2,2,,58,贾诩,哼，不信那就来试试！
10303,1,BOSS,2,2,,98,华雄,虽然人多，但是在我看来，只是一群乌合之众罢了！
10303,2,BOSS,2,2,,58,贾诩,哼哼，有我在此，一切诡计都休想得逞。
10303,3,BOSS,2,2,,259,董卓,我要吃了这鲜肉！（舔嘴~）
10303,4,玩家,2,1,1,,,看来难免有一场恶战了！
10304,1,BOSS,2,2,,13,曹操,小的有一把宝刀，想要献给丞相大人（看削！）
10304,2,BOSS,2,2,,259,董卓,哎呦，曹操你敢削我，真是作死，来人给我把他拿下！
10304,3,BOSS,2,2,,175,陈宫,小人得令！
10305,1,BOSS,4,2,,175,陈宫,孟德大人，小的早看董贼不爽，愿意跟随你一起闯天下！
10305,1,BOSS,4,2,,13,曹操,公台既然看的起我，我们就携手摆脱追兵吧！
10307,1,BOSS,2,2,,49,孙坚,朝中奸臣当道，儿郎们跟我上，灭了他们
10307,2,BOSS,2,2,,49,孙坚,如能恢复汉室，我等将是第一功臣！
10307,3,玩家,4,1,1,,,果然是江东猛虎啊！
10308,1,BOSS,2,2,,44,孙策,好久没有和人动手了！
10309,2,BOSS,1,2,,44,程普,儿郎们，跟我上！
10309,1,BOSS,2,2,,5,孙权,敌人来了吗？
10309,2,BOSS,2,2,,37,孙策,又有架打了，好开心！
10310,1,BOSS,1,2,,49,刘备,匡扶汉室！
10310,1,BOSS,1,2,,49,孙坚,乱世要靠我的能力来终结
10310,2,BOSS,3,2,,13,曹操,是时候表演真正的技术了！
10310,3,BOSS,3,2,,123,袁绍,我真的是四世三公！
10310,4,玩家,4,1,1,,,真是群雄并起啊！
10401,1,BOSS,2,2,,68,孟获,大山那边的世界很动乱~
10401,2,BOSS,2,2,,53,祝融夫人,大王，我们快去解放他们吧~
10402,1,BOSS,2,2,,135,李傕,董卓大人，看某为你杀了这群鼠辈
10402,2,BOSS,2,2,,259,董卓,去吧，我很看好你哟！
10403,1,BOSS,1,2,,135,李傕,没想到我军尚有如此厉害人物
10403,2,BOSS,1,2,,81,郭汜,我们依计而行，将敌人引入约定地点
10403,3,BOSS,2,2,,98,华雄,吾乃华雄是也，谁敢来与我决一死战！
10404,1,BOSS,1,2,,18,张辽,阵前不可轻敌，站好位置，准备战斗
10404,2,BOSS,2,2,,176,高顺,儿郎们，排好阵列，跟我突袭！
10406,1,BOSS,1,2,,14,吕布,一群蝼蚁，居然要本大爷亲自动手，真是可恶
10407,1,BOSS,2,2,,21,貂蝉,太师，我在这里，快过来！
10407,2,BOSS,2,2,,259,董卓,美人不要跑！
10408,1,BOSS,2,2,,14,吕布,貂蝉，我才能保护你，跟我走吧！
10408,2,BOSS,2,2,,21,貂蝉,将军，可是董太师他要霸占奴家
10409,1,BOSS,2,2,,259,董卓,逆子，居然和为父抢女人
10409,2,BOSS,2,2,,14,吕布,放开那个姑娘，有本事冲我来！
10409,3,BOSS,2,2,,259,董卓,看画戟！走你！
10409,4,BOSS,4,2,,21,貂蝉,哼哼，终于翻脸了，义父大人小女总算未付所托
10410,1,BOSS,1,2,,135,李傕,恭喜太师终于受禅成为皇帝了！
10410,2,玩家,4,1,1,,,天下万不可落入董贼手中，不知道奉先大人是否做好准备了
10410,3,BOSS,2,2,,81,郭汜,哈哈，太师一旦称帝，我就要飞黄腾达了
10410,4,玩家,2,1,1,,,哼，死到临头还不自知！
10410,5,BOSS,3,2,,58,贾诩,太师，你不觉的气氛有些不对吗？
10410,6,BOSS,3,2,,259,董卓,哈哈哈哈，文和不必多虑，今天乃我登基吉日，我是真命天子
10410,7,BOSS,3,2,,259,董卓,何况吾儿奉先在此，何惧之有，对吧奉先
10410,8,BOSS,3,2,,14,吕布,哼，篡汉老贼，受死吧，看戟！
10410,9,BOSS,3,2,,259,董卓,可恶，逆子，你不得好死！
10410,4,玩家,4,1,1,,,哇！(⊙０⊙) 是2星凤珠！
10501,1,BOSS,3,2,,35,王异,马超，你就算跑到天涯海角，我也要杀了你！
10502,1,BOSS,3,2,,17,马超,哼，想我久居西凉，中原鼠辈不知我锦马超大名也算情有可原
10503,1,BOSS,3,2,,35,王异,马超，你还能跑到哪，快来受死！
10503,1,BOSS,3,2,,17,马超,待我解决了这些敌人，再收拾你这个疯女子！
10504,1,BOSS,3,2,,42,文丑,我乃河内名将文丑是也，鼠辈快来受死！
10505,1,BOSS,3,2,,50,颜良,没想到你们居然能击退文丑，也好，有资格做我的对手
10506,1,BOSS,1,2,,42,文丑,别以为我怕了你们，这一仗就是你们的死期！
10506,2,BOSS,2,2,,50,颜良,哼，看起来你们倒是有些斤两，来吧我要认真了!
10506,3,BOSS,3,2,,123,袁绍,可恶，气死我了，我手下两员大将都败在你手里，纳命来！
10506,4,玩家,4,1,1,,,哼，徒有虚名的东西
10507,1,BOSS,3,2,,111,公孙瓒,兄弟们，跟我上！咦我的兄弟们呢？
10507,2,玩家,3,1,1,,,都已经被我收拾掉了！
10508,1,BOSS,3,2,,111,公孙瓒,看来是天要亡我，没想到我竟然死于此地
10508,2,BOSS,3,2,,16,赵云,休要慌张，常山赵子龙来也！
10509,1,BOSS,3,2,,111,公孙瓒,啊，你一定是上天派来的救兵
10509,2,BOSS,3,2,,16,赵云,感念先生恩德，因此特来救驾，公孙先生不必多礼！
10510,1,BOSS,1,2,,109,李典,将军，这些兵士身强体壮，锻炼之后必定大有可为
10510,2,BOSS,1,2,,4,夏侯惇,如此甚好，孟德要成就霸业，就得有一支强大的军队
10510,3,BOSS,3,2,,4,夏侯惇,孟德，这批士兵素质极高，可作为我们的亲兵来培养
10510,4,BOSS,3,2,,13,曹操,很好，我的霸业，就要靠这些儿郎们了！
10601,1,BOSS,3,2,,175,陈宫,将军，前方就是衮州了
10601,2,BOSS,3,2,,18,张辽,很好，曹操不在，这座城市我接手了
10602,1,BOSS,1,2,,176,高顺,没想到曹贼如此托大，竟然留了一座形同虚设的空城
10602,2,BOSS,3,2,,14,吕布,哈哈，曹贼，你也不过如此
10603,1,BOSS,3,2,,175,陈宫,将军，此城已尽在我等掌控之下
10603,2,BOSS,3,2,,176,高顺,剩余一些负隅顽抗的残兵，我去清扫干净
10603,3,BOSS,3,2,,14,吕布,很好，我们就以此为据点，继续西进吧
10603,4,BOSS,3,2,,21,貂蝉,奉先大人真是天下无双
10603,5,BOSS,3,2,,14,吕布,哈哈，那是自然，普天之下，没有人是我的对手
10604,1,BOSS,3,2,,109,李典,这里就是名震天下的濮阳城么，果然易守难攻
10605,1,BOSS,3,2,,66,于禁,可恶，我军岂能被这小小的濮阳城阻碍于此
10606,1,BOSS,1,2,,45,曹仁,没想到一个小小的濮阳久攻不下，来人，给我放火烧了他
10606,2,BOSS,2,2,,69,徐晃,火器已经备下，随时可以动手
10606,3,BOSS,3,2,,74,曹丕,跟我上，为工程兵做掩护！
10606,4,BOSS,3,2,,13,曹操,哼，这一把火放的，真解气！
10607,1,BOSS,3,2,,40,张绣,我错了，我投降，别打我了
10607,2,BOSS,3,2,,13,曹操,早点这样不就好了，我也省心
10608,1,BOSS,3,2,,58,贾诩,哼，曹贼居然在欺辱主公的嫂嫂，真是不能忍
10609,1,BOSS,1,2,,58,贾诩,不要拦着我，我要去见我家主公
10609,2,BOSS,2,2,,40,张绣,文和大人，何事如此火烧火燎？
10609,3,BOSS,3,2,,40,张绣,什么，可恶，真是欺人太甚，可有什么好的计策对付曹贼
10609,4,BOSS,3,2,,58,贾诩,小人早有计策，只需如此如此。
10609,5,BOSS,3,2,,40,张绣,此计甚妙，我去拖住曹贼
10609,6,BOSS,3,2,,40,张绣,曹操大人，小人招待的还算尽兴否？
10609,7,BOSS,3,2,,13,曹操,长夜漫漫，有美女和美酒相伴，真让人流连忘返！
10610,1,BOSS,2,2,,73,典韦,可恶，张绣这厮造反了，主公速速离去，我来挡住追兵
10610,2,BOSS,3,2,,13,曹操,典韦，你真乃古之恶来也，一切就拜托你了！
10610,3,BOSS,3,2,,7,郭嘉,主公快走，不走就来不及了！
10701,1,BOSS,3,2,,188,田丰,本初大人公务繁忙，因此特派我来袁术大人这里求兵
10703,1,BOSS,1,2,,43,纪灵,刘备狗贼，我今趟定要取你首级，以绝后患
10703,2,BOSS,3,2,,188,田丰,借刀杀人，本初大人真乃高人也
10704,1,BOSS,3,2,,18,张辽,纪灵大人，我奉奉先大人之命，看能否有和谈的可能呢？
10704,2,BOSS,3,2,,43,纪灵,谁劝我也没用，此乃吾主之命，焉能违背？
10705,1,BOSS,3,2,,14,吕布,是谁这么不给我面子，话说的这么死？
10705,2,BOSS,3,2,,19,刘备,奉先大人请为我做主
10705,3,BOSS,3,2,,14,吕布,哼，以此戟为誓，若射中百尺外的横杆，你俩家即可罢兵，若射不中，你们再厮杀不迟
10706,1,BOSS,3,2,,14,吕布,如何，正中眉心？纪灵你还有何话可说？
10706,2,BOSS,3,2,,43,纪灵,哼，将军好身手，某这就告退，一切上报主公做主
10706,3,BOSS,3,2,,19,刘备,苍天啊大地啊，感谢你放我一马
10707,1,BOSS,3,2,,176,高顺,有我在一天，你们休想踏破下邳城
10708,1,BOSS,2,2,,175,陈宫,形势危急，张辽大人你且去此处支援，这里交给在下
10708,2,BOSS,2,2,,18,张辽,好，某去也，军师自己小心
10708,3,BOSS,3,2,,18,张辽,竟然被突破到这个地方，不得不全力以赴以死抗争了
10709,1,BOSS,2,2,,18,张辽,各位坚持住，高顺大人和军师马上就回来援救我们了
10709,2,玩家,4,1,1,,,真是个顽强的家伙，可惜跟错了主公
10709,3,BOSS,3,2,,176,高顺,文远大人，援兵到了，一鼓作气击溃他们吧！
10709,4,BOSS,3,2,,18,张辽,等你们好久了，一口气上吧！
10709,5,BOSS,3,2,,175,陈宫,当心他们使诈，小心谨慎些为妙
10710,1,BOSS,3,2,,176,高顺,看情况是挡不住了，小将拖住他们一会时间，一切靠你们了
10710,2,BOSS,3,2,,18,张辽,大丈夫当马革裹尸，痛快，痛快，上吧！
10710,3,BOSS,3,2,,21,貂蝉,奉先大人，怎么办
10710,4,BOSS,3,2,,14,吕布,没想到我纵横天下无敌手，最后居然死在这里，真是造化弄人，也罢，就拼了
10801,1,BOSS,3,2,,5,孙权,江东乃我孙家地盘，以此为基业，则霸业可成
10802,1,BOSS,3,2,,37,孙策,男儿立于乱世，自当有一番成就，才不枉走着一遭
10803,1,BOSS,1,2,,11,孙尚香,谁说女子不如男！
10803,2,BOSS,2,2,,28,步练师,为了夫君，我也要尽自己的一份力！
10803,3,BOSS,3,2,,49,孙坚,伯符，仲谋，让我们的名号在乱世中响起来吧
10803,4,BOSS,3,2,,37,孙策,父亲大人，我先上了！
10803,5,BOSS,3,2,,5,孙权,看我的，父亲大人！
10804,1,BOSS,2,2,,44,程普,哈哈，老夫打了一辈子仗，没想到也会来迎亲
10804,2,BOSS,3,2,,2,周瑜,伯符，我们出发吧！
10804,3,BOSS,3,2,,37,孙策,走起！我已经按耐不住了！
10805,1,BOSS,3,2,,72,黄盖,去吧，公瑾，人家姑娘在等着你呢！
10805,2,BOSS,3,2,,2,周瑜,娘子！
10805,3,BOSS,3,2,,23,小乔,夫君！
10806,1,BOSS,3,2,,37,孙策,娘子，你在哪里？
10806,2,BOSS,3,2,,11,孙尚香,哥哥，恭喜你啦！
10806,3,BOSS,3,2,,26,大乔,我在这里，伯符
10807,1,BOSS,3,2,,64,太史慈,我乃东莱太史慈，谁敢和我决一死战！
10808,1,BOSS,3,2,,44,程普,哼，大言不惭，就让老夫来会会你！
10809,1,BOSS,1,2,,71,周泰,当真厉害，出招吧！
10809,2,BOSS,2,2,,51,吕蒙,没想到你能打败我，算你有本事
10809,3,BOSS,3,2,,37,孙策,终于有个人可以和我一战了吗？来吧，我已经等的不耐烦了！
10809,4,BOSS,3,2,,64,太史慈,和你作战倒是相当愉快，果然是一条好汉！
10810,1,BOSS,1,2,,51,吕蒙,新主刚立，我自当全力辅佐，以报孙氏大恩！
10810,2,BOSS,2,2,,71,周泰,新主容貌奇特，他日定当建立不世之功！
10810,3,BOSS,3,2,,5,孙权,父兄早逝，我江东的霸业就要靠各位的支持了！
10810,4,BOSS,3,2,,51,吕蒙,小将得令
10810,5,BOSS,3,2,,71,周泰,得令
10901,1,BOSS,3,2,,58,贾诩,抵抗不住了，投降吧，曹公不会为难我们的
10902,1,BOSS,3,2,,40,张绣,我不甘心，我在拼一次好了
10903,1,BOSS,3,2,,13,曹操,听说蔡文姬夫人在此，都给我让开，我要去拜见她！
10904,1,BOSS,3,2,,13,曹操,啊，夫人这一曲如泣如诉，实在让人无法自矜
10904,2,BOSS,3,2,,74,曹丕,父亲，我听不懂
10904,3,BOSS,3,2,,13,曹操,要用心灵去听啊，用心，懂吗？
10904,4,BOSS,3,2,,25,蔡文姬,多谢曹公夸奖，小女惭愧
10905,1,BOSS,3,2,,15,关羽,听说曹公宴请大哥，一定没好事，待我前去看看
10906,1,BOSS,2,2,,109,李典,相府重地，闲杂人等不许入内
10906,2,BOSS,3,2,,13,曹操,天下英雄，唯使君与孤耳！
10906,3,玩家,3,1,1,,,（轰隆）好大的雷声
10906,4,BOSS,3,2,,19,刘备,哎呀，这雷声吓死我了！
10907,1,BOSS,1,2,,109,李典,袁绍势大，该如何抗衡？
10907,2,BOSS,2,2,,7,郭嘉,彼有十败，我有十胜，此必胜之战何足挂齿
10907,3,BOSS,3,2,,18,张辽,如此说来，我军必胜
10907,4,BOSS,3,2,,58,贾诩,奉孝大人所说不差，对袁绍一战，我军必胜！
10907,5,BOSS,3,2,,4,夏侯惇,哼，打就是了，有何惧哉！
10908,1,BOSS,2,2,,7,郭嘉,此战过后，曹公将成为北方的霸主，从此黄河以北再无敌手！
10909,1,BOSS,1,2,,4,夏侯惇,兄弟们，跟我上！拿下徐州为孟德扫清障碍！
10909,2,BOSS,2,2,,109,李典,首功一定是我的！
10909,3,BOSS,3,2,,13,曹操,平定徐州，北方再无碍事者，众位加油
10910,1,BOSS,2,2,,45,曹仁,曹公的天下，我将亲手取下
10910,2,BOSS,3,2,,13,曹操,一切就拜托各位了！
11001,1,BOSS,3,2,,188,田丰,刘备势穷来投，主公不用太重于心
11001,2,BOSS,3,2,,123,袁绍,玄德落难来投，我如不收，良心上过意不去
11002,1,BOSS,3,2,,19,刘备,小可落难至此，多谢袁公收留，自当效犬马之劳
11003,1,BOSS,3,2,,123,袁绍,有玄德助我，自可击破曹操，统一北方，如此大业可成，哈哈哈
11003,2,BOSS,3,2,,19,刘备,荣幸之至！
11003,3,BOSS,3,2,,188,田丰,主公。。。
11004,1,BOSS,3,2,,15,关羽,嫂嫂，曹公亲自劝降，我等且保命，待知道大哥消息再前往投奔如何？
11004,2,BOSS,3,2,,31,甘夫人,妾身乃女流之辈，一切全靠叔叔做主即可！
11005,1,BOSS,3,2,,13,曹操,能得到云长这样的猛将，真乃孤之幸也！
11006,1,BOSS,3,2,,13,曹操,云长，如有任何要求，尽管提出！
11006,2,BOSS,3,2,,15,关羽,丞相对关某很好，关某时刻铭记于心，不敢相忘！
11007,1,BOSS,3,2,,50,颜良,某乃河北名将颜良，尔等速速前来受死
11010,1,BOSS,3,2,,50,颜良,我是颜良
11010,2,BOSS,3,2,,42,文丑,我是文丑
11010,3,BOSS,3,2,,50,颜良,没有错，我们就是穿梭在河北战场上的！
11010,4,BOSS,3,2,,42,文丑,河北双雄！
11103,1,BOSS,3,2,,50,颜良,谅尔等鼠辈，谁能杀我？
11106,1,BOSS,3,2,,42,文丑,颜良的仇由我来报！
11107,1,BOSS,3,2,,58,贾诩,乌巢乃袁军粮草重地，如果能够将其烧毁，袁军将不攻自破
11108,1,BOSS,3,2,,13,曹操,乌巢如此重要之地，孤当亲自率军前往破之
11109,1,BOSS,3,2,,18,张辽,袁军小儿，你们已经失败了，快快逃命去吧！
11110,1,BOSS,3,2,,123,袁绍,想不到我袁绍四世三公，名门大家出身，居然败给了曹操这么一个小子！
11203,1,BOSS,3,2,,15,关羽,既知大哥去处，某告辞也
11204,1,BOSS,3,2,,60,庞统,天下之大，何处有值得我等出力的主公！
11205,1,BOSS,3,2,,9,诸葛亮,隐居山林中，莫在尘世间！
11206,1,BOSS,3,2,,60,庞统,卧龙卧龙，我是凤雏
11206,2,BOSS,3,2,,9,诸葛亮,凤雏凤雏，我是卧龙
11206,3,BOSS,3,2,,60,庞统,卧龙凤雏，二者得一
11206,4,BOSS,3,2,,9,诸葛亮,可安天下！
11209,1,BOSS,3,2,,19,刘备,往来三次，终见先生尊荣
11209,2,BOSS,3,2,,9,诸葛亮,玄德公诚心如此，小人自当相见！
11210,1,BOSS,3,2,,19,刘备,我欲争霸天下，先生可否助我
11210,2,BOSS,3,2,,9,诸葛亮,先生要争雄天下，则必然要走此三分天下，联吴抗魏，乃是上计！
11210,3,BOSS,3,2,,19,刘备,我得先生，乃如鱼得水也！
11303,1,BOSS,3,2,,5,孙权,从今天起，我要继承父兄的遗志，踏上统一天下的霸业！
11306,1,BOSS,3,2,,6,甘宁,承蒙主公不计前嫌，某愿效犬马之劳
11306,2,BOSS,3,2,,64,太史慈,若得兴霸相助，实在是一件令人高兴的事情！
11309,1,BOSS,3,2,,2,周瑜,承蒙诸位抬举，从今天起，我继任为大都督
11309,2,BOSS,3,2,,51,吕蒙,恭喜将军，以后就要依靠将军了
11309,3,BOSS,3,2,,6,甘宁,原为差遣，只为了能打个痛快！
11310,1,BOSS,3,2,,5,孙权,江东欣欣向荣，多亏了诸位费心
11310,2,BOSS,3,2,,2,周瑜,此乃我等人臣所应该做的，主公无须多虑
11310,3,BOSS,3,2,,44,程普,江东繁荣如此，老将军和伯符地下有知，也会高兴的！
11403,1,BOSS,3,2,,16,赵云,天下之大，果然还是只有玄德公才是我的明主
11403,2,BOSS,3,2,,19,刘备,子龙来投，真乃天降大礼，令人喜不自禁！
11406,1,BOSS,3,2,,4,夏侯惇,此去就是新野城，刘备基业未立，我等当共力，除掉此人！
11406,2,BOSS,3,2,,41,夏侯渊,此小儿反复无常，吾深恨之
11406,3,BOSS,3,2,,69,徐晃,愿做先锋，斩将夺旗！
11407,1,BOSS,3,2,,66,于禁,博望坡易守难攻，我等当谨慎前行
11407,2,BOSS,3,2,,109,李典,不错，此地甚是险要！
11408,1,BOSS,3,2,,58,贾诩,此地如果用火攻，难以抵挡，不如且缓行如何？
11408,2,BOSS,3,2,,109,李典,前方我已探查完毕，并无埋伏，前行吧！
11409,1,BOSS,3,2,,45,曹仁,敌人居然放火！刚才是谁说没有埋伏的站出来，我保证不打死他！
11409,2,BOSS,3,2,,109,李典,。。。。。。
11409,3,BOSS,3,2,,58,贾诩,军心不能乱，让我们收拾军马，冲杀出去！
11410,1,BOSS,3,2,,15,关羽,这几仗能够获胜，全仗军师妙计！
11410,2,BOSS,3,2,,1,张飞,果然有真本事，在下佩服！
11410,3,BOSS,3,2,,9,诸葛亮,过奖，不过下一仗可不好打，收拾粮草，准备撤退吧
11501,1,BOSS,3,2,,74,曹丕,为了父亲，我们一定要努力，拿下荆州！
11501,2,BOSS,3,2,,152,郭女王,谨遵夫君号令！
11503,1,BOSS,3,2,,13,曹操,此番南下，荡平荆州，则天下再无吾之敌手！
11506,1,BOSS,3,2,,31,甘夫人,将军救我！
11506,2,BOSS,3,2,,16,赵云,夫人莫慌，少主让子龙怀抱，吾当死战，保夫人杀出重围！
11509,1,BOSS,3,2,,13,曹操,张飞一人立于长板桥，背后尘烟滚滚，必有埋伏，且小心一些
11510,1,BOSS,3,2,,19,刘备,百姓如此流离颠沛，都是我的过错！
11510,2,BOSS,3,2,,9,诸葛亮,主公切不可心灰意冷，我等暂且避之锋芒，过后报仇雪恨也不迟！
11510,3,BOSS,3,2,,16,赵云,这就是战争，主公无须自怨自艾，某等当鞠躬尽瘁，他日定当雪耻！
,,,,,,,,
,,,,,,,,
20001,1,司仪,1,1,,23,神秘女子,主公，你终于来了！ ╮(╯3╰)╭ 
20001,2,司仪,1,2,,26,神秘女子,你是追随上将潘凤的意志，来寻找凤珠的吗？ 
20001,3,司仪,1,1,,23,神秘女子,集齐7颗凤珠就可以召唤神龙，实现安定天下的梦想了！
20001,4,司仪,1,2,,26,神秘女子,有几位大将愿意追随主公而战！主公快来挑选一位吧~
,,,,,,,,
20002,1,出生将,1,2,,1,张飞,主公好！你应该就是救世主公了吧！
