id,名称,部位,星级,情缘武将,套装id,属性,需要碎片数量,碎片id,经验,进化经验
151,铁甲靴,4,2,,,3=52=2.6 1=186=9.3,5,4151,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
152,行军鞋,4,2,,,3=47=2.35 1=175=8.75,5,4152,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
153,青松履,4,2,,,3=49=2.45 1=180=9,5,4153,5,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
154,疾风靴,4,3,,,3=87=4.33 1=313=15.64,5,4154,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
156,游龙靴,4,3,40,,3=87=4.37 1=316=15.81,5,4156,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
157,逐光轻靴,4,3,35,,3=88=4.42 1=317=15.86,5,4157,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
158,碎影轻靴,4,3,36 51,,3=79=3.95 1=327=16.36,5,4158,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
159,炼血战靴,4,3,43,,3=90=4.5 1=330=16.48,5,4159,12,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
160,灰烬战靴,4,4,4 55,,3=152=7.59 1=564=28.18,20,4160,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
161,蟒鳞长靴,4,4,111 41,,3=140=7 1=531=26.57,20,4161,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
162,蛟龙战靴,4,4,50 5,,3=151=7.56 1=561=28.03,20,4162,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
163,怒涛法履,4,4,20 60 153,,3=137=6.84 1=550=27.5,20,4163,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
164,流星斗靴,4,4,19 64,,3=151=7.53 1=563=28.17,20,4164,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
165,瓮金战靴,4,4,49,,3=149=7.43 1=501=25.06,20,4165,400,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
,,,,,,,,,,
201,如意宝剑,1,2,,1,2=144=7.2,5,4201,6,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
202,如意宝甲,2,2,,1,3=158=7.9,5,4202,6,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
203,如意宝冠,3,2,,1,1=360=18,5,4203,6,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
204,如意宝靴,4,2,,1,3=58=2.9 1=216=10.8,5,4204,6,1=10 2=20 3=40 4=60 5=80 6=100 7=120 8=150 9=200 10=300
,,,,,,,,,,
211,龙鸣雕斧,1,3,,2,2=158=7.9,5,4211,15,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
212,龙鸣斗袍,2,3,,2,3=346=17.3,5,4212,15,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
213,龙鸣斗盔,3,3,,2,1=708=35.4,5,4213,15,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
214,龙鸣斗靴,4,3,,2,3=126=6.3 1=426=21.3,5,4214,15,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
,,,,,,,,,,
215,绝尘法杖,1,3,,3,2=264=13.2,5,4215,15,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
216,绝尘法袍,2,3,,3,3=260=13,5,4216,15,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
217,绝尘法冠,3,3,,3,1=590=29.5,5,4217,15,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
218,绝尘法履,4,3,,3,3=94=4.7 1=354=17.7,5,4218,15,1=20 2=40 3=80 4=120 5=160 6=200 7=240 8=300 9=400 10=600
,,,,,,,,,,
221,无双战戟,1,4,,4,2=432=21.6,20,4221,500,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
222,无双战甲,2,4,,4,3=475=23.75,20,4222,500,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
223,无双战盔,3,4,,4,1=1080=54,20,4223,500,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
224,无双战靴,4,4,,4,3=173=8.65 1=648=32.4,20,4224,500,1=30 2=60 3=120 4=180 5=240 6=300 7=360 8=450 9=600 10=900
