副本ID,怪物ID,掉落描述,掉落物品名称,道具掉落
10609,,张绣降曹3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3052=1=15=0 6057=1=35=1 6053=1=35=2 6024=1=20=3
10610,,古之恶来,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3052=1=15=0 6058=1=35=1 6054=1=35=2 6032=1=20=3
10701,,徐州之危1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3004=1=15=0 6059=1=35=1
10702,,徐州之危2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3103=1=15=0 6060=1=35=1
10703,,徐州之危3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3102=1=15=0 6059=1=35=1 6063=1=35=2 6025=1=20=3
10704,,辕门射戟1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3004=1=15=0 6061=1=35=1
10705,,辕门射戟2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3103=1=15=0 6062=1=35=1
10706,,辕门射戟3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3001=1=15=0 6060=1=35=1 6064=1=35=2 6033=1=20=3
10707,,陷阵营1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3151=1=15=0 6063=1=35=1
10708,,陷阵营2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3001=1=15=0 6064=1=35=1
10709,,陷阵营3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3151=1=15=0 6061=1=35=1 6065=1=35=2 6026=1=20=3
10710,,白门楼星陨,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3002=1=15=0 6062=1=35=1 6066=1=35=2 6034=1=20=3
10801,,孙坚之死1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3103=1=15=0 6065=1=35=1
10802,,孙坚之死2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3004=1=15=0 6066=1=35=1
10803,,孙坚之死3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3152=1=15=0 6063=1=35=1 6059=1=35=2 6027=1=20=3
10804,,大小乔1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3004=1=15=0 6051=1=35=1
10805,,大小乔2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3004=1=15=0 6052=1=35=1
10806,,大小乔3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3004=1=15=0 6064=1=35=1 6060=1=35=2 6035=1=20=3
10807,,神亭酣战1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3051=1=15=0 6053=1=35=1
10808,,神亭酣战2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3002=1=15=0 6054=1=35=1
10809,,神亭酣战3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3052=1=15=0 6065=1=35=1 6061=1=35=2 6028=1=20=3
10810,,平江东,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3151=1=15=0 6066=1=35=1 6062=1=35=2 6036=1=20=3
10901,,再降曹1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3052=1=15=0 6101=1=28=1
10902,,再降曹2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3151=1=15=0 6102=1=28=1
10903,,才女无双1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3102=1=15=0 6101=1=28=1 6105=1=28=2 6059=1=15=3
10904,,才女无双2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3003=1=15=0 6103=1=28=1
10905,,煮酒论英雄1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3101=1=15=0 6104=1=28=1
10906,,煮酒论英雄2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3053=1=15=0 6102=1=28=1 6106=1=28=2 6051=1=15=3
10907,,十胜论1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3152=1=15=0 6105=1=28=1
10908,,十胜论2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3101=1=15=0 6106=1=28=1
10909,,十胜论3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3001=1=15=0 6103=1=28=1 6107=1=28=2 6060=1=15=3
10910,,兵进徐州,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3151=1=15=0 6104=1=28=1 6108=1=28=2 6052=1=15=3
11001,,败投袁绍1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3001=1=15=0 6107=1=28=1
11002,,败投袁绍2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3051=1=15=0 6108=1=28=1
11003,,败投袁绍3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3002=1=15=0 6105=1=28=1 6101=1=28=2 6061=1=15=3
11004,,降关羽1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3005=1=15=0 6109=1=28=1
11005,,降关羽2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3152=1=15=0 6110=1=28=1
11006,,降关羽3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3051=1=15=0 6106=1=28=1 6102=1=28=2 6053=1=15=3
11007,,白马之围1,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3003=1=15=0 6111=1=28=1
11008,,白马之围2,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3053=1=15=0 6112=1=28=1
11009,,白马之围3,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3103=1=15=0 6107=1=28=1 6103=1=28=2 6062=1=15=3
11010,,河北庭柱,普掉,2=1=32=0 1=1=48=0 32=2=50=0 3152=1=15=0 6108=1=28=1 6104=1=28=2 6054=1=15=3
11101,,斩颜良1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3053=1=15=0 6113=1=24=1
11102,,斩颜良2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3002=1=15=0 6114=1=24=1
11103,,斩颜良3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3002=1=15=0 6109=1=36=1 6101=1=20=2 6063=1=15=3
11104,,诛文丑1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3051=1=15=0 6115=1=24=1
11105,,诛文丑2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3102=1=15=0 6116=1=24=1
11106,,诛文丑3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3003=1=15=0 6110=1=36=1 6102=1=20=2 6055=1=15=3
11107,,火烧乌巢1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3102=1=15=0 6101=1=24=1
11108,,火烧乌巢2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3003=1=15=0 6102=1=24=1
11109,,火烧乌巢3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3101=1=15=0 6111=1=36=1 6103=1=20=2 6064=1=15=3
11110,,官渡决战,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3052=1=15=0 6112=1=36=1 6104=1=20=2 6056=1=15=3
11201,,千里走单骑1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3103=1=15=0 6103=1=24=1
11202,,千里走单骑2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3152=1=15=0 6104=1=24=1
11203,,千里走单骑3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3005=1=15=0 6113=1=36=1 6105=1=20=2 6065=1=15=3
11204,,卧龙凤雏1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3003=1=15=0 6105=1=24=1
11205,,卧龙凤雏2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3003=1=15=0 6106=1=24=1
11206,,卧龙凤雏3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3151=1=15=0 6114=1=36=1 6106=1=20=2 6057=1=15=3
11207,,三顾茅庐1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3152=1=15=0 6107=1=24=1
11208,,三顾茅庐2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3103=1=15=0 6108=1=24=1
11209,,三顾茅庐3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3051=1=15=0 6115=1=36=1 6107=1=20=2 6066=1=15=3
11210,,隆中对,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3152=1=15=0 6116=1=36=1 6108=1=20=2 6058=1=15=3
11301,,拥立新主1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3152=1=15=0 6109=1=24=1
11302,,拥立新主2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3101=1=15=0 6110=1=24=1
11303,,拥立新主3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3053=1=15=0 6151=1=24=1 6155=1=18=2 6059=1=15=3
11304,,兴霸归吴1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3052=1=15=0 6111=1=24=1
11305,,兴霸归吴2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3103=1=15=0 6112=1=24=1
11306,,兴霸归吴3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3152=1=15=0 6152=1=24=1 6156=1=18=2 6051=1=15=3
11307,,大都督1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3003=1=15=0 6113=1=24=1
11308,,大都督2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3001=1=15=0 6114=1=24=1
11309,,大都督3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3102=1=15=0 6153=1=24=1 6157=1=18=2 6060=1=15=3
11310,,稳固江东,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3004=1=15=0 6154=1=24=1 6158=1=18=2 6052=1=15=3
11401,,子龙归来1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3002=1=15=0 6115=1=24=1
11402,,子龙归来2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3005=1=15=0 6116=1=24=1
11403,,子龙归来3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3051=1=15=0 6155=1=24=1 6151=1=18=2 6061=1=15=3
11404,,新野之战1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3151=1=15=0 6151=1=24=1
11405,,新野之战2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3002=1=15=0 6152=1=24=1
11406,,新野之战3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3101=1=15=0 6156=1=24=1 6152=1=18=2 6053=1=15=3
11407,,火烧博望坡1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3004=1=15=0 6153=1=24=1
11408,,火烧博望坡2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3001=1=15=0 6154=1=24=1
11409,,火烧博望坡3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3001=1=15=0 6157=1=24=1 6153=1=18=2 6062=1=15=3
11410,,运筹帷幄,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3102=1=15=0 6158=1=24=1 6154=1=18=2 6054=1=15=3
11501,,南下荆州1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3051=1=15=0 6155=1=24=1
11502,,南下荆州2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3001=1=15=0 6156=1=24=1
11503,,南下荆州3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3153=1=15=0 6159=1=24=1 6151=1=18=2 6063=1=15=3
11504,,单骑救主1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3005=1=15=0 6157=1=24=1
11505,,单骑救主2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3052=1=15=0 6158=1=24=1
11506,,单骑救主3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3002=1=15=0 6160=1=24=1 6152=1=18=2 6055=1=15=3
11507,,大闹长坂桥1,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3152=1=15=0 6159=1=24=1
11508,,大闹长坂桥2,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3001=1=15=0 6160=1=24=1
11509,,大闹长坂桥3,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3102=1=15=0 6161=1=24=1 6153=1=18=2 6064=1=15=3
11510,,败走汉津口,普掉,2=1=32=0 1=1=48=0 33=2=50=0 3005=1=15=0 6162=1=24=1 6154=1=18=2 6056=1=15=3
11601,,舌战群儒1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3002=1=15=0 6161=1=24=1
11602,,舌战群儒2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3005=1=15=0 6162=1=24=1
11603,,舌战群儒3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3151=1=15=0 6163=1=24=1 6155=1=18=2 6065=1=15=3
11604,,智激周瑜1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3152=1=15=0 6163=1=24=1
11605,,智激周瑜2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3051=1=15=0 6164=1=24=1
11606,,智激周瑜3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3153=1=15=0 6164=1=24=1 6156=1=18=2 6057=1=15=3
11607,,群英会1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3003=1=15=0 6165=1=24=1
11608,,群英会2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3003=1=15=0 6166=1=24=1
11609,,群英会3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3005=1=15=0 6165=1=24=1 6157=1=18=2 6066=1=15=3
11610,,草船借箭,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3101=1=15=0 6166=1=24=1 6158=1=18=2 6058=1=15=3
11701,,苦肉计1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3005=1=15=0 6151=1=18=1
11702,,苦肉计2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3053=1=15=0 6152=1=18=1
11703,,苦肉计3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3001=1=15=0 6201=1=18=1 6101=1=15=2 6109=1=15=3
11704,,阚泽献书1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3005=1=15=0 6153=1=18=1
11705,,阚泽献书2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3005=1=15=0 6154=1=18=1
11706,,阚泽献书3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3003=1=15=0 6202=1=18=1 6102=1=15=2 6110=1=15=3
11707,,连环计1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3102=1=15=0 6155=1=18=1
11708,,连环计2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3153=1=15=0 6156=1=18=1
11709,,连环计3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3103=1=15=0 6203=1=18=1 6103=1=15=2 6111=1=15=3
11710,,借东风,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3151=1=15=0 6204=1=18=1 6104=1=15=2 6112=1=15=3
11801,,火船计1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3103=1=15=0 6157=1=18=1
11802,,火船计2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3001=1=15=0 6158=1=18=1
11803,,火船计3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3153=1=15=0 6205=1=18=1 6105=1=15=2 6113=1=15=3
11804,,各展神威1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3051=1=15=0 6159=1=18=1
11805,,各展神威2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3153=1=15=0 6160=1=18=1
11806,,各展神威3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3152=1=15=0 6206=1=18=1 6106=1=15=2 6114=1=15=3
11807,,势如破竹1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3102=1=15=0 6161=1=18=1
11808,,势如破竹2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3053=1=15=0 6162=1=18=1
11809,,势如破竹3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3153=1=15=0 6207=1=18=1 6107=1=15=2 6115=1=15=3
11810,,败投华容,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3152=1=15=0 6208=1=18=1 6108=1=15=2 6116=1=15=3
11901,,翼德逞凶1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3102=1=15=0 6163=1=18=1
11902,,翼德逞凶2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3004=1=15=0 6164=1=18=1
11903,,翼德逞凶3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3102=1=15=0 6201=1=18=1 6151=1=12=2 6159=1=12=3
11904,,子龙夺旗1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3103=1=15=0 6165=1=18=1
11905,,子龙夺旗2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3101=1=15=0 6166=1=18=1
11906,,子龙夺旗3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3151=1=15=0 6202=1=18=1 6152=1=12=2 6160=1=12=3
11907,,华容道1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3001=1=15=0 6201=1=18=1
11908,,华容道2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3151=1=15=0 6202=1=18=1
11909,,华容道3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3053=1=15=0 6203=1=18=1 6153=1=12=2 6161=1=12=3
11910,,义释曹操,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3002=1=15=0 6204=1=18=1 6154=1=12=2 6162=1=12=3
12001,,南郡之战1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3004=1=15=0 6203=1=18=1
12002,,南郡之战2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3053=1=15=0 6204=1=18=1
12003,,南郡之战3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3152=1=15=0 6205=1=18=1 6155=1=12=2 6163=1=12=3
12004,,巧借荆州1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3151=1=15=0 6205=1=18=1
12005,,巧借荆州2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3051=1=15=0 6206=1=18=1
12006,,巧借荆州3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3004=1=15=0 6206=1=18=1 6156=1=12=2 6164=1=12=3
12007,,平定南阳1,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3101=1=15=0 6207=1=18=1
12008,,平定南阳2,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3005=1=15=0 6208=1=18=1
12009,,平定南阳3,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3004=1=15=0 6207=1=18=1 6157=1=12=2 6165=1=12=3
12010,,刘备娶亲,普掉,2=1=32=0 1=1=48=0 34=2=50=0 3001=1=15=0 6208=1=18=1 6158=1=12=2 6166=1=12=3
,,,, 
,,,, 
20101,,真·广宗之战,普掉,2166=1=0=0 13=1=40=0 31=2=50=0 3101=1=20=0
20102,,真·曲阳之战,普掉,2201=1=0=0 13=1=40=0 31=2=50=0 3102=1=20=0
20103,,真·巨鹿之战,普掉,2151=1=40=1 14=1=40=0 31=2=50=0 3003=1=20=0
20201,,真·桃园结义1,普掉,2031=1=40=1 13=1=40=0 31=2=50=0 3051=1=20=0
20202,,真·桃园结义2,普掉,2001=1=40=1 14=1=40=0 31=2=50=0 3002=1=20=0
20203,,真·散财起兵,普掉,2025=1=40=1 13=1=40=0 31=2=50=0 3101=1=20=0
20204,,真·江东猛虎,普掉,2044=1=40=1 14=1=40=0 31=2=50=0 3004=1=20=0
20205,,真·群雄并起,普掉,2050=1=40=1 13=1=40=0 31=2=50=0 3005=1=20=0
20301,,真·董卓乱政1,普掉,2098=1=40=1 13=1=40=0 31=2=50=0 3101=1=20=0
20302,,真·董卓乱政2,普掉,2259=1=40=1 14=1=40=0 31=2=50=0 3152=1=20=0
20303,,真·孟德献刀,普掉,2175=1=40=1 13=1=40=0 31=2=50=0 3153=1=20=0
20304,,真·江东之虎,普掉,2044=1=40=1 13=1=40=0 31=2=50=0 3103=1=20=0
20305,,真·联军会盟,普掉,2111=1=40=1 14=1=40=0 31=2=50=0 3052=1=20=0
20401,,真·南蛮起兵,普掉,2064=1=40=1 13=1=40=0 31=2=50=0 3153=1=20=0
20402,,真·温酒斩华雄,普掉,2098=1=40=1 13=1=40=0 31=2=50=0 3152=1=20=0
20403,,真·虎牢关,普掉,2018=1=40=1 14=1=40=0 31=2=50=0 3153=1=20=0
20404,,真·美人计,普掉,2259=1=40=1 13=1=40=0 31=2=50=0 3051=1=20=0
20405,,真·董卓之死,普掉,2058=1=40=1 13=1=40=0 31=2=50=0 3152=1=20=0
20501,,真·西凉崛起1,普掉,2025=1=40=1 13=1=40=0 31=2=50=0 3003=1=20=0
20502,,真·西凉崛起2,普掉,2023=1=40=1 13=1=40=0 31=2=50=0 3101=1=20=0
20503,,真·界桥之战,普掉,2050=1=40=1 14=1=40=0 31=2=50=0 3001=1=20=0
20504,,真·白马义从,普掉,2111=1=40=1 14=1=40=0 31=2=50=0 3005=1=20=0
20505,,真·青州大练兵,普掉,2004=1=40=1 13=1=40=0 31=2=50=0 3152=1=20=0
20601,,真·袭衮州1,普掉,2060=1=40=1 14=1=40=0 32=2=50=0 3002=1=20=0
20602,,真·袭衮州2,普掉,2175=1=40=1 13=1=40=0 32=2=50=0 3052=1=20=0
