武将ID,武将名称,阵营,职业ID,职业名称,星级,初始生命,初始攻击,初始防御,生命成长,攻击成长,防御成长,初始闪避,初始命中,初始格挡,初始破击,初始暴击,初始韧性,初始爆伤,初始抵抗,移动速度,攻击速度,攻击距离,普攻子弹ID,必杀技ID,必杀技CD,技能配音ID,进化1材料,进化2材料,进化3材料,进化4材料,进化5材料,进化6材料,进化7材料,进化8材料,进化9材料,进化10材料,进化11材料,进化12材料,武将简介,头像资源,人物资源,卡牌资源,骨骼动画,通用模型技能动作,骨骼比例,骨骼特效,骨骼特效比例,权值,掉落区域,性别,被动技能1,被动技能2,被动技能3,首轮顺序,循环顺序,情缘,图鉴开关
8,陆逊,4,5,军师,1,1216,439,174,122.8,44.4,17.6,0,0,0,0,0,0,0,0,,100,,271,62,15000,141,6004 6004 6003 6003 6002 6002,6028 6024 6013 6013 6012 6003,6071 6041 6025 6012 6011 6001,6095 6091 6045 6043 6025 6012,6098 6098 6074 6043 6042 6028,6142 6093 6091 6077 6048 6042,6147 6143 6096 6076 6072 6045,6194 6148 6125 6094 6072 6041,6194 6178 6148 6096 6091 6042,6196 6192 6128 6097 6093 6075,6226 6213 6193 6178 6147 6121,6227 6221 6196 6171 6143 6128,陆逊，字伯言，又名陆议，吴郡吴县（今江苏苏州）人。东吴攻打关羽时，陆逊设计蒙蔽关羽，并与吕蒙一起消灭关羽。黄武元年（公元222年），陆逊任大都督统兵抵御刘备大军，夷陵之战“火烧联营七百里”击退刘备！是东吴中期的台柱子。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi2,skill2,55,,,,,,1016,1017,1018,0=0=1=0,0=1=0=0,,
9,诸葛亮,3,5,军师,3,1256,455,174,126.8,46.1,17.6,100,37,0,87,125,12,5,50,,100,,129,11,15000,101,6004 6004 6003 6002 6002 6001,6028 6022 6013 6013 6011 6001,6075 6047 6026 6012 6011 6002,6096 6094 6047 6045 6027 6012,6097 6096 6075 6046 6043 6021,6145 6094 6092 6077 6048 6048,6147 6147 6095 6078 6074 6044,6196 6146 6121 6091 6073 6045,6198 6178 6144 6097 6094 6045,6197 6197 6128 6092 6091 6074,6224 6214 6195 6176 6147 6123,6226 6225 6192 6174 6142 6123,诸葛亮，字孔明，琅琊阳都人，人称“卧龙”。刘备驻屯新野期间，三顾茅庐请诸葛亮出山。赤壁之战与周瑜联手大破曹军，占荆州，攻巴蜀。刘备夷陵战败后在白帝城托孤，诸葛亮出任丞相，结盟东吴，六出祁山攻曹魏，遇到一生最大的对手—司马懿，病逝于五丈原。刘备创业的大管家，鞠躬尽瘁，死而后已！,resource/head_pic/ZhuGeLiang.png,resource/hero_pic/ZhuGeLiangA.jpg,resource/card_pic/ZhuGeLiang.jpg,resource/bones/ZhuGeLiang,skill,85,resource/bones/ZhuGeLiang_e,100,,3,,1019,1020,1021,0=2=0=1,0=1=2=0,1=19=3=19=0=三顾茅庐 1=12=1=20=0=鸾凤和鸣 1=60;7;2=2=35=0;0=智囊团 2=26=2=24=0=朱雀羽扇 2=73=3=19=0=鹤氅,
10,司马懿,2,5,军师,1,1221,442,173,123.3,44.8,17.5,0,0,0,0,0,0,0,0,,100,,4,68,15000,144,6004 6004 6003 6003 6002 6002,6027 6024 6014 6012 6011 6002,6072 6047 6024 6014 6011 6004,6097 6096 6048 6044 6025 6011,6096 6092 6078 6048 6042 6026,6148 6093 6091 6075 6044 6041,6148 6146 6097 6077 6077 6043,6195 6146 6122 6092 6073 6041,6196 6173 6141 6096 6092 6046,6195 6193 6121 6098 6097 6074,6223 6213 6198 6177 6147 6124,6224 6224 6192 6174 6143 6125,司马懿，字仲达，河内温县人。曹操称魏王后，司马懿为太子中庶子，佐助曹丕，与陈群等同列“四友”。曹丕代汉后，司马懿节节高升，开始掌握重权。曹睿继位后，司马懿坐镇宛城，督荆豫二州军事，主持荆州对吴攻战，数次成功防御诸葛亮北伐。司马懿受曹爽排挤，后发动政变诛杀曹爽一族，自此掌握魏国大权。,resource/head_pic/XiLiangBing.png,resource/hero_pic/XiLiangBingA.jpg,resource/card_pic/XiLiangBing.jpg,resource/bones/junshi2,skill2,55,,,,,,1022,1023,1024,0=0=1=0,0=1=0=0,,
11,孙尚香,4,4,弓兵,3,1125,456,159,113.7,46,16.4,25,87,25,25,162,0,35,0,,100,,507,13,15000,172,6004 6003 6003 6002 6001 6001,6026 6025 6014 6014 6012 6002,6073 6041 6026 6012 6012 6004,6093 6092 6047 6042 6021 6011,6093 6093 6073 6046 6046 6024,6146 6098 6091 6074 6045 6041,6147 6146 6091 6077 6077 6046,6196 6148 6123 6094 6071 6046,6197 6174 6147 6096 6094 6043,6197 6194 6126 6095 6092 6076,6226 6218 6192 6177 6148 6121,6222 6222 6193 6177 6143 6127,孙尚香，吴郡富春人，孙坚之女，孙策孙权之妹。才智敏捷，性格刚强，有其诸兄之风。赤壁之战后，嫁给刘备，人称“枭姬”。与刘备约会时，常带百来号侍女人持刀护卫，赫赫有名的“女汉子”！,resource/head_pic/SunShangXiang.png,resource/hero_pic/SunShangXiangA.jpg,resource/card_pic/SunShangXiang.jpg,resource/bones/SunShangXiang,skill,90,resource/bones/SunShangXiang_e,120,,4,1,1025,1026,1027,0=0=1=0,0=1=0=0,1=49=3=18=0=江东虎女 1=19=1=20=0=枭雄枭姬 1=53;35=2=30=0;0=女汉子 2=25=2=23=0=龙凤双股剑 2=64=3=20=0=烈火金尘,
12,黄月英,3,5,军师,2,1310,400,180,132.3,40.5,18.2,100,37,0,75,100,25,15,50,,100,,537,78,15000,169,6003 6003 6002 6002 6001 6001,6026 6022 6014 6012 6011 6001,6076 6042 6024 6014 6013 6001,6098 6093 6043 6041 6022 6012,6097 6096 6071 6045 6044 6026,6145 6095 6093 6073 6045 6042,6148 6146 6091 6077 6076 6045,6195 6148 6122 6091 6074 6047,6194 6178 6148 6093 6091 6041,6198 6196 6126 6097 6092 6074,6222 6216 6198 6174 6147 6128,6227 6226 6196 6172 6148 6127,黄月英，黄承彦之女，诸葛亮之妻。江湖传言，一说她很漂亮，一说她很丑。但有一点是真的，诸葛亮怕老婆！,resource/head_pic/HuangYueYing.png,resource/hero_pic/HuangYueYingA.jpg,resource/card_pic/HuangYueYing.jpg,resource/bones/HuangYueYing,skill,80,resource/bones/HuangYueYing_e,90,150,4,1,1106,1107,1108,2=0=1=0,2=0=1=0,1=9=3=22=0=鸾凤和鸣 1=153=1=18=0=母女情深 1=20;22=1=30=0;0=世外高人 2=75=3=20=0=紫金百花袍 2=14=2=20=0=八卦剑,1
13,曹操,2,1,步兵,3,2300,269,306,232.1,27.3,30.8,50,25,200,25,12,87,0,25,,100,,176,33,15000,116,6004 6003 6003 6002 6002 6001,6025 6023 6014 6013 6012 6001,6078 6048 6027 6012 6011 6004,6093 6092 6046 6043 6025 6011,6098 6097 6075 6048 6045 6026,6143 6096 6094 6076 6046 6043,6147 6147 6093 6072 6072 6043,6198 6145 6127 6094 6077 6044,6195 6171 6143 6098 6095 6047,6198 6197 6121 6093 6093 6078,6225 6217 6198 6178 6141 6126,6224 6224 6192 6177 6142 6124,曹操，字孟德，小名阿瞒，沛国谯人。魏国的创始人、奠基人。年少时不务正业，被水镜先生称“治世之能臣，乱世之奸雄”。诸侯割据后，“挟天子以令诸侯”，征战天下，渐次统一了北方。座右铭——宁我负天下人，休教天下人负我。好梦中杀人。好人妻。,resource/head_pic/CaoCao.png,resource/hero_pic/CaoCaoA.jpg,resource/card_pic/CaoCao.jpg,resource/bones/CaoCao,skill,90,resource/bones/CaoCao_e,90,,3,,1028,1029,1030,0=0=1=0,0=1=0=0,1=74=1=24=0=继承王位 1=45=3=19=0=魏之守护 1=19;5=1=30=0;0=三国鼎立 2=28=2=22=0=倚天剑 2=67=3=20=0=黄金锁子甲,1
14,吕布,1,3,骑兵,3,1898,364,242,191,36.9,24.4,62,112,0,75,87,0,10,62,,100,,173,47,15000,128,6003 6002 6002 6001 6001 6004,6025 6025 6014 6013 6012 6001,6077 6047 6021 6013 6011 6001,6098 6091 6048 6043 6027 6012,6098 6092 6073 6045 6044 6023,6144 6096 6096 6072 6048 6044,6144 6143 6092 6073 6072 6048,6197 6141 6128 6097 6071 6047,6191 6176 6142 6098 6097 6048,6197 6195 6126 6097 6092 6074,6221 6216 6198 6178 6141 6123,6225 6223 6191 6177 6141 6122,吕布，字奉先，五原郡九原人。骁勇善战的汉末诸侯。为貂蝉而杀董卓，与貂蝉是绝壁的高富帅与百富美。与曹操为战，兵败下邳，命丧白门楼。手持方天画戟，胯下赤兔马，人称“人中吕布，马中赤兔”，吕布代表了三国时的最强战力！,resource/head_pic/LvBu.png,resource/hero_pic/LvBuA.jpg,resource/card_pic/LvBu.jpg,resource/bones/LvBu,skill,80,resource/bones/LvBu_e,90,,3,,1031,1032,1033,2=0=1=0,0=1=0=2,1=21=2=25=0=千年绝恋 1=18=3=24=0=如虎添翼 1=259;151;123;111=1;3=25;25=0;0=群雄乱舞 2=22=2=26=0=方天画戟 2=110=1=23=0=束发紫金冠,1
15,关羽,3,3,骑兵,3,1883,345,247,189.5,34.9,24.9,175,62,0,62,100,0,10,0,,100,,557,77,15000,150,6004 6004 6003 6003 6002 6001,6028 6024 6014 6013 6013 6003,6073 6044 6023 6013 6012 6003,6092 6092 6047 6047 6021 6012,6097 6095 6073 6045 6045 6023,6143 6094 6092 6072 6043 6043,6146 6144 6094 6075 6074 6042,6197 6142 6122 6097 6071 6046,6197 6172 6142 6095 6092 6045,6198 6193 6122 6097 6095 6076,6224 6214 6194 6171 6142 6122,6227 6224 6198 6177 6144 6121,关羽，字云长，本字长生，河东解县人。早年随刘备起兵，曾参与镇压黄巾起义，后守下邳。东汉建安五年（200）。十三年，关羽所领的万余水军作为刘备军主力，与孙权联合，大败曹军于赤壁。二十四年，关羽率军出兵北攻襄阳、樊城，乘汉水泛滥，迫降曹将于禁，擒杀庞德，围困曹仁、吕常，威胁中原，一时间威震华夏。后因曹操遣兵增援，吴将吕蒙乘虚袭取江陵，关羽败走麦城。被后人尊称为“二爷”汉末三绝中的“义绝”！被后人拜为“武圣”！,resource/head_pic/GuanYu.png,resource/hero_pic/GuanYuA.jpg,resource/card_pic/GuanYu.jpg,resource/bones/guanyu,skill,80,resource/bones/guanyu_e,80,,3,,1034,1035,1036,2=0=1=0,0=1=0=2,1=19;1=3=24=0=桃园结义 1=22=1=18=0=刮骨疗毒 1=1;16;17;65=1;2=25;25=0;0=五虎上将 2=19=2=23=0=青龙偃月刀 2=63=3=18=0=浑天宝甲,
16,赵云,3,3,骑兵,3,2055,316,256,206.8,32,25.8,162,50,12,50,87,12,15,12,,100,,192,48,15000,129,6004 6003 6002 6002 6001 6001,6028 6028 6014 6013 6012 6002,6071 6048 6027 6014 6014 6001,6096 6094 6047 6046 6027 6013,6097 6095 6074 6046 6042 6021,6141 6094 6093 6075 6045 6044,6144 6142 6096 6073 6071 6046,6196 6141 6127 6094 6072 6047,6196 6173 6141 6095 6094 6041,6196 6194 6125 6097 6092 6071,6225 6218 6191 6171 6147 6128,6225 6221 6198 6172 6145 6128,赵云，字子龙，常山真定人。赵云开始随公孙瓒征讨，后投靠刘备，当阳长阪恶战中保护刘禅和甘夫人脱险。刘备西征时，赵云截江夺回了后主刘禅。后随诸葛亮、张飞等人沿江而上，攻打江阳、资中一带，完成了对成都西南部的包围。建兴六年，赵云随诸葛亮北伐，在斜谷之战成功吸引了曹真主力，使得诸葛亮顺利夺取了凉州三郡。,resource/head_pic/ZhaoYun.png,resource/hero_pic/ZhaoYunA.jpg,resource/card_pic/ZhaoYun.jpg,resource/bones/ZhaoYun,skill,80,resource/bones/ZhaoYun_e,100,,3,,1037,1038,1039,1=0=2=0,0=1=2=0,1=19=1=22=0=一身是胆 1=60=3=24=0=龙飞凤舞 1=15;1;17;65=2;1=25;25=0;0=五虎上将 2=23=2=23=0=龙胆亮银枪 2=69=3=24=0=亮银狮子铠,1
17,马超,3,3,骑兵,3,1952,341,238,196.4,34.6,24,187,50,0,50,112,0,10,0,,100,,503,52,15000,132,6004 6003 6002 6002 6001 6001,6022 6021 6014 6013 6012 6004,6075 6046 6021 6014 6011 6002,6097 6096 6047 6042 6028 6013,6097 6095 6072 6046 6042 6028,6148 6096 6091 6076 6047 6043,6147 6143 6096 6077 6072 6046,6197 6148 6124 6093 6077 6046,6193 6172 6142 6093 6092 6045,6196 6192 6127 6096 6093 6071,6227 6211 6195 6171 6146 6127,6223 6221 6197 6178 6144 6124,马超，字孟起，扶风茂陵人。马腾之子。汉室封马超为卫尉、都亭侯、偏将军。马超举兵攻打曹操，与曹操相持时，差点捉住曹操，让曹操割须断袍，狼狈而逃。后来因中了曹操离间之计，与友军韩遂互攻，而导致兵败。超失败后投奔张鲁，后又归顺刘备，迫使刘璋向刘备投降，超拜平西将军、前都亭侯，后升左将军。刘备称帝后拜马超为骠骑将军，兼凉州牧。,resource/head_pic/MaChao.png,resource/hero_pic/MaChaoA.jpg,resource/card_pic/MaChao.jpg,resource/bones/MaChao,skill,85,resource/bones/MaChao_e,90,150,4,,1040,1041,1042,0=1=0=0,0=1=0=0,1=3=1=24=0=裸衣 1=45=2=23=0=对峙潼关 1=15;1;16;65=1;3=25;25=0;0=五虎上将 2=24=2=20=0=虎头湛金枪 2=114=1=18=0=裂天凤纹盔,
18,张辽,2,3,骑兵,3,1940,305,262,195.3,30.9,26.4,87,50,112,12,62,62,15,0,,100,,186,30,15000,113,6004 6003 6003 6002 6002 6001,6026 6023 6014 6014 6013 6002,6074 6043 6024 6013 6013 6003,6095 6091 6042 6042 6013 6013,6095 6092 6072 6047 6013 6025,6141 6096 6091 6077 6013 6047,6148 6142 6095 6077 6013 6047,6194 6144 6121 6091 6013 6043,6191 6175 6142 6096 6013 6048,6195 6191 6126 6096 6013 6075,6228 6211 6193 6177 6013 6127,6226 6223 6197 6174 6013 6122,张辽，字文远，雁门马邑人。三国魏名将。昔从属丁原、董卓、吕布。及吕布败亡，归曹操。辽随曹军征讨，战功累累。说降关羽白马围，降昌豨于东海，攻袁尚于邺城，斩乌丸单于蹋顿于柳城，又讨平梅成、陈兰争贼寇。曹操赤壁败退，独任张辽引李典、乐进等守合肥，以御孙权。后孙权引军入寇，张辽率队迎击，以八百之众袭孙权主力，使敌军十万退却，威震敌国，名威天下，为操拜为征东将军。,resource/head_pic/ZhangLiao.png,resource/hero_pic/ZhangLiaoA.jpg,resource/card_pic/ZhangLiao.jpg,resource/bones/ZhangLiao,skill,80,resource/bones/ZhangLiao_e,90,150,4,,1043,1044,1045,2=0=1=0,2=1=0=0,1=14=2=23=0=如虎添翼 1=4=1=23=0=曹魏之刃 1=46;69;66;39=3;1=25;25=0;0=五子良将 2=24=2=18=0=虎头湛金枪 2=71=3=20=0=双龙珍珠甲,1
19,刘备,3,1,步兵,3,2290,266,302,231.1,27.1,30.4,175,25,75,62,37,25,0,25,,100,,179,34,15000,117,6004 6004 6003 6003 6002 6002,6026 6026 6012 6011 6011 6002,6075 6041 6012 6011 6011 6001,6096 6094 6012 6041 6026 6014,6094 6092 6012 6043 6042 6027,6142 6098 6012 6074 6042 6041,6143 6143 6012 6073 6072 6044,6194 6141 6012 6095 6074 6046,6198 6171 6012 6096 6093 6047,6197 6194 6012 6096 6093 6074,6222 6217 6012 6178 6142 6128,6224 6222 6012 6177 6145 6127,刘备，字玄德，蜀汉的开国皇帝，生于公元161年，涿郡涿县人。刘备生性少言寡语，待人谦和，喜怒不形于色，喜欢结交英雄豪杰，少年孤贫，以贩鞋织草席为生。黄巾起义时，刘备与关羽、张飞桃园结义，成为异姓兄弟。后诸侯割据，因势力弱小，常寄人篱下。赤壁之战之际，联吴抗曹，从东吴处“借”到荆州，迅速发展起来，吞并益州，占领汉中，建立蜀汉政权。,resource/head_pic/LiuBei.png,resource/hero_pic/LiuBeiA.jpg,resource/card_pic/LiuBei.jpg,resource/bones/LiuBei,skill,80,resource/bones/LiuBei_e,90,,3,,1046,1047,1048,2=0=1=0,0=1=0=0,1=9=2=22=0=三顾茅庐 1=15;1=3=30=0;0=桃园结义 1=13;5=1=30=0;0=三国鼎立 2=25=2=19=0=龙凤双股剑 2=164=1=20=0=流星斗靴,1
