将星点ID,将星点名称,类型ID,阵营ID,属性ID,属性名,属性值,消耗,银币消耗,x坐标,y坐标,,
406,玄武一_6,4,2,3,防御,46,73,554,-80,-10,400,310
407,玄武一_7,4,3,1,生命,120,76,565,0,-140,480,440
408,玄武一_8,4,4,2,攻击,30,78,575,110,-65,590,365
409,玄武一_9,4,1,3,防御,46,81,586,75,80,555,220
410,玄武一_10,4,2,1,生命,120,83,597,215,-65,695,365
411,玄武一_11,4,3,2,攻击,30,86,608,230,60,710,240
412,玄武一_12,4,4,3,防御,46,89,619,350,-70,830,370
501,天狼一_1,5,1,1,生命,120,91,630,-345,-140,135,440
502,天狼一_2,5,2,2,攻击,30,94,640,-295,0,185,300
503,天狼一_3,5,3,3,防御,46,97,651,-175,-115,305,415
504,天狼一_4,5,4,1,生命,120,100,663,-215,45,265,255
505,天狼一_5,5,1,2,攻击,30,103,674,-90,110,390,150
506,天狼一_6,5,2,3,防御,46,106,685,-80,-10,400,310
507,天狼一_7,5,3,1,生命,120,109,696,0,-140,480,440
508,天狼一_8,5,4,2,攻击,30,112,707,110,-65,590,365
509,天狼一_9,5,1,3,防御,46,115,719,75,80,555,220
510,天狼一_10,5,2,1,生命,120,118,730,215,-65,695,365
511,天狼一_11,5,3,2,攻击,30,121,741,230,60,710,240
512,天狼一_12,5,4,3,防御,46,124,753,350,-70,830,370
601,麒麟一_1,6,1,1,生命,120,127,764,-345,-140,135,440
602,麒麟一_2,6,2,2,攻击,30,130,776,-295,0,185,300
603,麒麟一_3,6,3,3,防御,46,133,788,-175,-115,305,415
604,麒麟一_4,6,4,1,生命,120,137,800,-215,45,265,255
605,麒麟一_5,6,1,2,攻击,30,140,811,-90,110,390,150
606,麒麟一_6,6,2,3,防御,46,143,823,-80,-10,400,310
607,麒麟一_7,6,3,1,生命,120,147,835,0,-140,480,440
608,麒麟一_8,6,4,2,攻击,30,150,847,110,-65,590,365
609,麒麟一_9,6,1,3,防御,46,154,859,75,80,555,220
610,麒麟一_10,6,2,1,生命,120,157,872,215,-65,695,365
611,麒麟一_11,6,3,2,攻击,30,161,884,230,60,710,240
612,麒麟一_12,6,4,3,防御,46,164,896,350,-70,830,370
701,青龙二_1,1,1,1,生命,144,168,909,-345,-140,135,440
702,青龙二_2,1,2,2,攻击,36,171,921,-295,0,185,300
703,青龙二_3,1,3,3,防御,55,175,934,-175,-115,305,415
704,青龙二_4,1,4,1,生命,144,179,947,-215,45,265,255
705,青龙二_5,1,1,2,攻击,36,182,959,-90,110,390,150
706,青龙二_6,1,2,3,防御,55,186,972,-80,-10,400,310
707,青龙二_7,1,3,1,生命,144,190,985,0,-140,480,440
708,青龙二_8,1,4,2,攻击,36,194,998,110,-65,590,365
709,青龙二_9,1,1,3,防御,55,198,1011,75,80,555,220
710,青龙二_10,1,2,1,生命,144,202,1025,215,-65,695,365
711,青龙二_11,1,3,2,攻击,36,206,1038,230,60,710,240
712,青龙二_12,1,4,3,防御,55,210,1051,350,-70,830,370
801,白虎二_1,2,1,1,生命,144,214,1065,-345,-140,135,440
802,白虎二_2,2,2,2,攻击,36,218,1078,-295,0,185,300
803,白虎二_3,2,3,3,防御,55,222,1092,-175,-115,305,415
804,白虎二_4,2,4,1,生命,144,226,1106,-215,45,265,255
805,白虎二_5,2,1,2,攻击,36,230,1120,-90,110,390,150
806,白虎二_6,2,2,3,防御,55,234,1134,-80,-10,400,310
807,白虎二_7,2,3,1,生命,144,238,1148,0,-140,480,440
808,白虎二_8,2,4,2,攻击,36,243,1162,110,-65,590,365
809,白虎二_9,2,1,3,防御,55,247,1176,75,80,555,220
810,白虎二_10,2,2,1,生命,144,251,1191,215,-65,695,365
811,白虎二_11,2,3,2,攻击,36,256,1205,230,60,710,240
812,白虎二_12,2,4,3,防御,55,260,1220,350,-70,830,370
901,朱雀二_1,3,1,1,生命,144,265,1235,-345,-140,135,440
902,朱雀二_2,3,2,2,攻击,36,269,1250,-295,0,185,300
903,朱雀二_3,3,3,3,防御,55,274,1265,-175,-115,305,415
904,朱雀二_4,3,4,1,生命,144,278,1280,-215,45,265,255
905,朱雀二_5,3,1,2,攻击,36,283,1295,-90,110,390,150
906,朱雀二_6,3,2,3,防御,55,287,1310,-80,-10,400,310
907,朱雀二_7,3,3,1,生命,144,292,1326,0,-140,480,440
908,朱雀二_8,3,4,2,攻击,36,297,1341,110,-65,590,365
909,朱雀二_9,3,1,3,防御,55,301,1357,75,80,555,220
910,朱雀二_10,3,2,1,生命,144,306,1373,215,-65,695,365
911,朱雀二_11,3,3,2,攻击,36,311,1389,230,60,710,240
912,朱雀二_12,3,4,3,防御,55,316,1405,350,-70,830,370
1001,玄武二_1,4,1,1,生命,144,321,1421,-345,-140,135,440
1002,玄武二_2,4,2,2,攻击,36,326,1437,-295,0,185,300
1003,玄武二_3,4,3,3,防御,55,331,1454,-175,-115,305,415
1004,玄武二_4,4,4,1,生命,144,336,1470,-215,45,265,255
1005,玄武二_5,4,1,2,攻击,36,341,1487,-90,110,390,150
1006,玄武二_6,4,2,3,防御,55,346,1504,-80,-10,400,310
1007,玄武二_7,4,3,1,生命,144,351,1521,0,-140,480,440
1008,玄武二_8,4,4,2,攻击,36,356,1538,110,-65,590,365
1009,玄武二_9,4,1,3,防御,55,361,1555,75,80,555,220
1010,玄武二_10,4,2,1,生命,144,366,1573,215,-65,695,365
1011,玄武二_11,4,3,2,攻击,36,371,1590,230,60,710,240
1012,玄武二_12,4,4,3,防御,55,377,1608,350,-70,830,370
1101,天狼二_1,5,1,1,生命,144,382,1626,-345,-140,135,440
1102,天狼二_2,5,2,2,攻击,36,387,1644,-295,0,185,300
1103,天狼二_3,5,3,3,防御,55,393,1662,-175,-115,305,415
1104,天狼二_4,5,4,1,生命,144,398,1680,-215,45,265,255
1105,天狼二_5,5,1,2,攻击,36,404,1698,-90,110,390,150
1106,天狼二_6,5,2,3,防御,55,409,1717,-80,-10,400,310
1107,天狼二_7,5,3,1,生命,144,415,1736,0,-140,480,440
1108,天狼二_8,5,4,2,攻击,36,420,1754,110,-65,590,365
1109,天狼二_9,5,1,3,防御,55,426,1773,75,80,555,220
1110,天狼二_10,5,2,1,生命,144,431,1793,215,-65,695,365
1111,天狼二_11,5,3,2,攻击,36,437,1812,230,60,710,240
1112,天狼二_12,5,4,3,防御,55,443,1831,350,-70,830,370
1201,麒麟二_1,6,1,1,生命,144,448,1851,-345,-140,135,440
1202,麒麟二_2,6,2,2,攻击,36,454,1871,-295,0,185,300
1203,麒麟二_3,6,3,3,防御,55,460,1891,-175,-115,305,415
1204,麒麟二_4,6,4,1,生命,144,466,1911,-215,45,265,255
1205,麒麟二_5,6,1,2,攻击,36,472,1931,-90,110,390,150
1206,麒麟二_6,6,2,3,防御,55,478,1952,-80,-10,400,310
1207,麒麟二_7,6,3,1,生命,144,484,1972,0,-140,480,440
1208,麒麟二_8,6,4,2,攻击,36,490,1993,110,-65,590,365
1209,麒麟二_9,6,1,3,防御,55,496,2014,75,80,555,220
1210,麒麟二_10,6,2,1,生命,144,502,2035,215,-65,695,365
1211,麒麟二_11,6,3,2,攻击,36,508,2056,230,60,710,240
1212,麒麟二_12,6,4,3,防御,55,514,2078,350,-70,830,370
1301,青龙三_1,1,1,1,生命,168,520,2100,-345,-140,135,440
1302,青龙三_2,1,2,2,攻击,42,526,2121,-295,0,185,300
1303,青龙三_3,1,3,3,防御,64,532,2144,-175,-115,305,415
1304,青龙三_4,1,4,1,生命,168,539,2166,-215,45,265,255
1305,青龙三_5,1,1,2,攻击,42,545,2188,-90,110,390,150
1306,青龙三_6,1,2,3,防御,64,551,2211,-80,-10,400,310
1307,青龙三_7,1,3,1,生命,168,558,2234,0,-140,480,440
1308,青龙三_8,1,4,2,攻击,42,564,2257,110,-65,590,365
1309,青龙三_9,1,1,3,防御,64,571,2280,75,80,555,220
1310,青龙三_10,1,2,1,生命,168,577,2303,215,-65,695,365
1311,青龙三_11,1,3,2,攻击,42,584,2327,230,60,710,240
1312,青龙三_12,1,4,3,防御,64,590,2350,350,-70,830,370
1401,白虎三_1,2,1,1,生命,168,597,2374,-345,-140,135,440
1402,白虎三_2,2,2,2,攻击,42,603,2398,-295,0,185,300
1403,白虎三_3,2,3,3,防御,64,610,2423,-175,-115,305,415
1404,白虎三_4,2,4,1,生命,168,617,2447,-215,45,265,255
1405,白虎三_5,2,1,2,攻击,42,623,2472,-90,110,390,150
1406,白虎三_6,2,2,3,防御,64,630,2497,-80,-10,400,310
1407,白虎三_7,2,3,1,生命,168,637,2522,0,-140,480,440
1408,白虎三_8,2,4,2,攻击,42,644,2548,110,-65,590,365
1409,白虎三_9,2,1,3,防御,64,651,2573,75,80,555,220
1410,白虎三_10,2,2,1,生命,168,658,2599,215,-65,695,365
1411,白虎三_11,2,3,2,攻击,42,665,2625,230,60,710,240
1412,白虎三_12,2,4,3,防御,64,672,2652,350,-70,830,370
1501,朱雀三_1,3,1,1,生命,168,679,2678,-345,-140,135,440
1502,朱雀三_2,3,2,2,攻击,42,686,2705,-295,0,185,300
1503,朱雀三_3,3,3,3,防御,64,693,2732,-175,-115,305,415
1504,朱雀三_4,3,4,1,生命,168,700,2759,-215,45,265,255
1505,朱雀三_5,3,1,2,攻击,42,707,2786,-90,110,390,150
1506,朱雀三_6,3,2,3,防御,64,714,2814,-80,-10,400,310
1507,朱雀三_7,3,3,1,生命,168,721,2842,0,-140,480,440
1508,朱雀三_8,3,4,2,攻击,42,729,2870,110,-65,590,365
1509,朱雀三_9,3,1,3,防御,64,736,2898,75,80,555,220
1510,朱雀三_10,3,2,1,生命,168,743,2927,215,-65,695,365
1511,朱雀三_11,3,3,2,攻击,42,751,2956,230,60,710,240
1512,朱雀三_12,3,4,3,防御,64,758,2985,350,-70,830,370
1601,玄武三_1,4,1,1,生命,168,766,3014,-345,-140,135,440
1602,玄武三_2,4,2,2,攻击,42,773,3044,-295,0,185,300
1603,玄武三_3,4,3,3,防御,64,781,3074,-175,-115,305,415
1604,玄武三_4,4,4,1,生命,168,788,3104,-215,45,265,255
1605,玄武三_5,4,1,2,攻击,42,796,3134,-90,110,390,150
1606,玄武三_6,4,2,3,防御,64,803,3165,-80,-10,400,310
1607,玄武三_7,4,3,1,生命,168,811,3196,0,-140,480,440
1608,玄武三_8,4,4,2,攻击,42,819,3227,110,-65,590,365
1609,玄武三_9,4,1,3,防御,64,826,3258,75,80,555,220
1610,玄武三_10,4,2,1,生命,168,834,3290,215,-65,695,365
1611,玄武三_11,4,3,2,攻击,42,842,3322,230,60,710,240
1612,玄武三_12,4,4,3,防御,64,850,3354,350,-70,830,370
1701,天狼三_1,5,1,1,生命,168,858,3386,-345,-140,135,440
1702,天狼三_2,5,2,2,攻击,42,866,3419,-295,0,185,300
1703,天狼三_3,5,3,3,防御,64,874,3452,-175,-115,305,415
1704,天狼三_4,5,4,1,生命,168,882,3485,-215,45,265,255
1705,天狼三_5,5,1,2,攻击,42,890,3519,-90,110,390,150
1706,天狼三_6,5,2,3,防御,64,898,3553,-80,-10,400,310
1707,天狼三_7,5,3,1,生命,168,906,3587,0,-140,480,440
1708,天狼三_8,5,4,2,攻击,42,914,3622,110,-65,590,365
1709,天狼三_9,5,1,3,防御,64,922,3656,75,80,555,220
1710,天狼三_10,5,2,1,生命,168,930,3692,215,-65,695,365
1711,天狼三_11,5,3,2,攻击,42,938,3727,230,60,710,240
1712,天狼三_12,5,4,3,防御,64,947,3763,350,-70,830,370
1801,麒麟三_1,6,1,1,生命,168,955,3799,-345,-140,135,440
1802,麒麟三_2,6,2,2,攻击,42,963,3835,-295,0,185,300
1803,麒麟三_3,6,3,3,防御,64,972,3871,-175,-115,305,415
1804,麒麟三_4,6,4,1,生命,168,980,3908,-215,45,265,255
1805,麒麟三_5,6,1,2,攻击,42,989,3946,-90,110,390,150
1806,麒麟三_6,6,2,3,防御,64,997,3983,-80,-10,400,310
1807,麒麟三_7,6,3,1,生命,168,1006,4021,0,-140,480,440
1808,麒麟三_8,6,4,2,攻击,42,1014,4059,110,-65,590,365
1809,麒麟三_9,6,1,3,防御,64,1023,4098,75,80,555,220
1810,麒麟三_10,6,2,1,生命,168,1031,4137,215,-65,695,365
1811,麒麟三_11,6,3,2,攻击,42,1040,4176,230,60,710,240
1812,麒麟三_12,6,4,3,防御,64,1049,4215,350,-70,830,370
1901,青龙四_1,1,1,1,生命,192,1057,4255,-345,-140,135,440
1902,青龙四_2,1,2,2,攻击,48,1066,4296,-295,0,185,300
1903,青龙四_3,1,3,3,防御,73,1075,4336,-175,-115,305,415
1904,青龙四_4,1,4,1,生命,192,1084,4377,-215,45,265,255
1905,青龙四_5,1,1,2,攻击,48,1093,4418,-90,110,390,150
1906,青龙四_6,1,2,3,防御,73,1102,4460,-80,-10,400,310
1907,青龙四_7,1,3,1,生命,192,1111,4502,0,-140,480,440
1908,青龙四_8,1,4,2,攻击,48,1120,4544,110,-65,590,365
1909,青龙四_9,1,1,3,防御,73,1129,4587,75,80,555,220
1910,青龙四_10,1,2,1,生命,192,1138,4630,215,-65,695,365
1911,青龙四_11,1,3,2,攻击,48,1147,4673,230,60,710,240
1912,青龙四_12,1,4,3,防御,73,1156,4717,350,-70,830,370
2001,白虎四_1,2,1,1,生命,192,1165,4762,-345,-140,135,440
2002,白虎四_2,2,2,2,攻击,48,1174,4806,-295,0,185,300
2003,白虎四_3,2,3,3,防御,73,1183,4851,-175,-115,305,415
2004,白虎四_4,2,4,1,生命,192,1193,4896,-215,45,265,255
2005,白虎四_5,2,1,2,攻击,48,1202,4942,-90,110,390,150
2006,白虎四_6,2,2,3,防御,73,1211,4988,-80,-10,400,310
2007,白虎四_7,2,3,1,生命,192,1221,5035,0,-140,480,440
2008,白虎四_8,2,4,2,攻击,48,1230,5082,110,-65,590,365
2009,白虎四_9,2,1,3,防御,73,1240,5129,75,80,555,220
2010,白虎四_10,2,2,1,生命,192,1249,5177,215,-65,695,365
2011,白虎四_11,2,3,2,攻击,48,1259,5225,230,60,710,240
2012,白虎四_12,2,4,3,防御,73,1268,5274,350,-70,830,370
2101,朱雀四_1,3,1,1,生命,192,1278,5323,-345,-140,135,440
2102,朱雀四_2,3,2,2,攻击,48,1287,5372,-295,0,185,300
2103,朱雀四_3,3,3,3,防御,73,1297,5422,-175,-115,305,415
2104,朱雀四_4,3,4,1,生命,192,1307,5472,-215,45,265,255
2105,朱雀四_5,3,1,2,攻击,48,1316,5523,-90,110,390,150
2106,朱雀四_6,3,2,3,防御,73,1326,5574,-80,-10,400,310
2107,朱雀四_7,3,3,1,生命,192,1336,5626,0,-140,480,440
2108,朱雀四_8,3,4,2,攻击,48,1346,5678,110,-65,590,365
2109,朱雀四_9,3,1,3,防御,73,1356,5730,75,80,555,220
2110,朱雀四_10,3,2,1,生命,192,1366,5783,215,-65,695,365
2111,朱雀四_11,3,3,2,攻击,48,1376,5836,230,60,710,240
2112,朱雀四_12,3,4,3,防御,73,1386,5890,350,-70,830,370
2201,玄武四_1,4,1,1,生命,192,1396,5945,-345,-140,135,440
2202,玄武四_2,4,2,2,攻击,48,1406,5999,-295,0,185,300
2203,玄武四_3,4,3,3,防御,73,1416,6055,-175,-115,305,415
2204,玄武四_4,4,4,1,生命,192,1426,6110,-215,45,265,255
2205,玄武四_5,4,1,2,攻击,48,1436,6167,-90,110,390,150
2206,玄武四_6,4,2,3,防御,73,1446,6223,-80,-10,400,310
2207,玄武四_7,4,3,1,生命,192,1456,6281,0,-140,480,440
2208,玄武四_8,4,4,2,攻击,48,1467,6338,110,-65,590,365
2209,玄武四_9,4,1,3,防御,73,1477,6397,75,80,555,220
2210,玄武四_10,4,2,1,生命,192,1487,6455,215,-65,695,365
2211,玄武四_11,4,3,2,攻击,48,1498,6514,230,60,710,240
2212,玄武四_12,4,4,3,防御,73,1508,6574,350,-70,830,370
2301,天狼四_1,5,1,1,生命,192,1519,6634,-345,-140,135,440
2302,天狼四_2,5,2,2,攻击,48,1529,6695,-295,0,185,300
2303,天狼四_3,5,3,3,防御,73,1540,6756,-175,-115,305,415
2304,天狼四_4,5,4,1,生命,192,1550,6818,-215,45,265,255
2305,天狼四_5,5,1,2,攻击,48,1561,6881,-90,110,390,150
2306,天狼四_6,5,2,3,防御,73,1571,6943,-80,-10,400,310
2307,天狼四_7,5,3,1,生命,192,1582,7007,0,-140,480,440
2308,天狼四_8,5,4,2,攻击,48,1593,7071,110,-65,590,365
2309,天狼四_9,5,1,3,防御,73,1603,7135,75,80,555,220
2310,天狼四_10,5,2,1,生命,192,1614,7201,215,-65,695,365
2311,天狼四_11,5,3,2,攻击,48,1625,7266,230,60,710,240
2312,天狼四_12,5,4,3,防御,73,1636,7332,350,-70,830,370
2401,麒麟四_1,6,1,1,生命,192,1647,7399,-345,-140,135,440
2402,麒麟四_2,6,2,2,攻击,48,1658,7467,-295,0,185,300
2403,麒麟四_3,6,3,3,防御,73,1669,7535,-175,-115,305,415
2404,麒麟四_4,6,4,1,生命,192,1680,7603,-215,45,265,255
2405,麒麟四_5,6,1,2,攻击,48,1691,7672,-90,110,390,150
2406,麒麟四_6,6,2,3,防御,73,1702,7742,-80,-10,400,310
2407,麒麟四_7,6,3,1,生命,192,1713,7812,0,-140,480,440
2408,麒麟四_8,6,4,2,攻击,48,1724,7883,110,-65,590,365
2409,麒麟四_9,6,1,3,防御,73,1735,7955,75,80,555,220
2410,麒麟四_10,6,2,1,生命,192,1746,8027,215,-65,695,365
2411,麒麟四_11,6,3,2,攻击,48,1757,8100,230,60,710,240
2412,麒麟四_12,6,4,3,防御,73,1769,8173,350,-70,830,370
2501,青龙五_1,1,1,1,生命,216,1780,8247,-345,-140,135,440
2502,青龙五_2,1,2,2,攻击,54,1791,8322,-295,0,185,300
2503,青龙五_3,1,3,3,防御,82,1803,8397,-175,-115,305,415
2504,青龙五_4,1,4,1,生命,216,1814,8473,-215,45,265,255
2505,青龙五_5,1,1,2,攻击,54,1826,8550,-90,110,390,150
2506,青龙五_6,1,2,3,防御,82,1837,8627,-80,-10,400,310
2507,青龙五_7,1,3,1,生命,216,1849,8706,0,-140,480,440
2508,青龙五_8,1,4,2,攻击,54,1860,8784,110,-65,590,365
2509,青龙五_9,1,1,3,防御,82,1872,8864,75,80,555,220
2510,青龙五_10,1,2,1,生命,216,1883,8944,215,-65,695,365
2511,青龙五_11,1,3,2,攻击,54,1895,9024,230,60,710,240
2512,青龙五_12,1,4,3,防御,82,1907,9106,350,-70,830,370
2601,白虎五_1,2,1,1,生命,216,1918,9188,-345,-140,135,440
2602,白虎五_2,2,2,2,攻击,54,1930,9271,-295,0,185,300
2603,白虎五_3,2,3,3,防御,82,1942,9354,-175,-115,305,415
2604,白虎五_4,2,4,1,生命,216,1954,9439,-215,45,265,255
2605,白虎五_5,2,1,2,攻击,54,1966,9524,-90,110,390,150
2606,白虎五_6,2,2,3,防御,82,1978,9610,-80,-10,400,310
2607,白虎五_7,2,3,1,生命,216,1990,9696,0,-140,480,440
2608,白虎五_8,2,4,2,攻击,54,2002,9783,110,-65,590,365
2609,白虎五_9,2,1,3,防御,82,2014,9871,75,80,555,220
2610,白虎五_10,2,2,1,生命,216,2026,9960,215,-65,695,365
2611,白虎五_11,2,3,2,攻击,54,2038,10050,230,60,710,240
2612,白虎五_12,2,4,3,防御,82,2050,10140,350,-70,830,370
2701,朱雀五_1,3,1,1,生命,216,2062,10231,-345,-140,135,440
2702,朱雀五_2,3,2,2,攻击,54,2074,10323,-295,0,185,300
2703,朱雀五_3,3,3,3,防御,82,2086,10416,-175,-115,305,415
2704,朱雀五_4,3,4,1,生命,216,2099,10509,-215,45,265,255
2705,朱雀五_5,3,1,2,攻击,54,2111,10604,-90,110,390,150
2706,朱雀五_6,3,2,3,防御,82,2123,10699,-80,-10,400,310
2707,朱雀五_7,3,3,1,生命,216,2136,10795,0,-140,480,440
2708,朱雀五_8,3,4,2,攻击,54,2148,10892,110,-65,590,365
2709,朱雀五_9,3,1,3,防御,82,2161,10989,75,80,555,220
2710,朱雀五_10,3,2,1,生命,216,2173,11088,215,-65,695,365
2711,朱雀五_11,3,3,2,攻击,54,2186,11187,230,60,710,240
2712,朱雀五_12,3,4,3,防御,82,2198,11287,350,-70,830,370
2801,玄武五_1,4,1,1,生命,216,2211,11388,-345,-140,135,440
2802,玄武五_2,4,2,2,攻击,54,2223,11490,-295,0,185,300
2803,玄武五_3,4,3,3,防御,82,2236,11593,-175,-115,305,415
2804,玄武五_4,4,4,1,生命,216,2249,11697,-215,45,265,255
2805,玄武五_5,4,1,2,攻击,54,2261,11801,-90,110,390,150
2806,玄武五_6,4,2,3,防御,82,2274,11907,-80,-10,400,310
2807,玄武五_7,4,3,1,生命,216,2287,12013,0,-140,480,440
2808,玄武五_8,4,4,2,攻击,54,2300,12121,110,-65,590,365
2809,玄武五_9,4,1,3,防御,82,2313,12229,75,80,555,220
2810,玄武五_10,4,2,1,生命,216,2326,12338,215,-65,695,365
2811,玄武五_11,4,3,2,攻击,54,2339,12448,230,60,710,240
2812,玄武五_12,4,4,3,防御,82,2352,12560,350,-70,830,370
2901,天狼五_1,5,1,1,生命,216,2365,12672,-345,-140,135,440
2902,天狼五_2,5,2,2,攻击,54,2378,12785,-295,0,185,300
2903,天狼五_3,5,3,3,防御,82,2391,12899,-175,-115,305,415
2904,天狼五_4,5,4,1,生命,216,2404,13014,-215,45,265,255
2905,天狼五_5,5,1,2,攻击,54,2417,13130,-90,110,390,150
2906,天狼五_6,5,2,3,防御,82,2430,13247,-80,-10,400,310
2907,天狼五_7,5,3,1,生命,216,2443,13365,0,-140,480,440
2908,天狼五_8,5,4,2,攻击,54,2457,13484,110,-65,590,365
2909,天狼五_9,5,1,3,防御,82,2470,13604,75,80,555,220
2910,天狼五_10,5,2,1,生命,216,2483,13725,215,-65,695,365
2911,天狼五_11,5,3,2,攻击,54,2497,13848,230,60,710,240
2912,天狼五_12,5,4,3,防御,82,2510,13971,350,-70,830,370
3001,麒麟五_1,6,1,1,生命,216,2524,14095,-345,-140,135,440
3002,麒麟五_2,6,2,2,攻击,54,2537,14221,-295,0,185,300
3003,麒麟五_3,6,3,3,防御,82,2551,14347,-175,-115,305,415
3004,麒麟五_4,6,4,1,生命,216,2564,14475,-215,45,265,255
3005,麒麟五_5,6,1,2,攻击,54,2578,14604,-90,110,390,150
3006,麒麟五_6,6,2,3,防御,82,2591,14733,-80,-10,400,310
3007,麒麟五_7,6,3,1,生命,216,2605,14864,0,-140,480,440
3008,麒麟五_8,6,4,2,攻击,54,2619,14996,110,-65,590,365
3009,麒麟五_9,6,1,3,防御,82,2632,15130,75,80,555,220
3010,麒麟五_10,6,2,1,生命,216,2646,15264,215,-65,695,365
3011,麒麟五_11,6,3,2,攻击,54,2660,15400,230,60,710,240
3012,麒麟五_12,6,4,3,防御,82,2674,15536,350,-70,830,370
3101,青龙六_1,1,1,1,生命,240,2688,15674,-345,-140,,
3102,青龙六_2,1,2,2,攻击,60,2702,15813,-295,0,,
3103,青龙六_3,1,3,3,防御,150,2716,15954,-175,-115,,
3104,青龙六_4,1,4,1,生命,240,2730,16095,-215,45,,
3105,青龙六_5,1,1,2,攻击,60,2744,16238,-90,110,,
3106,青龙六_6,1,2,3,防御,150,2758,16382,-80,-10,,
3107,青龙六_7,1,3,1,生命,240,2772,16527,0,-140,,
3108,青龙六_8,1,4,2,攻击,60,2786,16674,110,-65,,
3109,青龙六_9,1,1,3,防御,150,2800,16822,75,80,,
3110,青龙六_10,1,2,1,生命,240,2814,16971,215,-65,,
3111,青龙六_11,1,3,2,攻击,60,2828,17121,230,60,,
3112,青龙六_12,1,4,3,防御,150,2843,17273,350,-70,,
3201,白虎六_1,2,1,1,生命,240,2857,17426,-345,-140,,
3202,白虎六_2,2,2,2,攻击,60,2871,17580,-295,0,,
3203,白虎六_3,2,3,3,防御,150,2886,17736,-175,-115,,
3204,白虎六_4,2,4,1,生命,240,2900,17893,-215,45,,
3205,白虎六_5,2,1,2,攻击,60,2915,18052,-90,110,,
3206,白虎六_6,2,2,3,防御,150,2929,18211,-80,-10,,
3207,白虎六_7,2,3,1,生命,240,2944,18372,0,-140,,
3208,白虎六_8,2,4,2,攻击,60,2958,18535,110,-65,,
3209,白虎六_9,2,1,3,防御,150,2973,18699,75,80,,
3210,白虎六_10,2,2,1,生命,240,2987,18864,215,-65,,
3211,白虎六_11,2,3,2,攻击,60,3002,19031,230,60,,
3212,白虎六_12,2,4,3,防御,150,3017,19200,350,-70,,
3301,朱雀六_1,3,1,1,生命,240,3031,19369,-345,-140,,
3302,朱雀六_2,3,2,2,攻击,60,3046,19540,-295,0,,
3303,朱雀六_3,3,3,3,防御,150,3061,19713,-175,-115,,
