技能id,等级,需要材料,需要银币,需求等级
9,9,32=12,14000,40
9,10,32=14,16000,45
9,11,33=17,32000,50
9,12,33=20,36000,55
9,13,33=23,40000,60
9,14,33=26,44000,65
9,15,33=30,48000,70
9,16,34=34,96000,75
9,17,34=38,104000,80
9,18,34=42,112000,85
9,19,34=46,120000,90
9,20,34=50,128000,95
10,1,31=1,0,0
10,2,31=2,500,6
10,3,31=3,1000,10
10,4,31=4,2000,15
10,5,31=5,4000,20
10,6,32=6,8000,25
10,7,32=8,10000,30
10,8,32=10,12000,35
10,9,32=12,14000,40
10,10,32=14,16000,45
10,11,33=17,32000,50
10,12,33=20,36000,55
10,13,33=23,40000,60
10,14,33=26,44000,65
10,15,33=30,48000,70
10,16,34=34,96000,75
10,17,34=38,104000,80
10,18,34=42,112000,85
10,19,34=46,120000,90
10,20,34=50,128000,95
11,1,31=1,0,0
11,2,31=2,500,6
11,3,31=3,1000,10
11,4,31=4,2000,15
11,5,31=5,4000,20
11,6,32=6,8000,25
11,7,32=8,10000,30
11,8,32=10,12000,35
11,9,32=12,14000,40
11,10,32=14,16000,45
11,11,33=17,32000,50
11,12,33=20,36000,55
11,13,33=23,40000,60
11,14,33=26,44000,65
11,15,33=30,48000,70
11,16,34=34,96000,75
11,17,34=38,104000,80
11,18,34=42,112000,85
11,19,34=46,120000,90
11,20,34=50,128000,95
12,1,31=1,0,0
12,2,31=2,500,6
12,3,31=3,1000,10
12,4,31=4,2000,15
12,5,31=5,4000,20
12,6,32=6,8000,25
12,7,32=8,10000,30
12,8,32=10,12000,35
12,9,32=12,14000,40
12,10,32=14,16000,45
12,11,33=17,32000,50
12,12,33=20,36000,55
12,13,33=23,40000,60
12,14,33=26,44000,65
12,15,33=30,48000,70
12,16,34=34,96000,75
12,17,34=38,104000,80
12,18,34=42,112000,85
12,19,34=46,120000,90
12,20,34=50,128000,95
13,1,31=1,0,0
13,2,31=2,500,6
13,3,31=3,1000,10
13,4,31=4,2000,15
13,5,31=5,4000,20
13,6,32=6,8000,25
13,7,32=8,10000,30
13,8,32=10,12000,35
13,9,32=12,14000,40
13,10,32=14,16000,45
13,11,33=17,32000,50
13,12,33=20,36000,55
13,13,33=23,40000,60
13,14,33=26,44000,65
13,15,33=30,48000,70
13,16,34=34,96000,75
13,17,34=38,104000,80
13,18,34=42,112000,85
13,19,34=46,120000,90
13,20,34=50,128000,95
14,1,31=1,0,0
14,2,31=2,500,6
14,3,31=3,1000,10
14,4,31=4,2000,15
14,5,31=5,4000,20
14,6,32=6,8000,25
14,7,32=8,10000,30
14,8,32=10,12000,35
14,9,32=12,14000,40
14,10,32=14,16000,45
14,11,33=17,32000,50
14,12,33=20,36000,55
14,13,33=23,40000,60
14,14,33=26,44000,65
14,15,33=30,48000,70
14,16,34=34,96000,75
14,17,34=38,104000,80
14,18,34=42,112000,85
14,19,34=46,120000,90
14,20,34=50,128000,95
15,1,31=1,0,0
15,2,31=2,500,6
15,3,31=3,1000,10
15,4,31=4,2000,15
15,5,31=5,4000,20
15,6,32=6,8000,25
15,7,32=8,10000,30
15,8,32=10,12000,35
15,9,32=12,14000,40
15,10,32=14,16000,45
15,11,33=17,32000,50
15,12,33=20,36000,55
15,13,33=23,40000,60
15,14,33=26,44000,65
15,15,33=30,48000,70
15,16,34=34,96000,75
15,17,34=38,104000,80
15,18,34=42,112000,85
15,19,34=46,120000,90
15,20,34=50,128000,95
16,1,31=1,0,0
16,2,31=2,500,6
16,3,31=3,1000,10
16,4,31=4,2000,15
16,5,31=5,4000,20
16,6,32=6,8000,25
16,7,32=8,10000,30
16,8,32=10,12000,35
16,9,32=12,14000,40
16,10,32=14,16000,45
16,11,33=17,32000,50
16,12,33=20,36000,55
16,13,33=23,40000,60
16,14,33=26,44000,65
16,15,33=30,48000,70
16,16,34=34,96000,75
16,17,34=38,104000,80
16,18,34=42,112000,85
16,19,34=46,120000,90
16,20,34=50,128000,95
17,1,31=1,0,0
17,2,31=2,500,6
17,3,31=3,1000,10
17,4,31=4,2000,15
17,5,31=5,4000,20
17,6,32=6,8000,25
17,7,32=8,10000,30
17,8,32=10,12000,35
17,9,32=12,14000,40
17,10,32=14,16000,45
17,11,33=17,32000,50
17,12,33=20,36000,55
17,13,33=23,40000,60
17,14,33=26,44000,65
17,15,33=30,48000,70
17,16,34=34,96000,75
17,17,34=38,104000,80
17,18,34=42,112000,85
17,19,34=46,120000,90
17,20,34=50,128000,95
18,1,31=1,0,0
18,2,31=2,500,6
18,3,31=3,1000,10
18,4,31=4,2000,15
18,5,31=5,4000,20
18,6,32=6,8000,25
18,7,32=8,10000,30
18,8,32=10,12000,35
18,9,32=12,14000,40
18,10,32=14,16000,45
18,11,33=17,32000,50
18,12,33=20,36000,55
18,13,33=23,40000,60
18,14,33=26,44000,65
18,15,33=30,48000,70
18,16,34=34,96000,75
18,17,34=38,104000,80
18,18,34=42,112000,85
18,19,34=46,120000,90
18,20,34=50,128000,95
19,1,31=1,0,0
19,2,31=2,500,6
19,3,31=3,1000,10
19,4,31=4,2000,15
19,5,31=5,4000,20
19,6,32=6,8000,25
19,7,32=8,10000,30
19,8,32=10,12000,35
19,9,32=12,14000,40
19,10,32=14,16000,45
19,11,33=17,32000,50
19,12,33=20,36000,55
19,13,33=23,40000,60
19,14,33=26,44000,65
19,15,33=30,48000,70
19,16,34=34,96000,75
19,17,34=38,104000,80
19,18,34=42,112000,85
19,19,34=46,120000,90
19,20,34=50,128000,95
20,1,31=1,0,0
20,2,31=2,500,6
20,3,31=3,1000,10
20,4,31=4,2000,15
20,5,31=5,4000,20
20,6,32=6,8000,25
20,7,32=8,10000,30
20,8,32=10,12000,35
20,9,32=12,14000,40
20,10,32=14,16000,45
20,11,33=17,32000,50
20,12,33=20,36000,55
20,13,33=23,40000,60
20,14,33=26,44000,65
20,15,33=30,48000,70
20,16,34=34,96000,75
20,17,34=38,104000,80
20,18,34=42,112000,85
20,19,34=46,120000,90
20,20,34=50,128000,95
21,1,31=1,0,0
21,2,31=2,500,6
21,3,31=3,1000,10
21,4,31=4,2000,15
21,5,31=5,4000,20
21,6,32=6,8000,25
21,7,32=8,10000,30
21,8,32=10,12000,35
21,9,32=12,14000,40
21,10,32=14,16000,45
21,11,33=17,32000,50
21,12,33=20,36000,55
21,13,33=23,40000,60
21,14,33=26,44000,65
21,15,33=30,48000,70
21,16,34=34,96000,75
21,17,34=38,104000,80
21,18,34=42,112000,85
21,19,34=46,120000,90
21,20,34=50,128000,95
22,1,31=1,0,0
22,2,31=2,500,6
22,3,31=3,1000,10
22,4,31=4,2000,15
22,5,31=5,4000,20
22,6,32=6,8000,25
22,7,32=8,10000,30
22,8,32=10,12000,35
22,9,32=12,14000,40
22,10,32=14,16000,45
22,11,33=17,32000,50
22,12,33=20,36000,55
22,13,33=23,40000,60
22,14,33=26,44000,65
22,15,33=30,48000,70
22,16,34=34,96000,75
22,17,34=38,104000,80
22,18,34=42,112000,85
22,19,34=46,120000,90
22,20,34=50,128000,95
23,1,31=1,0,0
23,2,31=2,500,6
23,3,31=3,1000,10
23,4,31=4,2000,15
23,5,31=5,4000,20
23,6,32=6,8000,25
23,7,32=8,10000,30
23,8,32=10,12000,35
23,9,32=12,14000,40
23,10,32=14,16000,45
23,11,33=17,32000,50
23,12,33=20,36000,55
23,13,33=23,40000,60
23,14,33=26,44000,65
23,15,33=30,48000,70
23,16,34=34,96000,75
23,17,34=38,104000,80
23,18,34=42,112000,85
23,19,34=46,120000,90
23,20,34=50,128000,95
24,1,31=1,0,0
24,2,31=2,500,6
24,3,31=3,1000,10
24,4,31=4,2000,15
24,5,31=5,4000,20
24,6,32=6,8000,25
24,7,32=8,10000,30
24,8,32=10,12000,35
24,9,32=12,14000,40
24,10,32=14,16000,45
24,11,33=17,32000,50
24,12,33=20,36000,55
24,13,33=23,40000,60
24,14,33=26,44000,65
24,15,33=30,48000,70
24,16,34=34,96000,75
24,17,34=38,104000,80
24,18,34=42,112000,85
24,19,34=46,120000,90
24,20,34=50,128000,95
25,1,31=1,0,0
25,2,31=2,500,6
25,3,31=3,1000,10
25,4,31=4,2000,15
25,5,31=5,4000,20
25,6,32=6,8000,25
25,7,32=8,10000,30
25,8,32=10,12000,35
25,9,32=12,14000,40
25,10,32=14,16000,45
25,11,33=17,32000,50
25,12,33=20,36000,55
25,13,33=23,40000,60
25,14,33=26,44000,65
25,15,33=30,48000,70
25,16,34=34,96000,75
25,17,34=38,104000,80
25,18,34=42,112000,85
25,19,34=46,120000,90
25,20,34=50,128000,95
26,1,31=1,0,0
26,2,31=2,500,6
26,3,31=3,1000,10
26,4,31=4,2000,15
26,5,31=5,4000,20
26,6,32=6,8000,25
26,7,32=8,10000,30
26,8,32=10,12000,35
26,9,32=12,14000,40
26,10,32=14,16000,45
26,11,33=17,32000,50
26,12,33=20,36000,55
26,13,33=23,40000,60
26,14,33=26,44000,65
26,15,33=30,48000,70
26,16,34=34,96000,75
26,17,34=38,104000,80
26,18,34=42,112000,85
26,19,34=46,120000,90
26,20,34=50,128000,95
27,1,31=1,0,0
27,2,31=2,500,6
27,3,31=3,1000,10
27,4,31=4,2000,15
27,5,31=5,4000,20
27,6,32=6,8000,25
27,7,32=8,10000,30
27,8,32=10,12000,35
27,9,32=12,14000,40
27,10,32=14,16000,45
27,11,33=17,32000,50
27,12,33=20,36000,55
27,13,33=23,40000,60
27,14,33=26,44000,65
27,15,33=30,48000,70
27,16,34=34,96000,75
27,17,34=38,104000,80
27,18,34=42,112000,85
27,19,34=46,120000,90
27,20,34=50,128000,95
28,1,31=1,0,0
28,2,31=2,500,6
28,3,31=3,1000,10
28,4,31=4,2000,15
28,5,31=5,4000,20
28,6,32=6,8000,25
28,7,32=8,10000,30
28,8,32=10,12000,35
28,9,32=12,14000,40
28,10,32=14,16000,45
28,11,33=17,32000,50
28,12,33=20,36000,55
28,13,33=23,40000,60
28,14,33=26,44000,65
28,15,33=30,48000,70
28,16,34=34,96000,75
28,17,34=38,104000,80
28,18,34=42,112000,85
28,19,34=46,120000,90
28,20,34=50,128000,95
29,1,31=1,0,0
29,2,31=2,500,6
29,3,31=3,1000,10
29,4,31=4,2000,15
29,5,31=5,4000,20
29,6,32=6,8000,25
29,7,32=8,10000,30
29,8,32=10,12000,35
29,9,32=12,14000,40
29,10,32=14,16000,45
29,11,33=17,32000,50
29,12,33=20,36000,55
29,13,33=23,40000,60
29,14,33=26,44000,65
29,15,33=30,48000,70
29,16,34=34,96000,75
29,17,34=38,104000,80
29,18,34=42,112000,85
29,19,34=46,120000,90
29,20,34=50,128000,95
30,1,31=1,0,0
30,2,31=2,500,6
30,3,31=3,1000,10
30,4,31=4,2000,15
30,5,31=5,4000,20
30,6,32=6,8000,25
30,7,32=8,10000,30
30,8,32=10,12000,35
30,9,32=12,14000,40
30,10,32=14,16000,45
30,11,33=17,32000,50
30,12,33=20,36000,55
30,13,33=23,40000,60
30,14,33=26,44000,65
30,15,33=30,48000,70
30,16,34=34,96000,75
30,17,34=38,104000,80
30,18,34=42,112000,85
30,19,34=46,120000,90
30,20,34=50,128000,95
31,1,31=1,0,0
31,2,31=2,500,6
31,3,31=3,1000,10
31,4,31=4,2000,15
31,5,31=5,4000,20
31,6,32=6,8000,25
31,7,32=8,10000,30
31,8,32=10,12000,35
31,9,32=12,14000,40
31,10,32=14,16000,45
31,11,33=17,32000,50
31,12,33=20,36000,55
31,13,33=23,40000,60
31,14,33=26,44000,65
31,15,33=30,48000,70
31,16,34=34,96000,75
31,17,34=38,104000,80
31,18,34=42,112000,85
31,19,34=46,120000,90
31,20,34=50,128000,95
32,1,31=1,0,0
32,2,31=2,500,6
32,3,31=3,1000,10
32,4,31=4,2000,15
32,5,31=5,4000,20
32,6,32=6,8000,25
32,7,32=8,10000,30
32,8,32=10,12000,35
32,9,32=12,14000,40
32,10,32=14,16000,45
32,11,33=17,32000,50
32,12,33=20,36000,55
32,13,33=23,40000,60
32,14,33=26,44000,65
32,15,33=30,48000,70
32,16,34=34,96000,75
32,17,34=38,104000,80
32,18,34=42,112000,85
32,19,34=46,120000,90
32,20,34=50,128000,95
33,1,31=1,0,0
33,2,31=2,500,6
33,3,31=3,1000,10
33,4,31=4,2000,15
33,5,31=5,4000,20
33,6,32=6,8000,25
33,7,32=8,10000,30
33,8,32=10,12000,35
33,9,32=12,14000,40
33,10,32=14,16000,45
33,11,33=17,32000,50
33,12,33=20,36000,55
33,13,33=23,40000,60
33,14,33=26,44000,65
33,15,33=30,48000,70
33,16,34=34,96000,75
33,17,34=38,104000,80
33,18,34=42,112000,85
33,19,34=46,120000,90
33,20,34=50,128000,95
34,1,31=1,0,0
34,2,31=2,500,6
34,3,31=3,1000,10
34,4,31=4,2000,15
34,5,31=5,4000,20
34,6,32=6,8000,25
34,7,32=8,10000,30
34,8,32=10,12000,35
34,9,32=12,14000,40
34,10,32=14,16000,45
34,11,33=17,32000,50
34,12,33=20,36000,55
34,13,33=23,40000,60
34,14,33=26,44000,65
34,15,33=30,48000,70
34,16,34=34,96000,75
34,17,34=38,104000,80
34,18,34=42,112000,85
34,19,34=46,120000,90
34,20,34=50,128000,95
,,,,0
301,1,31=1,0,0
301,2,31=2,500,6
301,3,31=3,1000,10
301,4,31=4,2000,15
301,5,31=5,4000,20
301,6,32=6,8000,25
301,7,32=8,10000,30
301,8,32=10,12000,35
301,9,32=12,14000,40
301,10,32=14,16000,45
301,11,33=17,32000,50
301,12,33=20,36000,55
301,13,33=23,40000,60
301,14,33=26,44000,65
301,15,33=30,48000,70
301,16,34=34,96000,75
301,17,34=38,104000,80
301,18,34=42,112000,85
301,19,34=46,120000,90
301,20,34=50,128000,95
302,1,31=1,0,0
302,2,31=2,500,6
302,3,31=3,1000,10
302,4,31=4,2000,15
302,5,31=5,4000,20
302,6,32=6,8000,25
302,7,32=8,10000,30
302,8,32=10,12000,35
302,9,32=12,14000,40
302,10,32=14,16000,45
302,11,33=17,32000,50
302,12,33=20,36000,55
302,13,33=23,40000,60
302,14,33=26,44000,65
302,15,33=30,48000,70
302,16,34=34,96000,75
302,17,34=38,104000,80
302,18,34=42,112000,85
302,19,34=46,120000,90
302,20,34=50,128000,95
303,1,31=1,0,0
303,2,31=2,500,6
303,3,31=3,1000,10
303,4,31=4,2000,15
303,5,31=5,4000,20
303,6,32=6,8000,25
303,7,32=8,10000,30
303,8,32=10,12000,35
303,9,32=12,14000,40
303,10,32=14,16000,45
303,11,33=17,32000,50
303,12,33=20,36000,55
303,13,33=23,40000,60
303,14,33=26,44000,65
303,15,33=30,48000,70
303,16,34=34,96000,75
303,17,34=38,104000,80
303,18,34=42,112000,85
303,19,34=46,120000,90
303,20,34=50,128000,95
304,1,31=1,0,0
304,2,31=2,500,6
304,3,31=3,1000,10
304,4,31=4,2000,15
304,5,31=5,4000,20
304,6,32=6,8000,25
304,7,32=8,10000,30
304,8,32=10,12000,35
304,9,32=12,14000,40
304,10,32=14,16000,45
304,11,33=17,32000,50
304,12,33=20,36000,55
304,13,33=23,40000,60
304,14,33=26,44000,65
304,15,33=30,48000,70
304,16,34=34,96000,75
304,17,34=38,104000,80
304,18,34=42,112000,85
304,19,34=46,120000,90
304,20,34=50,128000,95
305,1,31=1,0,0
305,2,31=2,500,6
305,3,31=3,1000,10
305,4,31=4,2000,15
305,5,31=5,4000,20
305,6,32=6,8000,25
305,7,32=8,10000,30
305,8,32=10,12000,35
305,9,32=12,14000,40
305,10,32=14,16000,45
305,11,33=17,32000,50
305,12,33=20,36000,55
305,13,33=23,40000,60
305,14,33=26,44000,65
305,15,33=30,48000,70
305,16,34=34,96000,75
305,17,34=38,104000,80
305,18,34=42,112000,85
305,19,34=46,120000,90
305,20,34=50,128000,95
306,1,31=1,0,0
306,2,31=2,500,6
306,3,31=3,1000,10
306,4,31=4,2000,15
306,5,31=5,4000,20
306,6,32=6,8000,25
306,7,32=8,10000,30
306,8,32=10,12000,35
306,9,32=12,14000,40
306,10,32=14,16000,45
306,11,33=17,32000,50
306,12,33=20,36000,55
306,13,33=23,40000,60
306,14,33=26,44000,65
306,15,33=30,48000,70
306,16,34=34,96000,75
306,17,34=38,104000,80
306,18,34=42,112000,85
306,19,34=46,120000,90
306,20,34=50,128000,95
307,1,31=1,0,0
307,2,31=2,500,6
307,3,31=3,1000,10
307,4,31=4,2000,15
307,5,31=5,4000,20
307,6,32=6,8000,25
307,7,32=8,10000,30
307,8,32=10,12000,35
307,9,32=12,14000,40
307,10,32=14,16000,45
307,11,33=17,32000,50
307,12,33=20,36000,55
307,13,33=23,40000,60
307,14,33=26,44000,65
307,15,33=30,48000,70
307,16,34=34,96000,75
307,17,34=38,104000,80
307,18,34=42,112000,85
307,19,34=46,120000,90
307,20,34=50,128000,95
308,1,31=1,0,0
308,2,31=2,500,6
308,3,31=3,1000,10
308,4,31=4,2000,15
308,5,31=5,4000,20
308,6,32=6,8000,25
308,7,32=8,10000,30
308,8,32=10,12000,35
308,9,32=12,14000,40
308,10,32=14,16000,45
308,11,33=17,32000,50
308,12,33=20,36000,55
308,13,33=23,40000,60
308,14,33=26,44000,65
308,15,33=30,48000,70
308,16,34=34,96000,75
308,17,34=38,104000,80
308,18,34=42,112000,85
308,19,34=46,120000,90
308,20,34=50,128000,95
309,1,31=1,0,0
309,2,31=2,500,6
309,3,31=3,1000,10
309,4,31=4,2000,15
309,5,31=5,4000,20
309,6,32=6,8000,25
309,7,32=8,10000,30
309,8,32=10,12000,35
309,9,32=12,14000,40
309,10,32=14,16000,45
309,11,33=17,32000,50
309,12,33=20,36000,55
309,13,33=23,40000,60
309,14,33=26,44000,65
309,15,33=30,48000,70
309,16,34=34,96000,75
309,17,34=38,104000,80
309,18,34=42,112000,85
309,19,34=46,120000,90
309,20,34=50,128000,95
310,1,31=1,0,0
310,2,31=2,500,6
310,3,31=3,1000,10
310,4,31=4,2000,15
310,5,31=5,4000,20
310,6,32=6,8000,25
310,7,32=8,10000,30
310,8,32=10,12000,35
310,9,32=12,14000,40
310,10,32=14,16000,45
310,11,33=17,32000,50
310,12,33=20,36000,55
310,13,33=23,40000,60
310,14,33=26,44000,65
310,15,33=30,48000,70
310,16,34=34,96000,75
310,17,34=38,104000,80
310,18,34=42,112000,85
310,19,34=46,120000,90
310,20,34=50,128000,95
311,1,31=1,0,0
311,2,31=2,500,6
311,3,31=3,1000,10
311,4,31=4,2000,15
311,5,31=5,4000,20
311,6,32=6,8000,25
311,7,32=8,10000,30
311,8,32=10,12000,35
311,9,32=12,14000,40
311,10,32=14,16000,45
311,11,33=17,32000,50
311,12,33=20,36000,55
311,13,33=23,40000,60
311,14,33=26,44000,65
311,15,33=30,48000,70
311,16,34=34,96000,75
311,17,34=38,104000,80
311,18,34=42,112000,85
311,19,34=46,120000,90
311,20,34=50,128000,95
312,1,31=1,0,0
312,2,31=2,500,6
312,3,31=3,1000,10
312,4,31=4,2000,15
312,5,31=5,4000,20
312,6,32=6,8000,25
312,7,32=8,10000,30
312,8,32=10,12000,35
312,9,32=12,14000,40
312,10,32=14,16000,45
312,11,33=17,32000,50
312,12,33=20,36000,55
312,13,33=23,40000,60
312,14,33=26,44000,65
312,15,33=30,48000,70
312,16,34=34,96000,75
312,17,34=38,104000,80
312,18,34=42,112000,85
312,19,34=46,120000,90
312,20,34=50,128000,95
313,1,31=1,0,0
313,2,31=2,500,6
313,3,31=3,1000,10
313,4,31=4,2000,15
313,5,31=5,4000,20
313,6,32=6,8000,25
313,7,32=8,10000,30
313,8,32=10,12000,35
313,9,32=12,14000,40
313,10,32=14,16000,45
313,11,33=17,32000,50
313,12,33=20,36000,55
313,13,33=23,40000,60
313,14,33=26,44000,65
313,15,33=30,48000,70
313,16,34=34,96000,75
313,17,34=38,104000,80
313,18,34=42,112000,85
313,19,34=46,120000,90
313,20,34=50,128000,95
314,1,31=1,0,0
314,2,31=2,500,6
314,3,31=3,1000,10
314,4,31=4,2000,15
314,5,31=5,4000,20
314,6,32=6,8000,25
314,7,32=8,10000,30
314,8,32=10,12000,35
314,9,32=12,14000,40
314,10,32=14,16000,45
314,11,33=17,32000,50
314,12,33=20,36000,55
314,13,33=23,40000,60
314,14,33=26,44000,65
314,15,33=30,48000,70
314,16,34=34,96000,75
314,17,34=38,104000,80
314,18,34=42,112000,85
314,19,34=46,120000,90
314,20,34=50,128000,95
315,1,31=1,0,0
315,2,31=2,500,6
315,3,31=3,1000,10
315,4,31=4,2000,15
315,5,31=5,4000,20
315,6,32=6,8000,25
315,7,32=8,10000,30
315,8,32=10,12000,35
315,9,32=12,14000,40
315,10,32=14,16000,45
315,11,33=17,32000,50
315,12,33=20,36000,55
315,13,33=23,40000,60
315,14,33=26,44000,65
315,15,33=30,48000,70
315,16,34=34,96000,75
315,17,34=38,104000,80
315,18,34=42,112000,85
315,19,34=46,120000,90
315,20,34=50,128000,95
316,1,31=1,0,0
316,2,31=2,500,6
316,3,31=3,1000,10
316,4,31=4,2000,15
316,5,31=5,4000,20
316,6,32=6,8000,25
316,7,32=8,10000,30
316,8,32=10,12000,35
316,9,32=12,14000,40
316,10,32=14,16000,45
316,11,33=17,32000,50
316,12,33=20,36000,55
316,13,33=23,40000,60
316,14,33=26,44000,65
316,15,33=30,48000,70
316,16,34=34,96000,75
316,17,34=38,104000,80
316,18,34=42,112000,85
316,19,34=46,120000,90
316,20,34=50,128000,95
317,1,31=1,0,0
317,2,31=2,500,6
317,3,31=3,1000,10
317,4,31=4,2000,15
317,5,31=5,4000,20
317,6,32=6,8000,25
317,7,32=8,10000,30
317,8,32=10,12000,35
317,9,32=12,14000,40
317,10,32=14,16000,45
317,11,33=17,32000,50
317,12,33=20,36000,55
317,13,33=23,40000,60
317,14,33=26,44000,65
317,15,33=30,48000,70
317,16,34=34,96000,75
317,17,34=38,104000,80
317,18,34=42,112000,85
317,19,34=46,120000,90
317,20,34=50,128000,95
318,1,31=1,0,0
318,2,31=2,500,6
318,3,31=3,1000,10
318,4,31=4,2000,15
318,5,31=5,4000,20
318,6,32=6,8000,25
318,7,32=8,10000,30
318,8,32=10,12000,35
318,9,32=12,14000,40
318,10,32=14,16000,45
318,11,33=17,32000,50
318,12,33=20,36000,55
318,13,33=23,40000,60
318,14,33=26,44000,65
318,15,33=30,48000,70
318,16,34=34,96000,75
318,17,34=38,104000,80
318,18,34=42,112000,85
318,19,34=46,120000,90
318,20,34=50,128000,95
319,1,31=1,0,0
319,2,31=2,500,6
319,3,31=3,1000,10
319,4,31=4,2000,15
319,5,31=5,4000,20
319,6,32=6,8000,25
319,7,32=8,10000,30
319,8,32=10,12000,35
319,9,32=12,14000,40
319,10,32=14,16000,45
319,11,33=17,32000,50
319,12,33=20,36000,55
319,13,33=23,40000,60
319,14,33=26,44000,65
319,15,33=30,48000,70
319,16,34=34,96000,75
319,17,34=38,104000,80
319,18,34=42,112000,85
319,19,34=46,120000,90
319,20,34=50,128000,95
320,1,31=1,0,0
320,2,31=2,500,6
320,3,31=3,1000,10
320,4,31=4,2000,15
320,5,31=5,4000,20
320,6,32=6,8000,25
320,7,32=8,10000,30
320,8,32=10,12000,35
320,9,32=12,14000,40
320,10,32=14,16000,45
320,11,33=17,32000,50
320,12,33=20,36000,55
320,13,33=23,40000,60
320,14,33=26,44000,65
320,15,33=30,48000,70
320,16,34=34,96000,75
320,17,34=38,104000,80
320,18,34=42,112000,85
320,19,34=46,120000,90
320,20,34=50,128000,95
