副本ID,副本类型,副本名,副本描述,前置副本,开启等级,战斗等级,战斗配表,战斗阶段,战斗场景1,战斗场景2,战斗场景3,剧情,BOSS ID,BOSS名称,BOSS头像框,消耗类型,消耗类型值,战争迷雾,挑战次数,过关经验,星级经验修正,过关金钱,星级金钱修正,首次通关奖励,背景音乐,x坐标,y坐标,,
10505,1,界桥之战2,袁绍亲自率领大军，意图打垮公孙瓒，评定后患,10504,12,15,csv/scene/PT/0505.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,50,颜良,1,1,3,0,9999,111,1=100  2=104  3=108,111,1=100  2=104  3=108,,,59,-67,,
10506,1,界桥之战3,袁绍亲自率领大军，意图打垮公孙瓒，评定后患,10505,12,15,csv/scene/PT/0506.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,123,袁绍,2,1,3,0,9999,114,1=100  2=104  3=108,114,1=100  2=104  3=108,,,242,-85,,
10507,1,白马义从1,危机时刻，一骑白影杀入阵中，是敌？还是友？,10506,12,15,csv/scene/PT/0507.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,111,公孙瓒,1,1,3,0,9999,117,1=100  2=104  3=108,117,1=100  2=104  3=108,,,-78,80,,
10508,1,白马义从2,危机时刻，一骑白影杀入阵中，是敌？还是友？,10507,13,15,csv/scene/PT/0508.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,16,赵云,1,1,3,0,9999,120,1=100  2=104  3=108,120,1=100  2=104  3=108,,,82,140,,
10509,1,白马义从3,危机时刻，一骑白影杀入阵中，是敌？还是友？,10508,13,15,csv/scene/PT/0509.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,111,公孙瓒,2,1,3,0,9999,123,1=100  2=104  3=108,123,1=100  2=104  3=108,,,243,158,,
10510,1,青州大练兵,曹操攻下青州，喜获一群强兵，号称：青州兵！,10509,13,16,csv/scene/PT/0510.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,13,曹操,3,1,3,0,9999,128,1=100  2=104  3=108,128,1=100  2=104  3=108,,,390,130,,
10601,1,袭衮州1,吕布偷袭衮州，曹操的大本营都丢了，这能忍？,10510,13,16,csv/scene/PT/0601.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,18,张辽,1,1,3,0,9999,132,1=100  2=104  3=108,130,1=100  2=104  3=108,,,-372,138,,
10602,1,袭衮州2,吕布偷袭衮州，曹操的大本营都丢了，这能忍？,10601,13,16,csv/scene/PT/0602.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,14,吕布,1,1,3,0,9999,136,1=100  2=104  3=108,132,1=100  2=104  3=108,,,-196,86,,
10603,1,袭衮州3,吕布偷袭衮州，曹操的大本营都丢了，这能忍？,10602,13,16,csv/scene/PT/0603.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,176,高顺,2,1,3,0,9999,140,1=100  2=104  3=108,134,1=100  2=104  3=108,,,-354,-143,,
10604,1,火烧濮阳1,濮阳久攻不下，曹军的热情都化为了一团火！,10603,13,17,csv/scene/PT/0604.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,109,李典,1,1,3,0,9999,144,1=100  2=104  3=108,136,1=100  2=104  3=108,,,-157,-124,,
10605,1,火烧濮阳2,濮阳久攻不下，曹军的热情都化为了一团火！,10604,14,17,csv/scene/PT/0605.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,66,于禁,1,1,3,0,9999,148,1=100  2=104  3=108,138,1=100  2=104  3=108,,,119,-165,,
10606,1,火烧濮阳3,濮阳久攻不下，曹军的热情都化为了一团火！,10605,14,17,csv/scene/PT/0606.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,13,曹操,2,1,3,0,9999,152,1=100  2=104  3=108,140,1=100  2=104  3=108,,,-5,-22,,
10607,1,张绣降曹1,张绣抵抗不住，决定投降曹操，看起来一切都结束了,10606,14,18,csv/scene/PT/0607.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,40,张绣,1,1,3,0,9999,156,1=100  2=104  3=108,142,1=100  2=104  3=108,,,48,175,,
10608,1,张绣降曹2,张绣抵抗不住，决定投降曹操，看起来一切都结束了,10607,14,18,csv/scene/PT/0608.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,58,贾诩,1,1,3,0,9999,160,1=100  2=104  3=108,144,1=100  2=104  3=108,,,160,45,,
10609,1,张绣降曹3,张绣抵抗不住，决定投降曹操，看起来一切都结束了,10608,14,18,csv/scene/PT/0609.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,40,张绣,2,1,3,0,9999,164,1=100  2=104  3=108,146,1=100  2=104  3=108,,,300,-165,333,14
10610,1,古之恶来,曹操自己作死，却苦了典韦独挡叛军！,10609,16,18,csv/scene/PT/0610.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,73,典韦,3,1,3,0,9999,170,1=100  2=104  3=108,148,1=100  2=104  3=108,,,318,150,,
10701,1,徐州之危1,袁术精兵进攻徐州，形势危急，该如何化解？,10610,16,19,csv/scene/PT/0701.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,188,田丰,1,1,3,0,9999,174,1=100  2=104  3=108,150,1=100  2=104  3=108,,,-396,-131,,
10702,1,徐州之危2,袁术精兵进攻徐州，形势危急，该如何化解？,10701,16,19,csv/scene/PT/0702.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,43,纪灵,2,1,3,0,9999,178,1=100  2=104  3=108,152,1=100  2=104  3=108,,,-348,109,,
10703,1,徐州之危3,吕奉先大展神威，辕门射戟，化解了一场厮杀,10702,16,19,csv/scene/PT/0703.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,188,田丰,1,1,3,0,9999,182,1=100  2=104  3=108,154,1=100  2=104  3=108,,,-238,-48,,
10704,1,辕门射戟1,吕奉先大展神威，辕门射戟，化解了一场厮杀,10703,16,19,csv/scene/PT/0704.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,18,张辽,2,1,3,0,9999,186,1=100  2=104  3=108,156,1=100  2=104  3=108,,,-50,-96,,
10705,1,辕门射戟2,陷阵突袭，高顺的必杀技！,10704,17,20,csv/scene/PT/0705.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,19,刘备,1,1,3,0,9999,190,1=100  2=104  3=108,158,1=100  2=104  3=108,,,-180,161,,
10706,1,辕门射戟3,陷阵突袭，高顺的必杀技！,10705,17,20,csv/scene/PT/0706.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,14,吕布,2,1,3,0,9999,194,1=100  2=104  3=108,160,1=100  2=104  3=108,,,-32,126,,
10707,1,陷阵营1,下邳城防守甚密，迫不得已曹军使用水计攻城,10706,17,20,csv/scene/PT/0707.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,176,高顺,1,1,3,0,9999,198,1=100  2=104  3=108,162,1=100  2=104  3=108,,,132,161,,
10708,1,陷阵营2,下邳城防守甚密，迫不得已曹军使用水计攻城,10707,17,20,csv/scene/PT/0708.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,18,张辽,1,1,3,0,9999,202,1=100  2=104  3=108,164,1=100  2=104  3=108,,,352,147,,
10709,1,陷阵营3,下邳城防守甚密，迫不得已曹军使用水计攻城,10708,18,21,csv/scene/PT/0709.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,175,陈宫,2,1,3,0,9999,206,1=100  2=104  3=108,166,1=100  2=104  3=108,,,222,19,,
10710,1,白门楼星陨,白门楼，天下无双的吕布穷途末路，四面楚歌！,10709,18,21,csv/scene/PT/0710.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,14,吕布,3,1,3,0,9999,212,1=100  2=104  3=108,168,1=100  2=104  3=108,,,334,-94,,
10801,1,孙坚之死1,出师未捷身先死，孙坚撤退的路上遭到暗算，形势危矣,10710,18,21,csv/scene/PT/0801.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,5,孙权,1,1,3,0,9999,216,1=100  2=104  3=108,170,1=100  2=104  3=108,,,-395,179,,
10802,1,孙坚之死2,出师未捷身先死，孙坚撤退的路上遭到暗算，形势危矣,10801,19,22,csv/scene/PT/0802.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,37,孙策,1,1,3,0,9999,220,1=100  2=104  3=108,172,1=100  2=104  3=108,,,-308,21,,
10803,1,孙坚之死3,出师未捷身先死，孙坚撤退的路上遭到暗算，形势危矣,10802,19,22,csv/scene/PT/0803.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,49,孙坚,2,1,3,0,9999,224,1=100  2=104  3=108,174,1=100  2=104  3=108,,,-377,-155,,
10804,1,大小乔1,孙策周瑜喜迎大小乔，郎才女貌，江东喜气洋洋,10803,19,22,csv/scene/PT/0804.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,2,周瑜,1,1,3,0,9999,228,1=100  2=104  3=108,176,1=100  2=104  3=108,,,-163,-47,,
10805,1,大小乔2,孙策周瑜喜迎大小乔，郎才女貌，江东喜气洋洋,10804,20,23,csv/scene/PT/0805.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,23,小乔,1,1,3,0,9999,232,1=100  2=104  3=108,178,1=100  2=104  3=108,,,-3,74,,
10806,1,大小乔3,孙策周瑜喜迎大小乔，郎才女貌，江东喜气洋洋,10805,20,23,csv/scene/PT/0806.csv,3,resource/bg/ChengQiang_1.jpg,resource/bg/ChengQiang_2.jpg,resource/bg/ChengQiang_3.jpg,1,26,大乔,2,1,3,0,9999,236,1=100  2=104  3=108,180,1=100  2=104  3=108,,,-37,-155,,
10807,1,神亭酣战1,东莱太史慈大发神威，如此猛将，让人惺惺相惜,10806,20,23,csv/scene/PT/0807.csv,3,resource/bg/ChengNei_1.jpg,resource/bg/ChengNei_2.jpg,resource/bg/ChengNei_3.jpg,1,64,太史慈,1,1,3,0,9999,240,1=100  2=104  3=108,182,1=100  2=104  3=108,,,135,-132,,
10808,1,神亭酣战2,东莱太史慈大发神威，如此猛将，让人惺惺相惜,10807,21,24,csv/scene/PT/0808.csv,3,resource/bg/ShanGu_1.jpg,resource/bg/ShanGu_2.jpg,resource/bg/ShanGu_3.jpg,1,44,程普,1,1,3,0,9999,244,1=100  2=104  3=108,184,1=100  2=104  3=108,,,305,-120,245,8
10809,1,神亭酣战3,东莱太史慈大发神威，如此猛将，让人惺惺相惜,10808,21,24,csv/scene/PT/0809.csv,3,resource/bg/JunYingWai_1.jpg,resource/bg/JunYingWai_2.jpg,resource/bg/JunYingWai_3.jpg,1,37,孙策,2,1,3,0,9999,248,1=100  2=104  3=108,186,1=100  2=104  3=108,,,153,165,,
