技能ID,技能名称,技能描述,辅助描述,技能星级,可升等级,消耗,攻击次数,作用范围类型,作用对象,作用中心横坐标,作用对象职业,作用对象阵营,作用对象属性,效果阵营覆盖,阵营覆盖成长,效果职业覆盖,职业覆盖成长,二级属性临时变更,临时变更成长,攻击系数,攻击系数成长,攻击常数,攻击常数成长,中毒系数,中毒系数成长,中毒常数,中毒常数成长,持续时间,伤害次数,无视防御,催眠,催眠成长,吸血百分比,吸血成长,攻击偷取,攻击偷取成长,增加怒气消耗,增加怒气消耗成长,怒气值增加,怒气值增加成长,伤害类型,伤害效果成长,驱散debuff,技能子弹,BUFF ID,技能展示图片,技能音效,技能icon,技能卡牌资源
11,天雷之怒,对敌方所有将领造成%.1f%%的伤害，打断对方攻击并机率使其晕眩，持续3秒。,1=116=2.9,,20,4,1,4,1,,,,,,,,,0,,1.16,0.029,,,0,0,,,0,0,,0,,,,,,,,,,,,,205,199,resource/skill_info_pic/11.png,,resource/icon/skill/87.png,
12,洛神赋,对敌方所有将领造成每回合%.1f%%攻击的伤害（无视防御），持续4个回合，并机率使其缓速，持续6秒。,1=20=0.5,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0.2,0.005,,,4000,4,,0,,,,,,,,,,,,,53,75 247,resource/skill_info_pic/12.png,,resource/icon/skill/skill_icon.png,
13,枭姬舞,对敌方所有将领造成%.1f%%的伤害，且对步兵将领造成50%%的额外伤害。,1=102=2.55,,20,4,1,4,1,,,,,,,1=1.51,0.03775,0,,1.02,0.0255,,,0,0,,,0,0,,0,,,,,,,,,,,,,508,,resource/skill_info_pic/13.png,,resource/icon/skill/134.png,
14,爆裂火箭,对后2排敌方将领造成%.1f%%的伤害，且附带300命中。,1=142=3.55,,20,3,1,6,1,4,,,,,,,,1=300,,1.42,0.0355,,,0,0,,,0,0,,0,,,,,,,,,,,,,182,,resource/skill_info_pic/14.png,,resource/icon/skill/103.png,
15,文帝威严,对敌方所有将领造成%.1f%%的伤害，且对弓兵将领造成50%%的额外伤害。,1=98=2.45,,20,4,1,4,1,,,,,,,4=1.47,0.03675,0,,0.98,0.0245,,,0,0,,,0,0,,0,,,,,,,,,,,,,202,,resource/skill_info_pic/15.png,,resource/icon/skill/64.png,
16,文德奔流,对敌方所有将领造成%.1f%%的伤害，并机率使其缓速，持续6秒。,1=104=2.6,,20,4,1,4,1,,,,,,,,,0,,1.04,0.026,,,0,0,,,0,0,,0,,,,,,,,,,,,,211,248,resource/skill_info_pic/16.png,,resource/icon/skill/102.png,
17,黄天当立,对敌方所有将领造成每回合%.1f%%攻击的伤害（无视防御），持续4个回合，并机率使其缓速，持续6秒。,1=18=0.45,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0.18,0.0045,,,4000,4,,0,,,,,,,,,,,,,520,76 249,resource/skill_info_pic/17.png,,resource/icon/skill/161.png,
18,忠侯斩,对前排敌人造成%.1f%%的伤害，并机率使其晕眩，持续3秒。,1=244=6.1,,20,3,1,3,1,1,,,,,,,,0,,2.44,0.061,,,0,0,,,0,0,,0,,,,,,,,,,,,,150,200,resource/skill_info_pic/18.png,,resource/icon/skill/67.png,
19,赤炎斩,对前排敌人造成%.1f%%的伤害，且附带280的暴击。,1=242=6.05,,20,3,1,3,1,1,,,,,,,,3=280,,2.42,0.0605,,,0,0,,,0,0,,0,,,,,,,,,,,,,137,,resource/skill_info_pic/19.png,,resource/icon/skill/58.png,
20,火神之怒,"对前排敌人造成%.1f%%的伤害,连续4次，且附带额外32%%的暴伤。",1=57=1.425,,20,3,4,3,1,1,,,,,,,,4=32,,0.57,0.0125,,,0,0,,,0,0,,0,,,,,,,,,,,,,128,,resource/skill_info_pic/20.png,,resource/icon/skill/83.png,
21,水军突射,对前方一列敌人造成%.1f%%的伤害，并附加200的破击。,1=212=5.3,,20,3,1,2,1,,,,,,,,,2=200,,2.12,0.053,,,0,0,,,0,0,,0,,,,,,,,,,,,,61,,resource/skill_info_pic/21.png,,resource/icon/skill/skill_icon.png,
22,连弩箭阵,对敌方后排将领连续造成3次%.1f%%的伤害。,1=88=2.2,,20,3,1,3,1,4,,,,,,,,0,,0.88,0.022,,,0,0,,,0,0,,0,,,,,,,,,,,,,512,,resource/skill_info_pic/22.png,,resource/icon/skill/154.png,
23,星火袭,对前方一列敌人造成每回合%.1f%%攻击的伤害（无视防御），持续4个回合。,1=36=0.9,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0.36,0.009,,,4000,4,,0,,,,,,,,,,,,,278,77,resource/skill_info_pic/23.png,,resource/icon/skill/skill_icon.png,
24,妙才阳谋,对敌方全体将领造成每回合%.1f%%攻击的伤害（无视防御），持续4回合，并机率使其冰冻，持续3秒。,1=18=0.45,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0.18,0.0045,,,4000,4,,0,,,,,,,,,,,,,204,78 231,resource/skill_info_pic/24.png,,resource/icon/skill/34.png,
25,江东骑胆,对前列敌人造成%.1f%%的伤害，且机率使其晕眩3秒。,1=208=5.2,,20,3,1,2,1,,,,,,,,,0,,2.08,0.052,,,0,0,,,0,0,,0,,,,,,,,,,,,,522,1231,resource/skill_info_pic/25.png,,resource/icon/skill/114.png,
26,掠江劲弓,对生命最低的敌方单体目标造成%.1f%%的伤害并打断其攻击。,1=345=8.625,,20,3,1,4,1,,,,2,,,,,0,,3.45,0.08625,,,0,0,,,0,0,,0,,,,,,,,,,,,,125,,resource/skill_info_pic/26.png,,resource/icon/skill/31.png,
27,五子锋矢,对攻击最高的敌方将领造成%.1f%%的伤害，并对敌人攻击弱化13%%，持续3秒。,1=277=6.925,,20,2,1,4,1,,,,1,,,,,0,,2.77,0.06925,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,95,resource/skill_info_pic/27.png,,resource/icon/skill/skill_icon.png,
28,子龙突进,对当前生命最低的敌方将领造成%.1f%%的伤害。,1=286=7.15,,20,2,1,4,1,,,,2,,,,,0,,2.86,0.0715,,,0,0,,,0,0,,0,,,,,,,,,,,,,51,,resource/skill_info_pic/28.png,,resource/icon/skill/skill_icon.png,
29,出塞曲,"己方生命值最低将领每回合回复%.1f%%攻击力,且附加%d的生命，持续4回合。",1=41=1.025 2=102=18,,20,2,0,4,3,,,,2,,,,,0,,0,0,,,-0.41,-0.01025,-102,-18,2000,4,,0,,,,,,,,,,,,,532,4,resource/skill_info_pic/29.png,,resource/icon/skill/110.png,
30,突袭,对敌方全体将领造成%.1f%%的伤害，且使其防御降低12%%，持续3秒。,1=105=2.625,,20,4,1,4,1,,,,,,,,,0,,1.05,0.02625,,,0,0,,,0,0,,0,,,,,,,,,,,,,190,141,resource/skill_info_pic/30.png,,resource/icon/skill/2.png,
31,江东猛虎,对敌方所有武将造成%.1f%%的伤害，且附带250的暴击值。,1=105=2.625,,20,4,1,4,1,,,,,,,,,3=250,,1.05,0.02625,,,0,0,,,0,0,,0,,,,,,,,,,,,,540,,resource/skill_info_pic/31.png,,resource/icon/skill/74.png,
32,火烧赤壁,对敌方全体造成每次%.1f%%攻击的火焰伤害，持续4回合。,1=28=0.7,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0.28,0.007,,,4000,4,,0,,,,,,,,,,,,,206,80,resource/skill_info_pic/32.png,,resource/icon/skill/19.png,
33,魏武雄兵,己方全体将领提升%.1f%%的防御，且魏国将领额外提升%.1f%%的防御，持续6秒。,1=40=1 2=20=0.5,,20,3,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,178,53,resource/skill_info_pic/33.png,,resource/icon/skill/74.png,
34,仁德,己方全体将领提升%d的闪避，且蜀国将领额外提升%d的闪避，持续6秒。,1=240=6 2=120=3,,20,3,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,213,166,resource/skill_info_pic/34.png,,resource/icon/skill/3.png,
35,奇门遁甲,己方全体将领获得无敌状态，该状态下不受任何伤害，持续%.1f秒。,1=1.5=0.075,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,215,276,resource/skill_info_pic/35.png,,resource/icon/skill/49.png,
36,蛮王怒火,对前排敌人造成%.1f%%的伤害，并机率使其晕眩，持续3秒。,1=236=5.9,,20,4,1,3,1,1,,,,,,,,0,,2.36,0.059,,,0,0,,,0,0,,0,,,,,,,,,,,,,166,201,resource/skill_info_pic/36.png,,resource/icon/skill/43.png,
37,遗志御心,己方全体将领提升%.1f%%的攻击，且蜀国将领额外提升%.1f%%的攻击，持续5秒。,1=18=0.45 2=8=0.2,1=18=0.45 8=0.3,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,17,resource/skill_info_pic/37.png,,resource/icon/skill/skill_icon.png,
38,百鸟朝凰,对全体敌方武将造成%.1f%%的伤害，且额外对军师造成50%%的伤害。,1=102=2.55,,20,4,1,4,1,,,,,,,5=1.5,0.03375,0,,1.02,0.0255,,,0,0,,,0,0,,0,,,,,,,,,,,,,510,,resource/skill_info_pic/38.png,,resource/icon/skill/165.png,
39,河北铁骑,对全体敌方武将造成%.1f%%的伤害，且机率使其晕眩3秒。,1=101=2.52,,20,4,1,4,1,,,,,,,,,0,,1.01,0.02525,,,0,0,,,0,0,,0,,,,,,,,,,,,,514,1235,resource/skill_info_pic/39.png,,resource/icon/skill/151.png,
40,子规泣血,己方全体将领提升%.1f%%的攻击，且魏国将领额外提升%.1f%%的攻击，持续5秒。,1=18=0.45 2=8=0.2,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,20,resource/skill_info_pic/40.png,,resource/icon/skill/skill_icon.png,
41,江东内谋,己方全体将领提升%.1f%%的防御，且吴国将领额外提升%.1f%%的防御，持续6秒。,1=25=0.625 2=12=0.3,,20,4,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,54,resource/skill_info_pic/41.png,,resource/icon/skill/skill_icon.png,
42,疾风,己方攻击力最高将领提升%.1f%%的攻击，持续6秒。,1=45=1.125,,20,2,0,4,3,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,304,21,resource/skill_info_pic/42.png,,resource/icon/skill/skill_icon.png,
43,妙曼之舞,使全体敌方武将沉默，不可释放技能，持续%.1f秒。,1=2.5=0.125,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,301,280,resource/skill_info_pic/43.png,,resource/icon/skill/26.png,
44,巾帼,己方攻击力最高将领提升%.1f%%的攻击与%d的命中，持续5秒。,1=28=1.4 2=250=12.5,,20,2,0,4,3,,,,1,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,526,160 1058,resource/skill_info_pic/44.png,,resource/icon/skill/137.png,
45,玉璧江东,己方防御力最高将领提升%.1f%%的防御，持续8秒。,1=72=1.8,,20,2,0,4,3,,,,3,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,301,55,resource/skill_info_pic/45.png,,resource/icon/skill/skill_icon.png,
46,神工鬼斧,己方防御力最高武将提升250的闪避，提升250的格挡，持续8秒。,1=250=6.25 2=250=6.25,,20,2,0,4,3,,,,3,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,301,167 173,resource/skill_info_pic/46.png,,resource/icon/skill/skill_icon.png,
47,无双,对全体敌方武将造成%.1f%%攻击的伤害。,1=128=3.2,,20,4,1,4,1,,,,,,,,,0,,1.28,0.032,,,0,0,,,0,0,,0,,,,,,,,,,,,,175,,resource/skill_info_pic/47.png,,resource/icon/skill/11.png,
48,龙胆仁心,吸收100%%的伤害，转化为生命值，持续%.1f秒。,1=2.5=0.125,,20,3,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,172,279,resource/skill_info_pic/48.png,,resource/icon/skill/96.png,
49,白银女英,自身攻击提升%.1f%%，破击提升%d，持续8秒。,1=48=1.2 2=250=6.25,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,193,23 179,resource/skill_info_pic/49.png,,resource/icon/skill/skill_icon.png,
50,江东霸王,对全体敌方武将造成%.1f%%的伤害，且附带249的暴击值。,1=108=2.7,,20,4,1,4,1,,,,,,,,,3=249,,1.08,0.027,,,0,0,,,0,0,,0,,,,,,,,,,,,,401,,resource/skill_info_pic/50.png,,resource/icon/skill/39.png,
51,千军破,对前2排敌人造成%.1f%%的伤害，且附带59%%的额外爆伤。,1=154=3.85,,20,3,1,5,1,1,,,,,,,,4=59,,1.54,0.0385,,,0,0,,,0,0,,0,,,,,,,,,,,,,115,,resource/skill_info_pic/51.png,,resource/icon/skill/61.png,
52,狮子奋迅,对敌方前方武将发动%.1f%%的伤害，连续攻击3次，并打断对方攻击。,1=111=2.775,,20,3,3,4,1,1,,,,,,,,0,,1.11,0.02775,,,0,0,,,0,0,,0,,,,,,,,,,,,,504,,resource/skill_info_pic/52.png,,resource/icon/skill/131.png,
53,同守南中,自身防御提升%.1f%%，韧性提升%d，持续8秒。,1=42=1.05 2=250=6.25,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,193,57 192,resource/skill_info_pic/53.png,,resource/icon/skill/skill_icon.png,
54,噬心术,对全体敌方武将造成%.1f%%的伤害，且附带吸血效果。,1=92=2.3,,20,4,1,4,1,,,,,,,,,0,,0.92,0.023,,,0,0,,,0,0,,0,,16,0,,,,,,,,,,502,,resource/skill_info_pic/54.png,,resource/icon/skill/141.png,
55,古之恶来,自身攻击提升%.1f%%，格挡提升%d，持续8秒。,1=28=0.7 2=200=5,,20,4,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,193,26 174,resource/skill_info_pic/55.png,,resource/icon/skill/skill_icon.png,
56,河北上将,对全体敌方武将造成%.1f%%的伤害，且机率使其晕眩3秒。,1=101=2.52,,20,4,1,4,1,,,,,,,,,0,,1.01,0.02525,,,0,0,,,0,0,,0,,,,,,,,,,,,,524,1235,resource/skill_info_pic/56.png,,resource/icon/skill/145.png,
57,武圣传承,自身攻击提升%.1f%%，抵抗提升%d，持续8秒。,1=28=0.7 2=220=5.5,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,193,28 196,resource/skill_info_pic/57.png,,resource/icon/skill/skill_icon.png,
58,车骑传承,自身防御提升%.1f%%，抵抗提升%d，持续8秒。,1=42=1.05 2=220=5.5,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,193,58 197,resource/skill_info_pic/58.png,,resource/icon/skill/skill_icon.png,
59,锦帆袭,对敌方所有将领造成%.1f%%的伤害，并机率使其冰冻，持续3秒。,1=101=2.525,,20,4,1,4,1,,,,,,,,,0,,1.01,0.02525,,,0,0,,,0,0,,0,,,,,,,,,,,,,210,202,resource/skill_info_pic/59.png,,resource/icon/skill/80.png,
60,巨斧开山,对敌方前方武将发动攻击，当对方血量少于%.1f%%时造成5倍伤害，否则造成50%%的伤害。,1=20=1.5,,20,2,1,4,1,1,,,,,,,,0,,1,0,,,0,0,,,0,0,,0,,,,,,,,,,1=20,1.5,,516,,resource/skill_info_pic/60.png,,resource/icon/skill/148.png,
61,遗定辽东,对敌方所有武将造成%d%%的伤害，且对群雄武将造成50%%的额外伤害。,1=108=2.7,,20,4,1,4,1,,,,,1=1.62,0.0405,,,0,,1.08,0.027,,,0,0,,,0,0,,0,,,,,,,,,,,,,536,,resource/skill_info_pic/61.png,,resource/icon/skill/121.png,
62,火烧连营,对敌方所有将领造成%.1f%%的伤害，并附带280的命中。,1=112=2.8,,20,4,1,4,1,,,,,,,,,1=280,,1.12,0.028,,,0,0,,,0,0,,0,,,,,,,,,,,,,52,,resource/skill_info_pic/62.png,,resource/icon/skill/skill_icon.png,
63,武圣飞龙,对敌方所有将领攻击弱化%.1f%%，且额外对骑兵将领攻击弱化%.1f%%，持续6秒。,1=25=0.625 2=12=0.3,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,301,97,resource/skill_info_pic/63.png,,resource/icon/skill/skill_icon.png,
64,仁德之后,对敌方所有将领造成%.1f%%的伤害，且对蜀国武将造成额外50%%的伤害。,1=100=2.5,,20,4,1,4,1,,,,,3=1.5,0.0375,,,0,,1,0.025,,,0,0,,,0,0,,0,,,,,,,,,,,,,534,,resource/skill_info_pic/64.png,,resource/icon/skill/117.png,
65,狼子野心,对敌方所有将领攻击弱化%.1f%%，且额外对军师将领攻击弱化%.1f%%，持续6秒。,1=22=0.55 2=10=0.25,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,109,99,resource/skill_info_pic/65.png,,resource/icon/skill/skill_icon.png,
66,铜雀春深,对敌方所有将领造成%.1f%%的攻击，并使其攻击弱化6%%，持续3秒。,1=110=2.75,,20,4,1,4,1,,,,,,,,,0,,1.1,0.0275,,,0,0,,,0,0,,0,,,,,,,,,,,,,201,100,resource/skill_info_pic/66.png,,resource/icon/skill/47.png,
67,白衣渡江,对敌方所有将领攻击弱化%.1f%%，且额外对骑兵将领攻击弱化%.1f%%，持续6秒。,1=22=0.55 2=10=0.25,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,156,101,resource/skill_info_pic/67.png,,resource/icon/skill/15.png,
68,天狼野望,对敌方所有将领防御弱化%.1f%%，且额外对步兵将领防御弱化%.1f%%，持续6秒。,1=40=1 2=15=0.375,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,301,142,resource/skill_info_pic/68.png,,resource/icon/skill/skill_icon.png,
69,刚烈一击,对敌方所有将领造成%.1f%%的伤害，可命中率较低。,1=158=3.95,,20,4,1,4,1,,,,,,,,,1=-333,,1.58,0.0395,,,0,0,,,0,0,,0,,,,,,,,,,,,,135,,resource/skill_info_pic/69.png,,resource/icon/skill/20.png,
70,腹黑谋断,自身攻击提升%.1f%%，防御力提升%.1f%%，持续8秒。,1=28=0.7 2=42=1.05,,20,2,0,1,2,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,302,30 59,resource/skill_info_pic/70.png,,resource/icon/skill/skill_icon.png,
71,苦肉计,对前方一列敌人攻击弱化%.1f%%，持续6秒，并机率使其缓速，持续6秒。,1=35=0.875,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,33,102 251,resource/skill_info_pic/71.png,,resource/icon/skill/skill_icon.png,
72,开晋之后,对前方一列敌人造成每回合%.1f%%攻击的伤害（无视防御），持续4回合，且使其防御弱化10%%，持续3秒。,1=38=0.95,,20,3,0,2,1,,,,,,,,,0,,0,0,,,0.38,0.0095,,,4000,4,,0,,,,,,,,,,,,,171,81 144,resource/skill_info_pic/72.png,,resource/icon/skill/77.png,
73,爆裂阵,对前排敌人造成%.1f%%的伤害，且使其攻击弱化24%%，持续3秒。,1=205=5.125,,20,3,1,3,1,1,,,,,,,,0,,2.05,0.05125,,,0,0,,,0,0,,0,,,,,,,,,,,,,506,1143,resource/skill_info_pic/73.png,,resource/icon/skill/128.png,
74,河北中庭,对前排敌人造成每回合%.1f%%攻击的伤害（无视防御），持续4回合，且对其攻击弱化12%%，持续3秒。,1=46=1.15,,20,3,0,3,1,1,,,,,,,,0,,0,0,,,0.46,0.0115,,,4000,4,,0,,,,,,,,,,,,,54,82 103,resource/skill_info_pic/74.png,,resource/icon/skill/skill_icon.png,
75,破敌策,对前方一列敌人造成%.1f%%的伤害。,1=202=5.05,,20,3,1,2,1,,,,,,,,,0,,2.02,0.0505,,,0,0,,,0,0,,0,,,,,,,,,,,,,530,,resource/skill_info_pic/75.png,,resource/icon/skill/107.png,
76,虎齿神威,对前方一列敌人造成%.1f%%的伤害，并机率使其晕眩，持续3秒。,1=218=5.45,,20,3,1,2,1,,,,,,,,,0,,2.18,0.0545,,,0,0,,,0,0,,0,,,,,,,,,,,,,33,204,resource/skill_info_pic/76.png,,resource/icon/skill/skill_icon.png,
77,青龙偃月斩,对敌方所有武将造成%.1f%%的伤害，且机率使其缴械（攻击下降80%%）3秒。,1=108=2.7,,20,3,1,4,1,,,,,,,,,0,,1.08,0.027,,,0,0,,,0,0,,0,,,,,,,,,,,,,558,1145,resource/skill_info_pic/77.png,,resource/icon/skill/80.png,
78,御灵术,召唤一群骷髅怪对全体敌方武将连续5次造成%.1f%%的攻击的伤害。,1=20=0.5,,20,4,5,4,1,,,,,,,,,0,,0.2,0.005,,,0,0,,,0,0,,0,,,,,,,,,,,,,538,,resource/skill_info_pic/78.png,,resource/icon/skill/124.png,
79,保命之术,对全体敌方造成%.1f%%的伤害，且自身回复等量伤害的血量。,1=45=1.125,,20,3,1,4,1,,,,,,,,,0,,0.45,0.01125,,,0,0,,,0,0,,0,,100,0,,,,,,,,,,556,,resource/skill_info_pic/79.png,,resource/icon/skill/13.png,
80,流离策,对敌方攻击力最高的将领攻击弱化%.1f%%，持续7秒，并机率使其晕眩，持续3秒。,1=42=1.05,,20,2,0,4,1,,,,1,,,,,0,,0,0,,,0,0,,,0,0,,0,,,,,,,,,,,,,301,106 205,resource/skill_info_pic/80.png,,resource/icon/skill/skill_icon.png,
81,凤雏天翔,对敌方攻击力最高的将领造成%.1f%%的伤害，且对敌人攻击弱化6%%，持续3秒。,1=288=7.2,,20,2,1,4,1,,,,1,,,,,0,,2.88,0.072,,,0,0,,,0,0,,0,,,,,,,,,,,,,110,107,resource/skill_info_pic/81.png,,resource/icon/skill/52.png,
82,绝世魅惑,对敌方所有将领每回合%.1f%%攻击的伤害（无视防御），持续4回合，并机率使其晕眩，持续3秒。,1=20=0.5,,20,4,0,4,1,,,,,,,,,0,,0,0,,,0.2,0.005,,,4000,4,,0,,,,,,,,,,,,,208,83 206,resource/skill_info_pic/82.png,,resource/icon/skill/94.png,
83,传世名医,己方全体将领立即回复%.1f%%攻击的生命值。,1=148=3.7,,20,4,0,4,3,,,,,,,,,0,,-1.48,-0.037,,,0,0,,,0,0,,0,,,,,,,,,,,,,185,,resource/skill_info_pic/83.png,,resource/icon/skill/6.png,
